Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Emmitt Smith*+,DAL,RB,23,16,16,0,0,0,0,0,373,1713,4.59,18,74,59,335,5.68,1,4,,19,,,315,373.8,381.8,344.3,207,1,1
Thurman Thomas*,BUF,RB,26,16,16,0,0,0,0,0,312,1487,4.77,9,87,58,626,10.79,3,6,,12,,,277,335.3,344.3,306.3,170,2,2
Barry Foster*+,PIT,RB,24,16,15,0,1,0,0,0,390,1690,4.33,11,50,36,344,9.56,0,9,,11,,,260,296.4,306.9,278.4,153,3,3
Terry Allen,MIN,RB,24,16,16,0,0,0,0,0,266,1201,4.52,13,70,49,478,9.76,2,9,,15,,,249,297.9,308.4,273.4,141,4,4
Sterling Sharpe*+,GNB,WR,27,16,16,0,0,0,0,0,4,8,2.00,0,162,108,1461,13.53,13,2,,13,,,223,330.9,334.9,276.9,132,1,5
Steve Young*+,SFO,QB,31,16,16,268,402,3465,25,7,76,537,7.07,4,,0,0,,0,9,,4,,,293,293.3,310.8,300.3,131,1,6
Lorenzo White*,HOU,RB,26,16,16,0,0,0,0,0,265,1226,4.63,7,77,57,641,11.25,1,2,,8,,,233,289.7,296.7,261.2,125,5,7
Rodney Hampton*,NYG,RB,23,16,16,0,0,0,0,0,257,1141,4.44,14,38,28,215,7.68,0,1,,14,,,219,246.6,253.1,232.6,111,6,8
Barry Sanders*,DET,RB,24,16,16,0,1,0,0,0,312,1352,4.33,9,40,29,225,7.76,1,6,4,10,,,212,240.7,249.7,226.2,104,7,9
Jerry Rice*+,SFO,WR,30,16,16,0,0,0,0,0,9,58,6.44,1,139,84,1201,14.30,10,2,,11,,,190,273.9,277.9,231.9,99,2,10
Ricky Watters*,SFO,RB,23,14,13,0,1,0,0,0,206,1013,4.92,9,52,43,405,9.42,2,2,,11,,,206,248.8,255.8,227.3,98,8,11
Michael Irvin*,DAL,WR,26,16,14,0,0,0,0,0,1,-9,-9.00,0,122,78,1396,17.90,7,1,,7,,,180,257.7,261.2,218.7,89,3,12
Cleveland Gary,RAM,RB,26,16,16,0,0,0,0,0,279,1125,4.03,7,55,52,293,5.63,3,9,,10,,,193,244.8,255.3,218.8,85,9,13
Andre Rison*,ATL,WR,25,15,13,0,0,0,0,0,0,0,,0,144,93,1119,12.03,11,2,,11,,,176,268.9,272.9,222.4,85,4,14
Herschel Walker,PHI,RB,30,16,16,0,1,0,0,0,267,1070,4.01,8,47,38,278,7.32,2,6,,10,,,189,226.8,235.8,207.8,81,10,15
Reggie Cobb,TAM,FB,24,16,13,0,0,0,0,0,310,1171,3.78,9,25,21,156,7.43,0,3,,9,,,184,204.7,212.2,194.2,76,11,16
Randall Cunningham,PHI,QB,29,15,15,233,384,2775,19,11,87,549,6.31,5,1,0,0,,0,13,,5,,,237,236.9,260.4,247.9,75,2,17
