Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Ron Johnson*,NYG,RB,25,14,14,0,1,0,0,0,298,1182,3.97,9,45,451,10.02,5,3,,14,,,244,289.3,296.8,266.8,138,1,1
Larry Brown*+,WAS,RB,25,12,12,0,0,0,0,0,285,1216,4.27,8,32,473,14.78,4,9,,12,,,232,263.9,274.4,247.9,124,2,2
Greg Landry,DET,QB,26,14,14,134,268,2066,18,17,81,524,6.47,9,0,0,,0,3,,9,,,224,224.0,248.5,241.0,116,1,3
Gene Washington*+,SFO,WR,25,14,14,0,0,0,0,0,0,0,,0,46,918,19.96,12,0,,12,,,164,209.8,212.8,186.8,110,1,4
Rich Caster*,NYJ,TE,24,14,13,0,0,0,0,0,2,6,3.00,0,39,833,21.36,10,0,,10,,,144,182.9,185.9,163.4,101,1,5
Floyd Little,DEN,RB,30,14,14,2,2,43,1,0,216,859,3.98,9,28,367,13.11,4,4,,13,,,202,230.3,238.3,216.3,90,3,6
John Gilliam*,MIN,WR,27,14,14,0,0,0,0,0,8,14,1.75,0,47,1035,22.02,7,2,,7,,,145,191.9,195.9,168.4,89,2,7
Bobby Douglass,CHI,QB,25,14,14,75,198,1246,9,12,141,968,6.87,8,0,0,,0,9,,8,,,198,197.6,220.1,209.6,86,2,8
Ted Kwalick*+,SFO,TE,25,14,14,0,0,0,0,0,5,11,2.20,0,40,751,18.78,9,2,,9,,,128,168.2,172.2,148.2,83,2,9
Calvin Hill*,DAL,RB,25,14,14,1,3,55,1,0,245,1036,4.23,6,43,364,8.47,3,7,,9,,,193,236.2,245.7,214.7,80,4,10
Harold Jackson*,PHI,WR,26,14,14,0,0,0,0,0,9,76,8.44,0,62,1048,16.90,4,2,,4,,,134,196.4,200.4,165.4,77,3,11
Art Malone,ATL,FB,24,14,14,0,0,0,0,0,180,798,4.43,8,50,585,11.70,2,10,,10,,,188,238.3,249.3,213.3,74,5,12
Franco Harris*,PIT,FB,22,14,10,0,0,0,0,0,188,1055,5.61,10,21,180,8.57,1,7,,11,,,183,203.5,213.0,193.0,68,6,13
Mercury Morris*,MIA,RB,25,14,11,0,0,0,0,0,190,1000,5.26,12,15,168,11.20,0,8,,12,,,181,195.8,205.8,188.3,66,8,14
O.J. Simpson*+,BUF,RB,25,14,14,5,8,113,1,0,292,1251,4.28,6,27,198,7.33,0,8,,6,,,181,208.4,218.4,194.9,66,7,15
Archie Manning,NOR,QB,23,14,14,230,448,2781,18,21,63,351,5.57,2,0,0,,0,9,,2,,,179,179.3,210.8,200.3,65,3,16
Fred Biletnikoff+,OAK,WR,29,14,14,0,0,0,0,0,0,0,,0,58,802,13.83,7,0,,7,,,122,180.2,183.2,151.2,63,4,17
John Brockington*,GNB,FB,24,14,14,0,0,0,0,0,274,1027,3.75,8,19,243,12.79,1,4,,9,,,177,196.0,204.0,186.5,61,9,18
Terry Bradshaw,PIT,QB,24,14,14,147,308,1887,12,12,58,346,5.97,7,0,0,,0,4,,7,,,172,172.1,192.1,184.1,57,4,19
Otis Taylor*,KAN,WR,30,14,12,0,0,0,0,0,5,13,2.60,0,57,821,14.40,6,2,,6,,,117,174.4,178.4,145.9,57,5,20
Raymond Chester*,OAK,TE,24,13,11,0,0,0,0,0,1,3,3.00,0,34,576,16.94,8,0,,8,,,106,139.9,142.9,122.9,57,3,21
Walt Garrison*,DAL,FB,28,14,14,0,0,0,0,0,167,784,4.69,7,37,390,10.54,3,6,,10,,,171,208.4,217.4,189.9,55,10,22
Bob Tucker,NYG,TE,27,14,14,0,0,0,0,0,3,6,2.00,1,55,764,13.89,4,4,,5,,,103,158.0,163.0,130.5,54,4,23
Frank Pitts,CLE,WR,29,14,13,0,0,0,0,0,3,29,9.67,0,36,620,17.22,8,0,,8,,,113,148.9,151.9,130.9,52,6,24
