Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Rob Scribner,RAM,RB,23,11,0,0,0,0,0,0,9,24,2.67,0,2,28,14.00,1,1,,1,,,10,12.2,12.7,11.2,,118,
John Beasley,NOR,TE,29,14,6,0,0,0,0,0,0,0,,0,5,85,17.00,0,0,,0,,,9,13.5,13.5,11.0,,36,
Willie Brister,NYJ,TE,22,12,1,0,0,0,0,0,0,0,,0,5,90,18.00,0,0,,0,,,9,14.0,14.0,11.5,,33,
Steve Craig,MIN,TE,23,14,0,0,0,0,0,0,0,0,,0,4,26,6.50,1,0,,1,,,9,12.6,12.6,10.6,,35,
Steve Crosby,NYG,RB,24,9,0,0,0,0,0,0,14,55,3.93,0,2,44,22.00,0,1,,0,,,9,10.9,11.4,9.9,,124,
Reggie Harrison,2TM,RB,23,5,0,0,0,0,0,0,6,30,5.00,1,1,2,2.00,0,0,,1,,,9,10.2,10.2,9.7,,122,
Doug Kingsriter,MIN,TE,24,14,1,0,0,0,0,0,0,0,,0,5,89,17.80,0,0,,0,,,9,13.9,13.9,11.4,,34,
Louis Neal,ATL,WR,23,10,2,0,0,0,0,0,1,-1,-1.00,0,8,99,12.38,0,1,,0,,,9,16.8,17.3,12.8,,78,
Mike Siani,OAK,WR,24,6,0,0,0,0,0,0,0,0,,0,3,30,10.00,1,0,,1,,,9,12.0,12.0,10.5,,77,
Cliff Taylor,CHI,RB,22,14,0,0,0,0,0,0,9,18,2.00,1,3,23,7.67,0,1,,1,,,9,12.1,12.6,10.6,,123,
Joe Wilson,NWE,RB,24,12,0,0,0,0,0,0,15,57,3.80,0,3,38,12.67,0,1,,0,,,9,11.5,12.0,10.0,,125,
John Holland,MIN,WR,22,10,0,0,0,0,0,0,0,0,,0,5,84,16.80,0,0,,0,,,8,13.4,13.4,10.9,,79,
Ray Jarvis,DET,WR,25,13,2,0,0,0,0,0,0,0,,0,3,87,29.00,0,1,,0,,,8,10.7,11.2,9.2,,83,
Gary Kosins,CHI,RB,25,14,0,0,0,0,0,0,8,30,3.75,1,1,3,3.00,0,1,,1,,,8,9.3,9.8,8.8,,126,
Gary Marangi,BUF,QB,22,3,0,9,18,140,2,3,4,20,5.00,0,0,0,,0,2,,0,,,8,7.6,11.6,10.6,,51,
Al Marshall,NWE,WR,23,4,0,0,0,0,0,0,0,0,,0,1,17,17.00,1,0,,1,,,8,8.7,8.7,8.2,,84,
John McDaniel,CIN,WR,23,14,1,0,0,0,0,0,1,5,5.00,0,2,79,39.50,0,0,,0,,,8,10.4,10.4,9.4,,80,
Fred Pagac,CHI,TE,22,14,14,0,0,0,0,0,1,-1,-1.00,0,6,79,13.17,0,0,,0,,,8,13.8,13.8,10.8,,37,
Steve Schubert,NWE,WR,23,8,2,0,0,0,0,0,0,0,,0,1,21,21.00,1,0,,1,,,8,9.1,9.1,8.6,,82,
Dave Sullivan,CLE,WR,23,6,3,0,0,0,0,0,0,0,,0,5,92,18.40,0,1,,0,,,8,13.2,13.7,10.7,,81,
Jerry Broadnax,HOU,TE,23,8,2,0,0,0,0,0,0,0,,0,3,69,23.00,0,0,,0,,,7,9.9,9.9,8.4,,39,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jubilee Dunbar,CLE,WR,25,5,3,0,0,0,0,0,0,0,,0,6,74,12.33,0,0,,0,,,7,13.4,13.4,10.4,,85,
Tom Geredine,ATL,WR,24,12,0,0,0,0,0,0,0,0,,0,4,69,17.25,0,0,,0,,,7,10.9,10.9,8.9,,88,
Bill Houston,DAL,WR,23,13,0,0,0,0,0,0,0,0,,0,6,72,12.00,0,0,,0,,,7,13.2,13.2,10.2,,86,
Joe Orduna,BAL,RB,26,14,0,0,0,0,0,0,2,3,1.50,1,1,8,8.00,0,0,,1,,,7,8.1,8.1,7.6,,127,
Jeff Queen,HOU,TE,28,11,0,0,0,0,0,0,2,7,3.50,0,1,4,4.00,1,0,,1,,,7,8.1,8.1,7.6,,38,
Otto Stowe,DEN,WR,25,8,0,0,0,0,0,0,1,1,1.00,0,2,9,4.50,1,0,,1,,,7,9.0,9.0,8.0,,87,
Bob Thomas,SDG,RB,26,14,2,0,0,0,0,0,21,56,2.67,0,1,9,9.00,0,0,,0,,,7,7.5,7.5,7.0,,128,
Bill Butler,NOR,FB,24,14,2,0,0,0,0,0,21,74,3.52,0,2,3,1.50,0,2,,0,,,6,7.7,8.7,6.7,,130,
Marv Fleming,MIA,TE,32,14,5,0,0,0,0,0,0,0,,0,1,3,3.00,1,0,,1,,,6,7.3,7.3,6.8,,40,
Ken Payne,GNB,WR,24,12,0,0,0,0,0,0,0,0,,0,5,63,12.60,0,0,,0,,,6,11.3,11.3,8.8,,89,
