Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Barry Sanders*+,DET,RB,23,15,15,0,0,0,0,0,342,1548,4.53,16,41,307,7.49,1,5,0,17,,,283,323.5,332.0,303.0,165,1,1
Thurman Thomas*+,BUF,RB,25,15,15,0,0,0,0,0,288,1407,4.89,7,62,631,10.18,5,5,,12,,,271,332.8,341.3,301.8,153,2,2
Emmitt Smith*,DAL,RB,22,16,16,0,0,0,0,0,365,1563,4.28,12,49,258,5.27,1,8,,13,,,252,301.1,311.1,276.6,134,3,3
Jim Kelly*+,BUF,QB,31,15,15,304,474,3844,33,17,20,45,2.25,1,0,0,,0,6,,1,,,256,256.3,279.3,273.3,105,1,4
Jerry Rice*,SFO,WR,29,16,16,0,0,0,0,0,1,2,2.00,0,80,1206,15.08,14,1,,14,,,204,283.8,287.3,243.8,102,1,5
Rod Bernstine,SDG,TE,26,13,8,1,1,11,1,0,159,766,4.82,8,11,124,11.27,0,1,,8,,,140,151.4,157.9,145.9,96,1,6
Michael Irvin*+,DAL,WR,25,16,16,0,0,0,0,0,0,0,,0,93,1523,16.38,8,3,,8,,,197,290.3,294.8,243.8,95,2,7
Warren Moon*,HOU,QB,35,16,16,404,655,4690,23,21,33,68,2.06,2,0,0,,0,11,,2,,,245,245.4,274.9,266.4,94,2,8
Gary Clark*,WAS,WR,29,16,16,0,0,0,0,0,1,0,0.00,0,70,1340,19.14,10,0,,10,,,194,264.0,267.0,229.0,92,3,9
Dan Marino*,MIA,QB,30,16,16,318,549,3970,25,13,27,32,1.19,1,0,0,,0,6,,1,,,236,236.0,255.0,249.0,85,3,10
Andre Reed*,BUF,WR,27,16,16,0,0,0,0,0,12,136,11.33,0,81,1113,13.74,10,1,,10,,,184,264.9,271.4,224.4,82,4,11
Mark Rypien*,WAS,QB,29,16,16,249,421,3564,28,11,15,6,0.40,1,0,0,,0,9,,1,,,230,230.2,248.7,241.2,79,4,12
Michael Haynes,ATL,WR,26,16,16,0,0,0,0,0,0,0,,0,50,1122,22.44,11,0,,11,,,178,228.2,231.2,203.2,76,5,13
Mark Clayton*,MIA,WR,30,16,16,0,0,0,0,0,0,0,,0,70,1053,15.04,12,0,,12,,,177,247.3,250.3,212.3,75,6,14
Rodney Hampton,NYG,RB,22,14,14,0,0,0,0,0,256,1059,4.14,10,43,283,6.58,0,5,,10,,,189,232.2,240.7,210.7,71,4,15
Robert Delpino,RAM,RB,26,16,15,0,0,0,0,0,214,688,3.21,9,55,617,11.22,1,3,,10,,,188,242.5,250.0,215.0,70,5,16
Andre Rison*,ATL,WR,24,16,15,0,0,0,0,0,1,-9,-9.00,0,81,976,12.05,12,1,,12,,,168,248.7,252.2,208.2,65,7,17
Steve Young,SFO,QB,30,11,10,180,279,2517,17,8,66,415,6.29,4,0,0,,0,3,,4,,,215,215.2,230.7,223.2,64,5,18
Chris Miller*,ATL,QB,26,15,14,220,413,3103,26,18,32,229,7.16,0,0,0,,0,5,,0,,,210,210.0,236.5,228.0,59,6,19
John Elway*,DEN,QB,31,16,16,242,451,3253,13,12,55,255,4.64,6,1,24,24.00,0,12,,6,,,210,211.0,235.0,222.5,59,7,20
Haywood Jeffires*+,HOU,WR,27,16,16,0,0,0,0,0,0,0,,0,100,1181,11.81,7,3,,7,,,157,257.1,261.6,207.1,55,8,21
Marv Cook*+,NWE,TE,25,16,16,0,0,0,0,0,0,0,,0,82,808,9.85,3,2,,3,,,97,178.8,182.8,137.8,53,2,22
John Taylor,SFO,WR,29,16,16,0,0,0,0,0,0,0,,0,64,1011,15.80,9,1,,9,,,154,218.1,221.6,186.1,52,9,23
James Lofton*,BUF,WR,35,15,15,0,0,0,0,0,0,0,,0,57,1072,18.81,8,2,,8,,,153,210.2,214.2,181.7,51,10,24
Art Monk,WAS,WR,34,16,16,0,0,0,0,0,9,19,2.11,0,71,1049,14.77,8,2,,8,,,153,223.8,227.8,188.3,51,11,25
Ethan Horton*,RAI,TE,29,16,16,0,0,0,0,0,0,0,,0,53,650,12.26,5,1,,5,,,94,147.0,150.5,120.5,50,3,26
Earnest Byner*,WAS,RB,29,16,16,1,4,18,1,0,274,1048,3.82,5,34,308,9.06,0,3,,5,,,167,201.3,208.8,184.3,49,6,27
Eric Green,PIT,TE,24,11,11,0,0,0,0,0,0,0,,0,41,582,14.20,6,2,,6,,,92,133.2,137.2,112.7,48,4,28
Herschel Walker,MIN,RB,29,15,15,0,0,0,0,0,198,825,4.17,10,33,204,6.18,0,2,,10,,,161,193.9,200.9,177.4,43,7,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neal Anderson*,CHI,RB,27,13,12,0,1,0,0,0,210,747,3.56,6,47,368,7.83,3,5,,9,,,161,207.5,216.0,184.0,43,8,30
Jay Novacek*,DAL,TE,29,16,12,0,0,0,0,0,0,0,,0,59,664,11.25,4,3,,4,,,87,146.4,150.9,116.9,43,5,31
Jim Harbaugh,CHI,QB,28,16,16,275,478,3121,15,16,70,338,4.83,2,0,0,,0,6,,2,,,193,192.6,217.6,208.6,42,8,32
Keith Jackson,PHI,TE,26,16,16,0,0,0,0,0,0,0,,0,48,569,11.85,5,2,,5,,,85,132.9,136.9,108.9,41,6,33
Bernie Kosar,CLE,QB,28,16,16,307,494,3487,18,9,26,74,2.85,0,1,1,1.00,0,10,,0,,,191,192.0,209.0,200.5,40,9,34
Kevin Mack,CLE,FB,29,14,11,0,0,0,0,0,197,726,3.69,8,40,255,6.38,2,1,,10,,,157,197.1,203.6,177.1,39,9,35
Christian Okoye*,KAN,FB,30,14,12,0,0,0,0,0,225,1031,4.58,9,3,34,11.33,0,5,,9,,,156,158.5,164.0,157.0,38,10,36
Floyd Turner,NOR,WR,25,16,4,0,0,0,0,0,0,0,,0,64,927,14.48,8,1,,8,,,140,203.7,207.2,171.7,37,12,37
