Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Earnest Hunter,CLE,RB,25,10,0,0,0,0,0,0,30,100,3.33,0,8,5,42,8.40,0,4,3,0,,,8,13.2,19.2,10.7,,108,
Mitch Lyons,ATL,TE,25,14,4,0,0,0,0,0,0,0,,0,8,5,83,16.60,0,0,,0,,,8,13.3,13.3,10.8,,55,
Lewis Tillman,CHI,RB,29,13,1,0,0,0,0,0,29,78,2.69,0,0,0,0,,0,0,,0,,,8,7.8,7.8,7.8,,109,
Tyji Armstrong,TAM,TE,25,16,5,0,0,0,0,0,0,0,,0,12,7,68,9.71,0,1,,0,,,7,13.8,13.8,10.3,,58,
Tim Lester,PIT,FB,27,6,1,0,0,0,0,0,5,9,1.80,1,0,0,0,,0,0,,1,,,7,6.9,6.9,6.9,,110,
James McKnight,SEA,WR,23,16,0,0,0,0,0,0,0,0,,0,19,6,91,15.17,0,1,1,0,,,7,13.1,14.1,10.1,,132,
Walter Rasby,CAR,TE,23,9,2,0,0,0,0,0,0,0,,0,18,5,47,9.40,0,0,,0,1,,7,11.7,11.7,9.2,,59,
Walter Reeves,CLE,TE,30,5,3,0,0,0,0,0,0,0,,0,6,6,12,2.00,1,0,,1,,,7,13.2,13.2,10.2,,57,
Chris Thomas,SFO,WR,24,15,0,0,0,0,0,0,0,0,,0,8,6,73,12.17,0,0,,0,,,7,13.3,13.3,10.3,,131,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Walsh,MIN,WR,27,16,0,0,0,0,0,0,0,0,,0,10,7,66,9.43,0,0,,0,,,7,13.6,13.6,10.1,,133,
Derrick Witherspoon,PHI,RB,24,15,0,0,0,0,0,0,2,7,3.50,0,0,0,0,,0,0,,1,,,7,6.7,6.7,6.7,,111,
Randy Baldwin,CAR,RB,28,7,2,0,0,0,0,0,23,61,2.65,0,0,0,0,,0,1,,0,,,6,6.1,6.1,6.1,,113,
Ryan Christopherson,JAX,RB,23,11,0,0,0,0,0,0,16,16,1.00,1,1,1,-1,-1.00,0,1,1,1,,,6,6.5,7.5,6.0,,117,
Tony Cline,BUF,TE,24,16,1,0,0,0,0,0,0,0,,0,13,8,64,8.00,0,0,,0,,,6,14.4,14.4,10.4,,60,
Corey Croom,NWE,RB,24,13,1,0,0,0,0,0,13,54,4.15,0,1,1,8,8.00,0,0,,0,,,6,7.2,7.2,6.7,,112,
Jason Garrett,DAL,QB,29,1,0,4,5,46,1,0,1,-1,-1.00,0,0,0,0,,0,0,,0,,,6,5.7,5.7,5.7,,60,
William Henderson,GNB,FB,24,15,1,0,0,0,0,0,7,35,5.00,0,5,3,21,7.00,0,0,,0,,,6,8.6,8.6,7.1,,116,
Brad Johnson,MIN,QB,27,5,0,25,36,272,0,2,9,-9,-1.00,0,0,0,0,,0,2,,0,,,6,6.0,8.0,8.0,,59,
Tracy Johnson,SEA,RB,29,15,4,0,0,0,0,0,1,2,2.00,1,4,1,-2,-2.00,0,0,,1,,,6,7.0,7.0,6.5,,114,
Chris Jones,PHI,WR,24,12,0,0,0,0,0,0,0,0,,0,9,5,61,12.20,0,0,,0,,,6,11.1,11.1,8.6,,135,
David Klingler,CIN,QB,26,3,0,7,15,88,1,1,0,0,,0,0,0,0,,0,0,,0,,,6,5.5,6.5,6.5,,61,
Ricky Powers,CLE,RB,25,3,0,0,0,0,0,0,14,51,3.64,0,1,1,6,6.00,0,0,,0,,,6,6.7,6.7,6.2,,115,
Bryan Reeves,ARI,WR,25,5,0,0,0,0,0,0,0,0,,0,8,6,62,10.33,0,0,,0,,,6,12.2,12.2,9.2,,134,
Darryl Spencer,ATL,WR,25,5,1,0,0,0,0,0,0,0,,0,14,5,60,12.00,0,0,,0,,,6,11.0,11.0,8.5,,136,
Tydus Winans,WAS,WR,23,8,1,0,0,0,0,0,0,0,,0,14,4,77,19.25,0,1,1,0,,,6,9.7,10.7,7.7,,137,
Johnnie Barnes,PIT,WR,27,3,0,0,0,0,0,0,0,0,,0,5,3,48,16.00,0,0,,0,,,5,7.8,7.8,6.3,,140,
Eric Bjornson,DAL,TE,24,14,1,0,0,0,0,0,0,0,,0,9,7,53,7.57,0,0,,0,,,5,12.3,12.3,8.8,,61,
Todd Collins,BUF,QB,24,7,1,14,29,112,0,1,9,23,2.56,0,0,0,0,,0,0,,0,,,5,4.8,5.8,5.8,,62,
Chris Gedney,CHI,TE,25,14,1,0,0,0,0,0,0,0,,0,7,5,52,10.40,0,0,,0,,,5,10.2,10.2,7.7,,62,
Paul Justin,IND,QB,27,3,1,20,36,212,0,2,3,1,0.33,0,0,0,0,,0,1,,0,,,5,4.6,6.6,6.6,,63,
Terry Mickens,GNB,WR,24,16,0,0,0,0,0,0,0,0,,0,9,3,50,16.67,0,0,,0,,,5,8.0,8.0,6.5,,138,
Steve Rhem,NOR,WR,24,8,0,0,0,0,0,0,0,0,,0,5,4,50,12.50,0,0,,0,,,5,9.0,9.0,7.0,,139,
Dwayne Carswell,DEN,TE,23,9,2,0,0,0,0,0,0,0,,0,5,3,37,12.33,0,0,,0,,,4,6.7,6.7,5.2,,64,
Zack Crockett,IND,FB,23,16,0,0,0,0,0,0,1,0,0.00,0,4,2,35,17.50,0,0,,0,,,4,5.5,5.5,4.5,,121,
Greg DeLong,MIN,TE,22,2,2,0,0,0,0,0,0,0,,0,6,6,38,6.33,0,0,,0,,,4,9.8,9.8,6.8,,63,
Bobby Joe Edmonds,TAM,RB,31,16,0,0,0,0,0,0,5,28,5.60,0,,1,8,8.00,0,1,,0,,,4,4.6,4.6,4.1,,120,
Jeff Hill,CIN,WR,23,16,0,0,0,0,0,0,1,-3,-3.00,0,11,4,44,11.00,0,0,,0,,,4,8.1,8.1,6.1,,142,
Rodney Holman,DET,TE,35,16,3,0,0,0,0,0,0,0,,0,5,5,35,7.00,0,0,,0,,,4,8.5,8.5,6.0,,68,
Jimmie Johnson,PHI,TE,29,16,1,0,0,0,0,0,0,0,,0,6,6,37,6.17,0,0,,0,,,4,9.7,9.7,6.7,,65,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aubrey Matthews,DET,WR,33,11,0,0,0,0,0,0,0,0,,0,6,4,41,10.25,0,0,,0,,,4,8.1,8.1,6.1,,143,
Troy Sadowski,CIN,TE,30,12,0,0,0,0,0,0,0,0,,0,5,5,37,7.40,0,0,,0,,,4,8.7,8.7,6.2,,66,
J.T. Thomas,STL,WR,24,15,1,0,0,0,0,0,0,0,,0,16,5,42,8.40,0,1,,0,,,4,9.2,9.2,6.7,,141,
Kevin Turner,PHI,FB,26,2,2,0,0,0,0,0,2,9,4.50,0,4,4,29,7.25,0,0,,0,,,4,7.8,7.8,5.8,,119,
Derek Ware,CIN,TE,28,7,0,0,0,0,0,0,0,0,,0,6,2,36,18.00,0,0,,0,,,4,5.6,5.6,4.6,,67,
Jamal Willis,SFO,RB,23,11,1,0,0,0,0,0,12,35,2.92,0,3,3,8,2.67,0,0,,0,,,4,7.3,7.3,5.8,,118,
Charles Arbuckle,IND,TE,27,3,3,0,0,0,0,0,0,0,,0,4,4,33,8.25,0,0,,0,,,3,7.3,7.3,5.3,,69,
Rob Coons,BUF,TE,26,4,0,0,0,0,0,0,0,0,,0,5,3,28,9.33,0,0,,0,,,3,5.8,5.8,4.3,,72,
Glenn Foley,NYJ,QB,25,1,0,16,29,128,0,1,1,9,9.00,0,1,1,-9,-9.00,0,0,,0,,,3,4.1,5.1,4.6,,65,
Antonio Freeman,GNB,WR,23,11,0,0,0,0,0,0,0,0,,0,12,8,106,13.25,1,7,7,1,,,3,10.6,20.6,6.6,,145,
Tom Hodson,NOR,QB,28,4,0,3,5,14,0,0,0,0,,0,0,0,0,,0,0,,0,,1,3,2.6,2.6,2.6,,66,
Bill Musgrave,DEN,QB,28,4,0,8,12,93,0,0,4,-4,-1.00,0,0,0,0,,0,1,,0,,,3,3.3,3.3,3.3,,64,
Bobby Phillips,MIN,RB,26,8,0,0,0,0,0,0,14,26,1.86,0,0,0,0,,0,1,,0,,,3,2.6,2.6,2.6,,124,
Jim Price,STL,TE,29,13,0,0,0,0,0,0,0,0,,0,6,4,29,7.25,0,0,,0,,,3,6.9,6.9,4.9,,71,
Ricky Proehl,SEA,WR,27,8,0,0,0,0,0,0,0,0,,0,18,5,29,5.80,0,0,,0,,,3,7.9,7.9,5.4,,144,
Reggie Rivers,DEN,RB,27,16,0,0,0,0,0,0,2,2,1.00,0,3,3,32,10.67,0,0,,0,,,3,6.4,6.4,4.9,,122,
Michael Roan,HOU,TE,23,5,2,0,0,0,0,0,0,0,,0,8,8,46,5.75,0,1,1,0,,,3,10.6,11.6,6.6,,74,
Jeff Thomason,GNB,TE,26,16,1,0,0,0,0,0,0,0,,0,5,3,32,10.67,0,0,,0,,,3,6.2,6.2,4.7,,70,
Tommy Vardell,CLE,FB,26,5,0,0,0,0,0,0,4,9,2.25,0,10,6,18,3.00,0,0,,0,,,3,8.7,8.7,5.7,,123,
Ronnie Williams,MIA,TE,29,16,2,0,0,0,0,0,0,0,,0,5,3,28,9.33,0,0,,0,,,3,5.8,5.8,4.3,,73,
Dave Barr,STL,QB,23,2,0,5,9,42,0,0,1,5,5.00,0,0,0,0,,0,0,,0,,,2,2.2,2.2,2.2,,67,
Donnell Bennett,KAN,RB,23,3,1,0,0,0,0,0,7,11,1.57,0,1,1,12,12.00,0,0,,0,,,2,3.3,3.3,2.8,,125,
Reggie Cobb,JAX,RB,27,1,0,0,0,0,0,0,9,18,2.00,0,1,0,0,,0,1,,0,,,2,1.8,1.8,1.8,,128,
Cary Conklin,SFO,QB,27,2,0,4,12,48,0,0,0,0,,0,0,0,0,,0,0,,0,,,2,1.9,1.9,1.9,,69,
Mike Dulaney,CHI,RB,25,5,1,0,0,0,0,0,0,0,,0,2,2,22,11.00,0,0,,0,,,2,4.2,4.2,3.2,,126,
Chad Fann,ARI,TE,25,16,3,0,0,0,0,0,0,0,,0,6,5,41,8.20,0,1,1,0,,,2,7.1,8.1,4.6,,77,
Gale Gilbert,SDG,QB,34,16,1,36,61,325,0,4,6,11,1.83,0,0,0,0,,0,2,2,0,,,2,2.1,11.1,6.1,,68,
Calvin Jones,OAK,RB,25,8,0,0,0,0,0,0,5,19,3.80,0,0,0,0,,0,1,,0,,,2,1.9,1.9,1.9,,127,
Yonel Jourdain,BUF,RB,24,8,0,0,0,0,0,0,8,31,3.88,0,1,1,7,7.00,0,2,1,0,,,2,2.8,3.8,2.3,,129,
Craig Keith,JAX,TE,24,11,2,0,0,0,0,0,0,0,,0,3,3,20,6.67,0,0,,0,,,2,5.0,5.0,3.5,,78,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenyon Rasheed,NYJ,FB,25,3,0,0,0,0,0,0,1,3,3.00,0,2,2,15,7.50,0,0,,0,,,2,3.8,3.8,2.8,,130,
Tony Richardson,KAN,FB,24,14,1,0,0,0,0,0,8,18,2.25,0,1,0,0,,0,0,,0,,,2,1.8,1.8,1.8,,131,
Terry Samuels,ARI,TE,25,4,1,0,0,0,0,0,0,0,,0,3,2,19,9.50,0,0,,0,,,2,3.9,3.9,2.9,,79,
Ricky Sanders,ATL,WR,35,3,1,0,0,0,0,0,0,0,,0,5,2,24,12.00,0,0,,0,,,2,4.4,4.4,3.4,,146,
Damon Thomas,BUF,WR,25,14,0,0,0,0,0,0,0,0,,0,2,1,18,18.00,0,1,,0,,,2,2.8,2.8,2.3,,147,
Mike Tice,MIN,TE,36,3,1,0,0,0,0,0,0,0,,0,3,3,22,7.33,0,0,,0,,,2,5.2,5.2,3.7,,75,
Lawyer Tillman,CAR,TE,29,5,0,0,0,0,0,0,0,0,,0,5,2,22,11.00,0,0,,0,,,2,4.2,4.2,3.2,,76,
Tim Tindale,BUF,FB,24,16,0,0,0,0,0,0,5,16,3.20,0,0,0,0,,0,0,,0,,,2,1.6,1.6,1.6,,132,
Tom Tupa,CLE,QB,29,16,0,1,1,25,0,0,1,9,9.00,0,0,0,0,,0,0,,0,,,2,1.9,1.9,1.9,,70,
Mike Williams,MIA,WR,29,12,0,0,0,0,0,0,0,0,,0,5,2,17,8.50,0,0,,0,,,2,3.7,3.7,2.7,,148,
Eric Ball,OAK,RB,29,16,0,0,0,0,0,0,2,10,5.00,0,0,0,0,,0,0,,0,,,1,1.0,1.0,1.0,,137,
William Bell,WAS,RB,24,16,0,0,0,0,0,0,4,13,3.25,0,0,0,0,,0,0,,0,,,1,1.3,1.3,1.3,,133,
Kirk Botkin,NOR,TE,24,16,0,0,0,0,0,0,0,0,,0,1,1,8,8.00,0,0,,0,,,1,1.8,1.8,1.3,,82,
Dexter Carter,2TM,RB,28,17,0,0,0,0,0,0,7,22,3.14,0,5,2,4,2.00,0,8,4,1,,,1,2.6,6.6,1.6,,141,
