Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Brett Favre*+,GNB,QB,27,16,16,325,543,3899,39,13,49,136,2.78,2,0,0,0,,0,11,4,2,,3,310,309.6,332.6,322.6,154,1,1
Terry Allen*,WAS,RB,28,16,16,0,0,0,0,0,347,1353,3.90,21,42,32,194,6.06,0,4,2,21,,,277,308.7,316.7,292.7,150,1,2
Terrell Davis*+,DEN,RB,24,16,16,0,0,0,0,0,345,1538,4.46,13,52,36,310,8.61,2,5,3,15,,,269,304.8,313.8,286.8,142,2,3
Vinny Testaverde*,BAL,QB,33,16,16,325,549,4177,33,19,34,188,5.53,2,0,0,0,,0,9,7,2,1,3,286,285.9,317.9,304.9,130,2,4
Ricky Watters*,PHI,RB,27,16,16,0,0,0,0,0,353,1411,4.00,13,70,51,444,8.71,0,5,5,13,,,254,304.5,315.5,279.0,127,3,5
Curtis Martin*,NWE,RB,23,16,15,0,0,0,0,0,316,1152,3.65,14,52,46,333,7.24,3,4,3,17,1,,247,292.5,301.5,269.5,120,4,6
Mark Brunell*,JAX,QB,26,16,16,353,557,4367,19,20,80,396,4.95,3,0,0,0,,0,14,3,3,2,3,272,272.3,301.3,292.3,117,3,7
Emmitt Smith,DAL,RB,27,15,15,0,0,0,0,0,327,1204,3.68,12,57,47,249,5.30,3,5,2,15,,,231,278.3,286.3,254.8,105,5,8
Shannon Sharpe*+,DEN,TE,28,15,15,0,0,0,0,0,0,0,,0,117,80,1062,13.28,10,1,1,10,,,164,244.2,248.2,204.2,104,1,9
Barry Sanders*,DET,RB,28,16,16,0,1,0,0,1,307,1553,5.06,11,32,24,147,6.13,0,4,2,11,,,230,254.0,263.0,243.0,103,6,10
Jeff Blake,CIN,QB,26,16,16,308,549,3624,24,14,72,317,4.40,2,0,0,0,,0,7,3,2,,1,253,252.7,275.7,266.7,97,4,11
John Elway*,DEN,QB,36,15,15,287,466,3328,26,14,50,249,4.98,4,0,0,0,,0,6,4,4,,,250,250.0,274.0,264.0,94,5,12
Michael Jackson,BAL,WR,27,16,16,0,0,0,0,0,0,0,,0,150,76,1201,15.80,14,0,,14,2,,208,284.1,287.1,246.1,93,1,13
Drew Bledsoe*,NWE,QB,24,16,16,373,623,4086,27,15,24,27,1.13,0,0,0,0,,0,9,2,0,,4,248,248.1,268.1,263.1,92,6,14
Jerome Bettis*+,PIT,RB,24,16,12,0,0,0,0,0,320,1431,4.47,11,32,22,122,5.55,0,7,3,11,,,215,237.3,246.3,226.3,89,7,15
Tony Martin*,SDG,WR,31,16,16,0,0,0,0,0,0,0,,0,167,85,1171,13.78,14,0,,14,,,201,286.1,289.1,243.6,86,2,16
Carl Pickens*,CIN,WR,26,16,16,1,1,12,0,0,2,2,1.00,0,174,100,1180,11.80,12,0,,12,1,,193,292.7,295.7,242.7,78,3,17
Jerry Rice*+,SFO,WR,34,16,16,0,1,0,0,0,11,77,7.00,1,153,108,1254,11.61,8,0,,9,,,187,295.1,298.1,241.1,72,4,18
Herman Moore*+,DET,WR,27,16,16,0,0,0,0,0,0,0,,0,178,106,1296,12.23,9,0,,9,1,,186,291.6,294.6,238.6,71,5,19
Wesley Walls*,CAR,TE,30,16,15,0,0,0,0,0,0,0,,0,111,61,713,11.69,10,0,,10,,,131,192.3,195.3,161.8,71,2,20
Eddie George,HOU,RB,23,16,16,0,0,0,0,0,335,1368,4.08,8,28,23,182,7.91,0,3,3,8,,,197,220.0,229.0,208.5,70,8,21
Irving Fryar*,PHI,WR,34,16,16,0,0,0,0,0,1,-4,-4.00,0,152,88,1195,13.58,11,0,,11,,,185,273.1,276.1,229.1,70,6,22
Ben Coates*,NWE,TE,27,16,15,0,0,0,0,0,0,0,,0,100,62,682,11.00,9,1,1,9,1,,122,184.2,188.2,153.2,62,3,23
Karim Abdul-Jabbar,MIA,RB,22,16,14,0,0,0,0,0,307,1116,3.64,11,46,23,139,6.04,0,4,3,11,,,186,208.5,217.5,197.0,59,9,24
Jake Reed,MIN,WR,29,16,15,0,0,0,0,0,0,0,,0,126,72,1320,18.33,7,0,,7,,,174,246.0,249.0,210.0,59,8,25
Cris Carter*,MIN,WR,31,16,16,0,0,0,0,0,0,0,,0,167,96,1163,12.11,10,1,1,10,,,174,270.3,274.3,222.3,59,7,26
Isaac Bruce*,STL,WR,24,16,16,1,2,15,0,1,1,4,4.00,0,150,84,1338,15.93,7,1,1,7,,,173,256.8,261.8,215.8,58,9,27
Jamal Anderson,ATL,RB,24,16,12,0,0,0,0,0,232,1055,4.55,5,67,49,473,9.65,1,4,4,6,,,181,229.8,239.8,205.3,54,10,28
Derrick Alexander,BAL,WR,25,15,14,0,0,0,0,0,3,0,0.00,0,107,62,1099,17.73,9,0,,9,1,,166,227.9,230.9,196.9,51,10,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith Jackson*,GNB,TE,31,16,5,0,0,0,0,0,0,0,,0,63,40,505,12.63,10,0,,10,,,111,150.5,153.5,130.5,50,4,30
Jimmy Smith,JAX,WR,27,16,9,0,0,0,0,0,0,0,,0,128,83,1244,14.99,7,1,1,7,,,164,247.4,251.4,205.9,49,11,31
