Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Walter Payton*,CHI,RB,26,16,16,1,1,54,1,0,369,1610,4.36,14,31,313,10.10,2,7,,16,,,287,318.5,328.0,303.0,146,1,1
Earl Campbell*+,HOU,RB,24,16,16,0,0,0,0,0,368,1697,4.61,19,16,94,5.88,0,8,,19,,,285,301.1,308.1,293.1,144,2,2
Wilbert Montgomery*,PHI,RB,25,16,16,0,0,0,0,0,338,1512,4.47,9,41,494,12.05,5,14,,14,,,271,311.6,324.6,291.1,130,3,3
Ottis Anderson*+,STL,RB,22,16,16,0,1,0,0,0,331,1605,4.85,8,41,308,7.51,2,10,,10,,,241,282.3,293.3,261.8,100,4,4
Mike Pruitt*,CLE,FB,25,16,16,0,0,0,0,0,264,1294,4.90,9,41,372,9.07,2,6,,11,,,227,267.6,276.6,247.1,86,5,5
Stanley Morgan*,NWE,WR,24,16,16,0,0,0,0,0,7,39,5.57,0,44,1002,22.77,12,1,,13,,,181,225.1,228.6,203.1,81,1,6
Steve Largent*,SEA,WR,25,15,15,0,0,0,0,0,0,0,,0,66,1237,18.74,9,0,,9,,,178,243.7,246.7,210.7,78,2,7
Sherman Smith,SEA,RB,25,16,15,1,1,11,0,0,194,775,3.99,11,48,499,10.40,4,1,,15,,,217,264.8,271.3,240.8,76,6,8
Chuck Muncie*,NOR,RB,26,16,15,1,2,40,1,0,238,1198,5.03,11,40,308,7.70,0,8,,11,,,214,254.2,264.2,234.2,73,7,9
John Jefferson*+,SDG,WR,23,15,15,0,0,0,0,0,0,0,,0,61,1090,17.87,10,0,,10,,,169,230.0,233.0,199.5,69,3,10
Steve Grogan,NWE,QB,26,16,16,206,423,3286,28,20,64,368,5.75,2,0,0,,0,12,,2,,,240,240.2,272.2,260.2,68,1,11
Franco Harris*,PIT,FB,29,15,15,0,0,0,0,0,267,1186,4.44,11,36,291,8.08,1,11,,12,,,209,244.7,256.2,226.7,68,8,12
