Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Rod Bernstine,SDG,TE,25,12,1,0,0,0,0,0,124,589,4.75,4,8,40,5.00,0,1,,4,,,86,93.9,97.4,89.9,28,5,40
Flipper Anderson,RAM,WR,25,16,13,0,0,0,0,0,1,13,13.00,0,51,1097,21.51,4,0,,4,,,135,186.0,189.0,160.5,27,11,41
Anthony Miller*,SDG,WR,25,16,16,0,0,0,0,0,3,13,4.33,0,63,933,14.81,7,2,,7,,,135,197.6,201.6,166.1,26,12,42
Jim Kelly*,BUF,QB,30,14,14,219,346,2829,24,9,22,63,2.86,0,0,0,,0,4,,0,,,193,193.5,207.5,202.5,24,9,43
Drew Hill*,HOU,WR,34,16,16,0,0,0,0,0,0,0,,0,74,1019,13.77,5,0,,5,,,132,205.9,208.9,168.9,24,13,44
Eric Green,PIT,TE,23,13,6,0,0,0,0,0,0,0,,0,34,387,11.38,7,1,,7,,,80,113.7,117.2,96.7,22,6,45
Stephone Paige,KAN,WR,29,16,16,0,0,0,0,0,0,0,,0,65,1021,15.71,5,3,,5,,,129,194.1,198.6,161.6,21,15,46
Jessie Hester,IND,WR,27,16,14,0,0,0,0,0,4,9,2.25,0,54,924,17.11,6,0,,6,,,129,183.3,186.3,156.3,21,14,47
Steve Jordan*,MIN,TE,29,16,16,0,0,0,0,0,0,0,,0,45,636,14.13,3,3,,3,,,79,123.6,128.1,101.1,21,7,48
Brad Muster,CHI,FB,25,16,15,0,0,0,0,0,141,664,4.71,6,47,452,9.62,0,3,,6,,,145,191.6,199.1,168.1,20,18,49
Sammie Smith,MIA,RB,23,16,16,0,0,0,0,0,226,831,3.68,8,11,134,12.18,1,8,,9,,,143,153.5,163.5,148.0,18,19,50
Kevin Mack,CLE,FB,28,14,14,0,0,0,0,0,158,702,4.44,5,42,360,8.57,2,6,,7,,,142,184.2,193.2,163.2,18,20,51
Eddie Brown,CIN,WR,28,14,12,0,0,0,0,0,0,0,,0,44,706,16.05,9,0,,9,,,125,168.6,171.6,146.6,16,16,52
Mark Jackson,DEN,WR,27,16,15,0,0,0,0,0,5,28,5.60,1,57,926,16.25,4,1,,5,,,124,181.4,184.9,152.9,16,17,53
Marv Cook,NWE,TE,24,16,16,0,0,0,0,0,0,0,,0,51,455,8.92,5,2,,5,,,74,124.5,128.5,99.0,16,8,54
Hassan Jones,MIN,WR,26,15,10,0,0,0,0,0,1,-7,-7.00,0,51,810,15.88,7,0,,7,,,122,173.3,176.3,147.8,14,18,55
Johnny Johnson*,PHO,RB,22,14,14,0,1,0,0,1,234,926,3.96,5,25,241,9.64,0,7,,5,,,138,162.7,173.2,151.2,13,21,56
Fred Barnett,PHI,WR,24,16,11,0,0,0,0,0,2,13,6.50,0,36,721,20.03,8,0,,8,,,121,157.4,160.4,139.4,13,19,57
Mark Bavaro,NYG,TE,27,15,15,0,0,0,0,0,0,0,,0,33,393,11.91,5,0,,5,,,69,102.3,105.3,85.8,12,9,58
Gary Anderson,TAM,RB,29,16,13,0,0,0,0,0,166,646,3.89,3,38,464,12.21,2,7,,5,,,134,172.0,181.5,153.0,10,22,59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
