Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Eric Dickerson*+,IND,RB,28,16,16,0,0,0,0,0,388,1659,4.28,14,36,377,10.47,1,5,,15,,,289,324.6,333.1,306.6,153,1,1
Randall Cunningham*,PHI,QB,25,16,16,301,560,3808,24,16,93,624,6.71,6,0,0,,0,12,,6,,,303,302.7,330.7,318.7,129,1,2
Roger Craig*+,SFO,FB,28,16,15,0,0,0,0,0,310,1502,4.85,9,76,534,7.03,1,8,,10,,,256,331.6,341.6,293.6,120,2,3
Herschel Walker*,DAL,RB,26,16,16,0,0,0,0,0,361,1514,4.19,5,53,505,9.53,2,6,,7,,,238,290.9,299.9,264.4,103,3,4
Greg Bell,RAM,RB,26,16,13,0,0,0,0,0,288,1212,4.21,16,24,124,5.17,2,6,,18,,,236,259.6,268.6,247.6,100,4,5
Henry Ellard*+,RAM,WR,27,16,15,0,0,0,0,0,1,7,7.00,0,86,1414,16.44,10,3,,10,,,199,285.1,289.6,242.1,91,1,6
Jerry Rice*+,SFO,WR,26,16,16,1,3,14,0,1,13,107,8.23,1,64,1306,20.41,9,2,,10,,,198,261.9,269.9,230.9,89,2,7
Mark Clayton*,MIA,WR,27,16,16,0,0,0,0,0,1,4,4.00,0,86,1129,13.13,14,0,,14,,,197,283.3,286.3,240.3,89,3,8
Ricky Sanders,WAS,WR,28,16,4,0,0,0,0,0,2,14,7.00,0,73,1148,15.73,12,0,,12,,,188,261.2,264.2,224.7,80,4,9
Boomer Esiason*+,CIN,QB,27,16,16,223,388,3572,28,14,43,248,5.77,1,0,0,,0,5,,1,,,253,252.7,275.2,266.7,79,2,10
Jim Everett,RAM,QB,25,16,16,308,517,3964,31,18,34,104,3.06,0,0,0,,0,7,,0,,,250,250.0,277.5,268.0,77,3,11
Neal Anderson*,CHI,RB,24,16,16,0,1,0,0,0,249,1106,4.44,12,39,371,9.51,0,8,,12,,,212,250.7,260.7,231.2,76,5,12
Ickey Woods,CIN,FB,22,16,10,0,0,0,0,0,203,1066,5.25,15,21,199,9.48,0,8,,15,,,209,229.5,239.5,219.0,73,6,13
Eddie Brown*,CIN,WR,26,16,16,0,0,0,0,0,1,-5,-5.00,0,53,1273,24.02,9,1,,9,,,180,232.8,236.3,206.3,71,5,14
James Brooks*,CIN,RB,30,15,15,0,0,0,0,0,182,931,5.12,8,29,287,9.90,6,1,,14,,,205,233.8,240.3,219.3,70,7,15
John Settle*,ATL,FB,23,16,13,0,0,0,0,0,232,1024,4.41,7,68,570,8.38,1,3,,8,,,204,272.4,279.9,238.4,69,8,16
Drew Hill*,HOU,WR,32,16,16,0,0,0,0,0,0,0,,0,72,1141,15.85,10,0,,10,,,174,246.1,249.1,210.1,66,6,17
Keith Jackson*+,PHI,TE,23,16,15,0,0,0,0,0,0,0,,0,81,869,10.73,6,3,,6,,,120,200.9,205.4,160.4,64,1,18
John Williams,SEA,FB,24,16,16,0,0,0,0,0,189,877,4.64,4,58,651,11.22,3,0,,7,,,195,252.8,258.8,223.8,60,9,19
Dan Marino,MIA,QB,27,16,16,354,606,4434,28,23,20,-17,-0.85,0,0,0,,0,10,,0,,,232,231.7,262.7,254.7,58,4,20
Mickey Shuler*,NYJ,TE,32,15,15,0,0,0,0,0,0,0,,0,70,805,11.50,5,1,,5,,,110,179.5,183.0,144.5,54,2,21
Anthony Carter*,MIN,WR,28,16,16,0,0,0,0,0,4,41,10.25,0,72,1225,17.01,6,1,,6,,,162,233.6,237.1,197.6,53,7,22
Curt Warner,SEA,RB,27,16,16,0,0,0,0,0,266,1025,3.85,10,22,154,7.00,2,5,,12,,,185,206.9,215.4,195.9,50,10,23
Steve Jordan*,MIN,TE,27,16,16,0,0,0,0,0,0,0,,0,57,756,13.26,5,2,,5,,,104,160.6,164.6,132.1,48,3,24
Bruce Hill,TAM,WR,24,14,14,0,0,0,0,0,2,-11,-5.50,0,58,1040,17.93,9,2,,9,,,155,212.9,216.9,183.9,46,8,25
Roy Green,PHO,WR,31,16,16,0,0,0,0,0,4,1,0.25,0,68,1097,16.13,7,0,,7,,,152,219.8,222.8,185.8,43,9,26
Keith Byars,PHI,RB,25,16,16,0,2,0,0,0,152,517,3.40,6,72,705,9.79,4,5,,10,,,177,249.2,257.7,213.2,42,11,27
Eric Martin*,NOR,WR,27,16,16,0,0,0,0,0,2,12,6.00,0,85,1083,12.74,7,2,,7,,,150,234.5,238.5,192.0,41,10,28
Louis Lipps,PIT,WR,26,16,16,1,2,13,1,1,6,129,21.50,1,50,973,19.46,5,2,,6,,,147,196.7,204.7,172.7,38,11,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earl Ferrell,PHO,FB,30,16,16,0,0,0,0,0,202,924,4.57,7,38,315,8.29,2,7,,9,,,171,208.9,218.4,189.9,36,12,30
Mark Bavaro,NYG,TE,25,16,15,0,0,0,0,0,0,0,,0,53,672,12.68,4,1,,4,,,90,143.2,146.7,116.7,35,4,31
Mike Rozier*,HOU,RB,27,15,14,0,0,0,0,0,251,1002,3.99,10,11,99,9.00,1,7,,11,,,169,180.1,186.6,174.6,34,13,32
Phil Simms,NYG,QB,33,15,15,263,479,3359,21,11,33,152,4.61,0,0,0,,0,7,,0,,,205,204.6,225.1,215.6,31,5,33
Andre Reed*,BUF,WR,24,15,14,0,0,0,0,0,6,64,10.67,0,71,968,13.63,6,1,,6,,,138,209.2,212.7,173.7,30,12,34
Neil Lomax,PHO,QB,29,14,14,255,443,3395,20,11,17,55,3.24,1,0,0,,0,5,,1,,,200,200.3,216.8,211.3,27,6,35
Freeman McNeil,NYJ,RB,29,16,16,0,0,0,0,0,219,944,4.31,6,34,288,8.47,1,3,,7,,,162,196.2,203.7,179.2,27,14,36
Al Toon*,NYJ,WR,25,15,15,0,0,0,0,0,1,5,5.00,0,93,1067,11.47,5,2,,5,,,135,228.2,232.2,181.7,27,13,37
Joe Montana,SFO,QB,32,14,13,238,397,2981,18,10,38,132,3.47,3,0,0,,0,3,,3,,,199,199.4,216.9,209.4,26,7,38
Jay Novacek,PHO,TE,26,16,1,0,0,0,0,0,1,10,10.00,0,38,569,14.97,4,0,,4,,,82,119.9,122.9,100.9,26,5,39
Pete Holohan,RAM,TE,29,16,6,0,0,0,0,0,0,0,,0,59,640,10.85,3,1,,3,,,81,140.0,143.5,110.5,26,6,40
Marcus Allen,RAI,RB,28,15,15,1,2,21,0,0,223,831,3.73,7,34,303,8.91,1,5,,8,,,157,191.2,199.7,174.2,22,15,41
Stephone Paige,KAN,WR,27,16,16,0,0,0,0,0,0,0,,0,61,902,14.79,7,2,,7,,,130,191.2,195.2,160.7,22,14,42
Gary Clark,WAS,WR,26,16,13,0,0,0,0,0,2,6,3.00,0,59,892,15.12,7,2,,7,,,130,188.8,192.8,159.3,21,15,43
Art Monk,WAS,WR,31,16,13,0,1,0,0,0,7,46,6.57,0,72,946,13.14,5,0,,5,,,129,201.2,204.2,165.2,21,17,44
Ernest Givins,HOU,WR,24,16,16,0,0,0,0,0,4,26,6.50,0,60,976,16.27,5,1,,5,,,129,189.2,192.7,159.2,21,16,45
Steve Pelluer,DAL,QB,26,16,14,245,435,3139,17,19,51,314,6.16,2,0,0,,0,6,,2,,,193,193.0,221.0,212.0,20,8,46
Lionel Manuel,NYG,WR,26,16,16,0,0,0,0,0,4,27,6.75,0,65,1029,15.83,4,1,,4,,,129,193.6,197.1,161.1,20,18,47
Dalton Hilliard,NOR,RB,24,16,8,1,2,27,1,0,204,823,4.03,5,34,335,9.85,1,3,,6,,,154,187.9,195.4,170.9,19,16,48
John Stephens*,NWE,RB,22,16,14,0,0,0,0,0,297,1168,3.93,4,14,98,7.00,0,3,,5,,,154,167.6,172.1,160.6,18,17,49
J.T. Smith*,PHO,WR,33,16,16,0,0,0,0,0,1,15,15.00,0,83,986,11.88,5,4,,5,,,126,209.1,214.1,167.6,18,19,50
Reggie Langhorne,CLE,WR,25,16,16,0,0,0,0,0,2,26,13.00,1,57,780,13.68,7,3,,8,,,126,182.6,187.1,154.1,17,20,51
Mark Carrier,TAM,WR,23,16,16,0,0,0,0,0,0,0,,0,57,970,17.02,5,2,,5,,,125,182.0,186.0,153.5,17,21,52
Damone Johnson,RAM,TE,26,16,15,0,0,0,0,0,0,0,,0,42,350,8.33,6,0,,6,,,71,113.0,116.0,92.0,16,7,53
Ferrell Edmunds,MIA,TE,23,16,14,0,0,0,0,0,1,-8,-8.00,0,33,575,17.42,3,4,,3,,,71,103.7,108.7,87.2,15,8,54
Joe Morris,NYG,RB,28,16,15,0,0,0,0,0,307,1083,3.53,5,22,166,7.55,0,7,,5,,,148,169.9,179.4,158.9,13,19,55
Robb Riddick,BUF,RB,31,15,0,2,2,31,0,0,111,438,3.95,12,30,282,9.40,1,3,,13,,,148,178.2,185.7,163.2,13,18,56
Rodney Holman*,CIN,TE,28,16,16,0,0,0,0,0,0,0,,0,39,527,13.51,3,2,,3,,,69,107.7,111.7,88.2,13,9,57
Robert Awalt,PHO,TE,24,16,15,0,0,0,0,0,0,0,,0,39,454,11.64,4,1,,4,,,68,107.4,110.9,87.9,13,10,58
Merril Hoge,PIT,FB,23,16,8,0,0,0,0,0,170,705,4.15,3,50,487,9.74,3,8,,6,,,147,197.2,207.2,172.2,12,20,59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Jackson,DEN,WR,25,12,4,0,0,0,0,0,1,5,5.00,0,46,852,18.52,6,1,,6,,,121,166.7,170.2,143.7,12,22,60
John Elway,DEN,QB,28,15,15,274,496,3309,17,19,54,234,4.33,1,0,0,,0,7,,1,,,185,184.8,213.3,203.8,11,9,61
Vance Johnson,DEN,WR,25,16,13,0,0,0,0,0,1,1,1.00,0,68,896,13.18,5,0,,5,,,120,187.7,190.7,153.7,11,23,62
Cris Carter,PHI,WR,23,16,16,0,0,0,0,0,1,1,1.00,0,39,761,19.51,6,0,,7,,,118,157.2,160.2,137.7,10,24,63
Brian Blades,SEA,WR,23,16,7,0,0,0,0,0,5,24,4.80,0,40,682,17.05,8,1,,8,,,118,157.6,161.1,137.6,9,25,64
Gary Anderson,SDG,RB,27,14,13,0,0,0,0,0,225,1119,4.97,3,32,182,5.69,0,5,,3,,,143,175.1,183.6,159.1,8,21,65
Tim Brown*,RAI,WR,22,16,9,0,0,0,0,0,14,50,3.57,1,43,725,16.86,5,5,,7,,,115,157.5,163.0,136.0,6,27,66
Ray Alexander,DAL,WR,26,16,11,0,0,0,0,0,0,0,,0,54,788,14.59,6,0,,6,,,115,168.8,171.8,141.8,6,26,67
Earnest Byner,CLE,RB,26,16,16,0,0,0,0,0,157,576,3.67,3,59,576,9.76,2,5,,5,,,140,199.2,207.7,169.7,5,22,68
Clarence Kay,DEN,TE,27,14,14,0,0,0,0,0,0,0,,0,34,352,10.35,4,1,,4,,,58,92.2,95.7,75.2,3,11,69
Warren Moon*,HOU,QB,32,11,11,160,294,2327,17,8,33,88,2.67,5,0,0,,0,8,,5,,,176,175.9,190.9,183.9,2,10,70
Bobby Hebert,NOR,QB,28,16,16,280,478,3156,20,15,37,79,2.14,0,2,0,0.00,0,9,,0,,,175,177.1,199.6,191.1,2,11,71
Johnny Hector,NYJ,RB,28,16,1,0,1,0,0,0,137,561,4.09,10,26,237,9.12,0,3,,10,,,137,162.8,170.3,149.8,2,23,72
Lonzell Hill,NOR,WR,23,16,15,0,1,0,0,0,2,7,3.50,0,66,703,10.65,7,3,,7,,,110,176.0,180.5,143.0,2,28,73
Bill Brooks,IND,WR,24,16,16,0,0,0,0,0,5,62,12.40,0,54,867,16.06,3,1,,3,,,110,163.9,167.4,136.9,1,29,74
Wade Wilson*,MIN,QB,29,14,10,204,332,2746,15,9,36,136,3.78,2,0,0,,0,4,,2,,,173,173.4,190.4,182.4,,12,75
Jim Kelly*,BUF,QB,28,16,16,269,452,3380,15,17,35,154,4.40,0,1,5,5.00,0,5,,0,,,172,173.1,198.6,189.6,,13,76
Bubby Brister,PIT,QB,26,13,13,175,370,2634,11,14,45,209,4.64,6,0,0,,0,8,,6,,,170,170.3,194.3,184.3,,14,77
Steve DeBerg,KAN,QB,34,13,11,224,414,2935,16,16,18,30,1.67,1,0,0,,0,1,,1,,,157,157.4,176.9,173.4,,15,78
Ken O'Brien,NYJ,QB,28,14,12,236,424,2567,15,7,21,25,1.19,0,0,0,,0,11,,0,,,140,140.2,155.7,147.2,,17,
Doug Williams,WAS,QB,33,11,10,213,380,2609,15,12,9,0,0.00,1,0,0,,0,6,,1,,,140,140.4,158.4,152.4,,16,
