Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Marcus Allen*+,RAI,RB,25,16,16,1,2,16,0,0,380,1759,4.63,11,67,555,8.28,3,3,,14,,,313,380.0,387.5,346.5,167,1,1
Roger Craig*,SFO,FB,25,16,16,0,0,0,0,0,214,1050,4.91,9,92,1016,11.04,6,5,,15,,,292,383.6,392.1,337.6,146,2,2
Joe Morris*,NYG,RB,25,16,16,0,0,0,0,0,294,1336,4.54,21,22,212,9.64,0,6,,21,,,275,296.8,305.8,285.8,129,3,3
Walter Payton*+,CHI,RB,32,16,16,3,5,96,1,0,324,1551,4.79,9,49,483,9.86,2,6,,11,,,271,320.2,329.2,295.7,126,4,4
Gerald Riggs*,ATL,RB,25,16,16,0,0,0,0,0,397,1719,4.33,10,33,267,8.09,0,0,,10,,,259,291.6,297.6,275.1,113,5,5
Louis Lipps*,PIT,WR,23,16,16,0,0,0,0,0,2,16,8.00,1,59,1134,19.22,12,5,,15,,,200,259.0,264.5,229.5,92,1,6
Tony Dorsett,DAL,RB,31,16,16,0,0,0,0,0,305,1307,4.29,7,46,449,9.76,3,7,,10,,,229,274.6,284.1,251.6,83,6,7
Mike Quick*+,PHI,WR,26,16,15,0,0,0,0,0,0,0,,0,73,1247,17.08,11,1,,11,,,190,262.7,266.2,226.2,82,2,8
Joe Montana*,SFO,QB,29,15,15,303,494,3653,27,13,42,153,3.64,3,0,0,,0,5,,3,,,256,256.4,277.9,269.4,80,1,9
James Brooks,CIN,RB,27,16,16,1,1,8,1,0,192,929,4.84,7,55,576,10.47,5,7,,12,,,220,274.8,284.3,247.3,74,7,10
Wes Chandler*,SDG,WR,29,15,13,0,0,0,0,0,1,9,9.00,0,67,1199,17.90,10,1,,10,,,180,246.8,250.3,213.3,72,3,11
James Wilder,TAM,FB,27,16,16,0,0,0,0,0,365,1300,3.56,10,53,341,6.43,0,9,,10,,,215,268.1,278.6,241.6,70,8,12
Drew Hill,HOU,WR,29,16,16,0,0,0,0,0,0,0,,0,64,1169,18.27,9,0,,9,,,171,234.9,237.9,202.9,63,4,13
