Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Marcus Allen*+,RAI,RB,22,9,9,1,4,47,0,0,160,697,4.36,11,38,401,10.55,3,5,,14,,,191,228.7,237.2,209.7,201,1,1
Wes Chandler*+,SDG,WR,26,8,8,0,0,0,0,0,5,32,6.40,0,49,1032,21.06,9,0,,9,,,160,209.4,212.4,184.9,192,1,2
Wendell Tyler,RAM,RB,27,9,9,0,0,0,0,0,137,564,4.12,9,38,375,9.87,4,10,,13,,,162,199.9,210.9,180.9,150,2,3
William Andrews*,ATL,FB,27,9,9,0,0,0,0,0,139,573,4.12,5,42,503,11.98,2,1,,7,,,149,190.6,197.1,169.6,126,3,4
Dwight Clark*+,SFO,WR,25,9,8,0,0,0,0,0,0,0,,0,60,913,15.22,5,1,,5,,,120,180.3,183.8,150.3,121,2,5
Kellen Winslow*+,SDG,TE,25,9,9,0,1,0,0,0,0,0,,0,54,721,13.35,6,1,,6,,,107,161.1,164.6,134.1,120,1,6
Dan Fouts*+,SDG,QB,31,9,9,204,330,2883,17,11,9,8,0.89,1,0,0,,0,2,,1,,,166,166.1,181.1,177.1,119,1,7
Joe Montana,SFO,QB,26,9,9,213,346,2613,17,11,30,118,3.93,1,0,0,,0,4,,1,,,164,164.3,183.3,175.3,116,2,8
Charlie Brown*,WAS,WR,24,9,9,0,0,0,0,0,0,0,,0,32,690,21.56,8,1,,8,,,116,148.0,151.5,132.0,113,3,9
Ken Anderson*,CIN,QB,33,9,9,218,309,2495,12,9,25,85,3.40,4,0,0,,0,1,,4,,,161,161.3,173.8,170.3,111,3,10
Chuck Muncie*,SDG,RB,29,9,9,2,3,83,2,0,138,569,4.12,8,25,207,8.28,1,4,,9,,,139,163.9,171.9,151.4,109,4,11
James Lofton*,GNB,WR,26,9,9,1,1,43,0,0,4,101,25.25,1,35,696,19.89,4,0,,5,,,111,146.4,152.4,128.9,105,4,12
Freeman McNeil*+,NYJ,RB,23,9,9,0,0,0,0,0,151,786,5.21,6,16,187,11.69,1,7,,7,,,132,148.3,157.8,140.3,97,5,13
Dave Casper,HOU,TE,30,9,9,0,0,0,0,0,2,9,4.50,0,36,573,15.92,6,1,,6,,,93,129.2,132.7,111.2,95,2,14
Pete Johnson,CIN,FB,28,9,9,0,0,0,0,0,156,622,3.99,7,31,267,8.61,0,1,,7,,,130,160.9,167.4,145.4,93,6,15
Wilbert Montgomery,PHI,RB,28,8,8,0,0,0,0,0,114,515,4.52,7,20,258,12.90,2,3,,9,,,128,148.3,155.8,138.3,90,7,16
Wesley Walker*,NYJ,WR,27,9,9,0,0,0,0,0,0,0,,0,39,620,15.90,6,0,,6,,,98,137.0,140.0,117.5,81,5,17
Eddie Lee Ivery,GNB,RB,25,9,9,0,1,0,0,0,127,453,3.57,9,16,186,11.63,1,2,,10,,,122,137.9,144.9,129.9,79,8,18
Ozzie Newsome,CLE,TE,26,9,9,0,0,0,0,0,0,0,,0,49,633,12.92,3,0,,3,,,81,130.3,133.3,105.8,74,3,19
Tommy Kramer,MIN,QB,27,9,9,176,308,2037,15,12,21,77,3.67,3,0,0,,0,3,,3,,,140,140.2,156.7,152.2,73,4,20
Tony Dorsett*,DAL,RB,28,9,9,0,1,0,0,0,177,745,4.21,5,24,179,7.46,0,6,,5,,,116,140.4,149.4,128.4,69,9,21
Billy Sims*,DET,RB,27,9,8,0,0,0,0,0,172,639,3.72,4,34,342,10.06,0,7,,4,,,115,149.1,158.6,132.1,67,10,22
Jeff Moore,SFO,RB,26,9,4,0,0,0,0,0,85,281,3.31,4,37,405,10.95,4,4,,8,,,113,149.6,157.6,131.1,62,11,23
Andra Franklin*,MIA,FB,23,9,9,0,0,0,0,0,177,701,3.96,7,3,9,3.00,0,3,,7,,,110,113.0,117.5,111.5,58,12,24
John Stallworth*,PIT,WR,30,9,9,0,0,0,0,0,1,9,9.00,0,27,441,16.33,7,2,,7,,,85,112.0,116.0,98.5,58,6,25
Todd Christensen,RAI,TE,26,9,9,0,0,0,0,0,1,-6,-6.00,0,42,510,12.14,4,3,,4,,,71,113.4,117.9,92.4,56,4,26
Cliff Branch,RAI,WR,34,9,9,0,0,0,0,0,2,10,5.00,0,30,575,19.17,4,0,,4,,,83,112.5,115.5,97.5,53,7,27
Doug Cosbie,DAL,TE,26,9,9,0,0,0,0,0,1,-2,-2.00,0,30,441,14.70,4,0,,4,,,68,97.9,100.9,82.9,50,5,28
Dan Ross*,CIN,TE,25,9,9,0,0,0,0,0,0,0,,0,47,508,10.81,3,1,,3,,,68,114.8,118.3,91.3,50,6,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Theismann*,WAS,QB,33,9,9,161,252,2033,13,9,31,150,4.84,0,0,0,,0,4,,0,,,126,126.3,143.3,135.3,49,5,30
Sammy White,MIN,WR,28,7,6,0,0,0,0,0,0,0,,0,29,503,17.34,5,0,,5,,,80,109.3,112.3,94.8,49,8,31
Emery Moorehead,CHI,TE,28,9,9,0,0,0,0,0,2,3,1.50,0,30,363,12.10,5,0,,5,,,67,96.6,99.6,81.6,48,7,32
Jimmie Giles*,TAM,TE,28,9,9,0,0,0,0,0,1,1,1.00,0,28,499,17.82,3,2,,3,,,66,94.0,98.0,80.0,47,8,33
Stanley Morgan,NWE,WR,27,9,9,0,0,0,0,0,2,3,1.50,0,28,584,20.86,3,0,,3,,,77,104.7,107.7,90.7,43,9,34
Danny White*,DAL,QB,30,9,9,156,247,2079,16,12,17,91,5.35,0,0,0,,0,10,,0,,,122,122.3,142.3,134.3,41,6,35
Henry Marshall,KAN,WR,28,9,9,0,1,0,0,0,3,25,8.33,0,40,549,13.73,3,0,,3,,,75,115.4,118.4,95.4,41,10,36
Harold Carmichael,PHI,WR,33,9,8,0,0,0,0,0,0,0,,0,35,540,15.43,4,3,,4,,,75,110.0,114.5,92.5,40,11,37
Walter Payton,CHI,RB,29,9,9,1,3,39,1,0,148,596,4.03,1,32,311,9.72,0,3,,1,,,99,131.3,138.8,115.3,39,13,38
Cris Collinsworth*,CIN,WR,23,9,9,0,0,0,0,0,1,-11,-11.00,0,49,700,14.29,1,1,,1,,,74,122.9,126.4,98.4,38,12,39
Richard Todd,NYJ,QB,29,9,9,153,261,1961,14,8,13,-5,-0.38,1,0,0,,0,4,,1,,,120,119.9,132.9,127.9,37,7,40
James Wilder,TAM,FB,24,9,9,0,0,0,0,0,83,324,3.90,3,53,466,8.79,1,5,,4,,,98,151.0,159.5,124.5,36,14,41
Franco Harris,PIT,FB,32,9,9,0,0,0,0,0,140,604,4.31,2,31,249,8.03,0,1,,2,,,96,127.3,133.8,111.8,33,15,42
Tony Collins,NWE,RB,23,9,9,0,0,0,0,0,164,632,3.85,1,19,187,9.84,2,5,,3,,,95,113.9,122.4,104.4,31,16,43
