Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Jeff George,ATL,QB,27,16,16,322,524,3734,23,18,30,66,2.20,0,0,0,0,,0,12,4,0,,1,206,206.0,231.0,224.0,30,9,38
Fred Barnett,PHI,WR,28,16,16,0,0,0,0,0,0,0,,0,148,78,1127,14.45,5,1,1,5,,,141,218.7,222.7,179.7,30,14,39
Rob Moore*,NYJ,WR,26,16,16,0,0,0,0,0,1,-3,-3.00,0,159,78,1010,12.95,6,0,,6,2,,141,218.7,221.7,179.7,30,15,40
Rodney Hampton,NYG,RB,25,14,13,0,0,0,0,0,327,1075,3.29,6,20,14,103,7.36,0,0,,6,1,,156,169.8,175.8,162.8,28,12,41
Brian Blades,SEA,WR,29,16,16,0,0,0,0,0,2,32,16.00,0,138,81,1086,13.41,4,1,,4,1,,138,218.8,221.8,178.3,27,16,42
Eric Green*,PIT,TE,27,15,14,0,0,0,0,0,0,0,,0,80,46,618,13.43,4,2,2,4,,,82,127.8,132.8,104.8,27,6,43
Jerome Bettis*,RAM,RB,22,16,16,0,0,0,0,0,319,1025,3.21,3,45,31,293,9.45,1,5,3,4,2,,154,184.8,193.8,169.3,26,13,44
Errict Rhett,TAM,RB,24,16,8,0,0,0,0,0,284,1011,3.56,7,30,22,119,5.41,0,2,2,7,1,,153,175.0,183.0,164.0,26,14,45
Lewis Tillman,CHI,RB,28,16,15,0,0,0,0,0,275,899,3.27,7,39,27,222,8.22,0,1,1,7,,,152,179.1,186.1,165.6,25,15,46
Jake Reed,MIN,WR,27,16,16,0,0,0,0,0,0,0,,0,161,85,1175,13.82,4,3,3,4,,,136,220.5,226.5,178.0,25,17,47
Jeff Hostetler*,RAI,QB,33,16,16,263,455,3334,20,16,46,159,3.46,2,0,0,0,,0,10,5,2,,,199,199.3,226.3,215.3,23,10,48
Bernie Parmalee,MIA,RB,27,15,10,0,0,0,0,0,216,868,4.02,6,50,34,249,7.32,1,5,3,7,1,,150,183.7,192.7,166.7,22,16,49
Craig Heyward,ATL,RB,28,16,11,0,0,0,0,0,183,779,4.26,7,40,32,335,10.47,1,5,5,8,,,149,181.4,192.4,165.4,22,17,50
Johnny Johnson,NYJ,RB,26,16,14,0,0,0,0,0,240,931,3.88,3,57,42,303,7.21,2,4,3,5,,,147,189.4,198.4,168.4,20,18,51
Michael Haynes,NOR,WR,29,16,16,0,0,0,0,0,4,43,10.75,0,136,77,985,12.79,5,1,1,5,,,131,207.8,211.8,169.3,20,18,52
Herschel Walker,PHI,RB,32,16,14,0,0,0,0,0,113,528,4.67,5,81,50,500,10.00,2,4,2,8,,,147,196.8,204.8,171.8,19,19,53
Darnay Scott,CIN,WR,22,16,12,1,1,53,0,0,10,106,10.60,0,106,46,866,18.83,5,0,,5,,,129,175.3,181.3,152.3,19,19,54
Marcus Allen,KAN,RB,34,13,13,0,0,0,0,0,189,709,3.75,7,60,42,349,8.31,0,3,2,7,1,,146,187.8,195.8,166.8,18,20,55
Pete Metzelaars,BUF,TE,34,16,16,0,0,0,0,0,0,0,,0,68,49,428,8.73,5,0,,5,,,73,121.8,124.8,97.3,18,7,56
Jeff Graham,CHI,WR,25,16,15,0,0,0,0,0,0,0,,0,100,68,944,13.88,4,1,,5,1,,126,194.4,197.4,160.4,16,20,57
Bam Morris,PIT,RB,22,15,6,0,0,0,0,0,198,836,4.22,7,25,22,204,9.27,0,3,2,7,,,142,164.0,172.0,153.0,15,21,58
Flipper Anderson,RAM,WR,29,16,16,0,0,0,0,0,1,11,11.00,0,101,46,945,20.54,5,0,,5,,,126,171.6,174.6,148.6,15,22,59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Martin,SDG,WR,29,16,1,0,1,0,0,1,2,-9,-4.50,0,90,50,885,17.70,7,2,1,7,,,126,175.6,180.6,151.6,15,23,60
Alvin Harper,DAL,WR,26,16,14,0,0,0,0,0,0,0,,0,79,33,821,24.88,8,2,2,8,,,126,159.1,164.1,142.6,15,21,61
Larry Centers,ARI,FB,26,16,5,0,0,0,0,0,115,336,2.92,5,96,77,647,8.40,2,2,1,7,,,138,215.3,222.3,176.8,11,22,62
Wesley Walls,NOR,TE,28,15,7,0,0,0,0,0,0,0,,0,69,38,406,10.68,4,0,,4,1,,67,104.6,107.6,85.6,11,8,63
Haywood Jeffires,HOU,WR,30,16,16,0,0,0,0,0,0,0,,0,122,68,783,11.51,6,0,,6,3,,120,188.3,191.3,154.3,10,24,64
Troy Drayton,RAM,TE,24,16,16,0,0,0,0,0,1,4,4.00,0,47,32,276,8.63,6,0,,6,,,64,96.0,99.0,80.0,9,9,65
Vincent Brisby,NWE,WR,23,14,11,0,0,0,0,0,0,0,,0,122,58,904,15.59,5,1,1,5,,,118,176.4,180.4,147.4,8,25,66
Leonard Russell,DEN,RB,25,14,13,0,0,0,0,0,190,620,3.26,9,46,38,227,5.97,0,4,2,9,,,135,172.7,180.7,153.7,7,23,67
Mike Sherrard,NYG,WR,31,16,14,0,0,0,0,0,1,-10,-10.00,0,102,53,825,15.57,6,0,,6,,,118,170.5,173.5,144.0,7,26,68
Howard Cross,NYG,TE,27,16,16,0,0,0,0,0,0,0,,0,41,31,364,11.74,4,0,,4,,,60,91.4,94.4,75.9,5,10,69
Quinn Early,NOR,WR,29,16,13,0,0,0,0,0,2,10,5.00,0,125,82,894,10.90,4,0,,4,,,114,196.4,199.4,155.4,4,27,70
Jay Novacek*,DAL,TE,32,16,14,0,0,0,0,0,0,0,,0,65,47,475,10.11,2,0,,2,,,60,106.5,109.5,83.0,4,11,71
Michael Timpson,NWE,WR,27,15,14,0,0,0,0,0,2,14,7.00,0,125,74,941,12.72,3,0,,3,,,114,187.5,190.5,150.5,3,28,72
Jim Kelly,BUF,QB,34,14,14,285,448,3114,22,17,25,77,3.08,1,0,0,0,,0,11,7,1,,,178,178.3,205.3,195.3,2,11,73
Willie Davis,KAN,WR,27,14,13,0,0,0,0,0,0,0,,0,97,51,822,16.12,5,1,1,5,1,,112,163.2,167.2,137.7,2,29,74
Stan Humphries,SDG,QB,29,15,15,264,453,3209,17,12,19,19,1.00,0,0,0,0,,0,6,2,0,,3,176,176.3,193.3,188.3,,12,75
Craig Erickson,TAM,QB,25,15,15,225,399,2919,16,10,26,68,2.62,1,0,0,0,,0,6,2,1,,2,174,173.6,188.6,183.6,,13,76
Joe Montana,KAN,QB,38,14,14,299,493,3283,16,9,18,17,0.94,0,0,0,0,,0,7,5,0,,1,171,171.0,188.0,180.0,,14,77
Boomer Esiason,NYJ,QB,33,15,14,255,440,2782,17,13,28,59,2.11,0,0,0,0,,0,11,3,0,,2,157,157.2,176.2,170.2,,15,78
