Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Marshall Faulk*+,STL,RB,26,16,16,0,1,0,0,0,253,1381,5.46,7,103,87,1048,12.05,5,2,2,12,1,,313,399.9,407.9,356.4,187,1,1
Edgerrin James*+,IND,RB,21,16,16,0,0,0,0,0,369,1553,4.21,13,82,62,586,9.45,4,8,4,17,,,308,369.9,379.9,338.9,182,2,2
Kurt Warner*+,STL,QB,28,16,16,325,499,4353,41,13,23,92,4.00,1,0,0,0,,0,9,5,1,,1,319,319.3,340.3,332.3,131,1,3
Stephen Davis*,WAS,FB,25,14,14,0,0,0,0,0,290,1405,4.84,17,28,23,111,4.83,0,4,1,17,1,,254,276.6,283.6,265.1,128,3,4
Eddie George*,TEN,RB,26,16,16,0,0,0,0,0,320,1304,4.08,9,65,47,458,9.74,4,5,4,13,,,246,293.2,303.2,269.7,120,4,5
Marvin Harrison*+,IND,WR,27,16,16,0,0,0,0,0,1,4,4.00,0,184,115,1663,14.46,12,2,1,12,1,,239,353.7,357.7,296.2,115,1,6
Steve Beuerlein*,CAR,QB,34,16,16,343,571,4436,36,15,27,124,4.59,2,0,0,0,,0,12,8,2,,,300,299.8,328.8,314.8,111,2,7
Emmitt Smith*,DAL,RB,30,15,15,0,0,0,0,0,329,1397,4.25,11,32,27,119,4.41,2,5,3,13,,,224,250.6,259.6,237.1,98,5,8
Randy Moss*,MIN,WR,22,16,16,1,1,27,1,0,4,43,10.75,0,137,80,1413,17.66,11,3,1,12,,,221,300.7,304.7,260.7,97,2,9
Wesley Walls*,CAR,TE,33,16,16,0,0,0,0,0,0,0,,0,108,63,822,13.05,12,1,1,12,,,152,215.2,219.2,183.7,94,1,10
Tony Gonzalez*+,KAN,TE,23,15,15,0,0,0,0,0,0,0,,0,104,76,849,11.17,11,2,1,11,,,149,224.9,228.9,186.9,90,2,11
Dorsey Levens,GNB,RB,29,14,14,0,0,0,0,0,279,1034,3.71,9,81,71,573,8.07,1,5,5,10,,,211,281.7,292.7,246.2,85,6,12
Charlie Garner,SFO,RB,27,16,15,0,0,0,0,0,241,1229,5.10,4,76,56,535,9.55,2,4,2,6,,,208,264.4,272.4,236.4,82,7,13
Cris Carter*+,MIN,WR,34,16,16,0,0,0,0,0,0,0,,0,137,90,1241,13.79,13,0,,13,,,202,292.1,295.1,247.1,78,3,14
Curtis Martin,NYJ,RB,26,16,16,0,0,0,0,0,367,1464,3.99,5,49,45,259,5.76,0,2,,5,,,202,247.3,253.3,224.8,76,8,15
Jimmy Smith*,JAX,WR,30,16,16,0,0,0,0,0,0,0,,0,173,116,1636,14.10,6,1,1,6,1,,200,315.6,319.6,257.6,76,4,16
Marcus Robinson,CHI,WR,24,16,11,0,0,0,0,0,0,0,,0,149,84,1400,16.67,9,0,,9,,,194,278.0,281.0,236.0,70,5,17
Isaac Bruce*,STL,WR,27,16,16,0,0,0,0,0,5,32,6.40,0,120,77,1165,15.13,12,0,,12,1,,194,270.7,273.7,232.2,70,6,18
Rich Gannon*,OAK,QB,34,16,16,304,515,3840,24,14,46,298,6.48,2,1,1,-3,-3.00,0,8,4,2,,1,257,258.1,282.1,271.6,69,3,19
Ricky Watters,SEA,RB,30,16,16,0,0,0,0,0,325,1210,3.72,5,62,40,387,9.68,2,4,4,7,,,194,233.7,243.7,213.7,68,9,20
Peyton Manning*,IND,QB,23,16,16,331,533,4135,26,15,35,73,2.09,2,0,0,0,,0,6,3,2,,1,255,254.7,275.7,269.7,66,4,21
Duce Staley,PHI,RB,24,16,16,0,0,0,0,0,325,1273,3.92,4,66,41,294,7.17,2,5,4,6,,,185,225.7,235.7,205.2,59,10,22
Patrick Jeffers,CAR,WR,26,15,10,0,0,0,0,0,2,16,8.00,0,101,63,1082,17.17,12,0,,12,,,182,244.8,247.8,213.3,58,7,23
Germane Crowell,DET,WR,23,16,15,0,0,0,0,0,5,38,7.60,0,148,81,1338,16.52,7,1,1,7,1,,180,260.6,264.6,220.1,56,8,24
