Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Jerry Rice*+,SFO,WR,25,12,12,0,0,0,0,0,8,51,6.38,1,65,1078,16.58,22,2,,23,,,249,313.9,317.9,281.4,160,1,1
Joe Montana*+,SFO,QB,31,13,11,266,398,3054,31,13,35,141,4.03,1,0,0,,0,3,,1,,,237,237.3,257.8,250.3,95,1,2
Charles White*+,RAM,RB,29,15,12,0,0,0,0,0,324,1374,4.24,11,23,121,5.26,0,8,,11,,,208,230.5,240.5,219.0,95,1,3
Randall Cunningham,PHI,QB,24,12,12,223,406,2786,23,12,76,505,6.64,3,1,-3,-3.00,0,12,,3,,,236,236.6,260.6,248.1,94,2,4
Herschel Walker*,DAL,RB,25,12,11,0,0,0,0,0,209,891,4.26,7,60,715,11.92,1,4,,8,,,205,264.6,272.6,234.6,92,2,5
John Elway*,DEN,QB,27,12,12,224,410,3198,19,12,66,304,4.61,4,0,0,,0,2,,4,,,232,232.3,251.3,244.3,90,3,6
Mark Bavaro*+,NYG,TE,24,12,12,0,0,0,0,0,0,0,,0,55,867,15.76,8,2,,8,,,133,187.7,191.7,160.2,88,1,7
Neil Lomax*,STL,QB,28,12,12,275,463,3387,24,12,29,107,3.69,0,0,0,,0,7,,0,,,211,211.2,232.7,223.2,69,4,8
J.T. Smith,STL,WR,32,15,14,0,0,0,0,0,0,0,,0,91,1117,12.27,8,2,,8,,,158,248.7,252.7,203.2,69,2,9
Dan Marino*,MIA,QB,26,12,12,263,444,3245,26,13,12,-5,-0.42,1,0,0,,0,5,,1,,,208,208.3,226.8,221.3,66,5,10
Eric Dickerson*+,2TM,RB,27,12,10,0,0,0,0,0,283,1288,4.55,6,18,171,9.50,0,7,,6,,,175,192.9,202.4,183.9,63,3,11
Curt Warner*,SEA,RB,26,12,12,0,0,0,0,0,234,985,4.21,8,17,167,9.82,2,4,,10,,,171,188.2,196.2,179.7,59,4,12
Gary Clark*+,WAS,WR,25,12,11,0,0,0,0,0,1,0,0.00,0,56,1066,19.04,7,3,,7,,,146,201.6,206.1,173.6,57,3,13
Bernie Kosar*,CLE,QB,24,12,12,241,389,3033,22,9,15,22,1.47,1,0,0,,0,2,,1,,,198,197.5,210.5,206.5,56,6,14
Carlos Carson*,KAN,WR,29,12,12,0,0,0,0,0,1,-7,-7.00,0,55,1044,18.98,7,1,,7,,,145,199.7,203.2,172.2,56,4,15
Mike Quick*,PHI,WR,28,12,12,0,0,0,0,0,0,0,,0,46,790,17.17,11,3,,11,,,142,188.0,192.5,165.0,54,5,16
Steve Largent*,SEA,WR,33,13,13,0,2,0,0,0,2,33,16.50,0,58,912,15.72,8,2,,8,,,141,198.5,202.5,169.5,52,6,17
Albert Bentley,IND,RB,27,12,4,0,0,0,0,0,142,631,4.44,7,34,447,13.15,2,3,,9,,,159,192.8,200.3,175.8,46,5,18
Anthony Carter*,MIN,WR,27,12,11,0,0,0,0,0,0,0,,0,38,922,24.26,7,0,,7,,,134,172.2,175.2,153.2,46,7,19
Drew Hill,HOU,WR,31,12,12,0,1,0,0,0,0,0,,0,49,989,20.18,6,1,,6,,,134,182.9,186.4,158.4,45,8,20
Robert Awalt,STL,TE,23,12,9,0,0,0,0,0,2,-9,-4.50,0,42,526,12.52,6,0,,6,,,88,129.7,132.7,108.7,43,2,21
Earnest Byner,CLE,RB,25,12,12,0,0,0,0,0,105,432,4.11,8,52,552,10.62,2,5,,10,,,153,205.4,213.9,179.4,41,6,22
Warren Moon,HOU,QB,31,12,12,184,368,2806,21,18,34,112,3.29,3,0,0,,0,8,,3,,,181,181.4,209.4,199.4,40,7,23
Al Toon*,NYJ,WR,24,12,11,0,0,0,0,0,0,0,,0,68,976,14.35,5,0,,5,,,128,195.6,198.6,161.6,39,9,24
Ernest Givins,HOU,WR,23,12,12,0,0,0,0,0,1,-13,-13.00,0,53,933,17.60,6,2,,6,,,126,179.0,183.0,152.5,38,10,25
Roger Craig*,SFO,FB,27,14,14,0,0,0,0,0,215,815,3.79,3,66,492,7.45,1,5,,4,,,150,215.7,224.2,182.7,37,7,26
Jim Kelly*,BUF,QB,27,12,12,250,419,2798,19,11,29,133,4.59,0,1,35,35.00,0,6,,0,,,177,177.7,197.7,188.2,35,8,27
Stump Mitchell,STL,RB,28,12,12,1,3,17,0,0,203,781,3.85,3,45,397,8.82,2,3,,5,,,145,190.5,198.0,168.0,33,8,28
Webster Slaughter,CLE,WR,23,12,12,0,0,0,0,0,0,0,,0,47,806,17.15,7,1,,7,,,122,168.6,172.1,145.1,33,11,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Christensen*,RAI,TE,31,12,12,0,0,0,0,0,0,0,,0,47,663,14.11,2,0,,2,,,78,125.3,128.3,101.8,33,3,30
Marcus Allen*,RAI,RB,27,12,12,1,2,23,0,0,200,754,3.77,5,51,410,8.04,0,3,,5,,,144,195.3,202.8,169.8,32,9,31
Mark Clayton,MIA,WR,26,12,12,0,0,0,0,0,2,8,4.00,0,46,776,16.87,7,0,,7,,,120,166.4,169.4,143.4,32,12,32
Boomer Esiason,CIN,QB,26,12,12,240,440,3321,16,19,52,241,4.63,0,0,0,,0,10,,0,,,173,172.9,202.9,191.9,31,9,33
Troy Stradford,MIA,RB,23,12,5,1,1,6,0,0,145,619,4.27,6,48,457,9.52,1,6,,7,,,144,191.8,200.8,167.8,31,10,34
James Lofton,RAI,WR,31,12,12,0,0,0,0,0,1,1,1.00,0,41,880,21.46,5,0,,5,,,118,159.1,162.1,138.6,30,13,35
Eric Martin,NOR,WR,26,15,11,0,0,0,0,0,0,0,,0,44,778,17.68,7,3,,7,,,117,160.8,165.3,138.8,28,14,36
Neal Anderson,CHI,RB,23,11,10,0,0,0,0,0,129,586,4.54,3,47,467,9.94,3,2,,6,,,139,186.3,193.3,162.8,27,11,37
Wade Wilson,MIN,QB,28,12,7,140,264,2106,14,13,41,263,6.41,5,0,0,,0,3,,5,,,168,167.5,188.0,180.5,26,10,38
