Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Barry Sanders*+,DET,RB,29,16,16,0,0,0,0,0,335,2053,6.13,11,50,33,305,9.24,3,3,2,14,,,316,348.8,356.8,332.3,186,1,1
Terrell Davis*+,DEN,RB,25,15,15,0,0,0,0,0,369,1750,4.74,15,58,42,287,6.83,0,4,,15,3,,300,341.7,347.7,320.7,170,2,2
Dorsey Levens*,GNB,RB,27,16,16,0,0,0,0,0,329,1435,4.36,7,67,53,370,6.98,5,5,2,12,1,,251,303.5,311.5,277.0,120,3,3
Brett Favre*+,GNB,QB,28,16,16,304,513,3867,35,16,58,187,3.22,1,0,0,0,,0,7,4,1,,1,281,281.4,307.4,297.4,96,1,4
Rob Moore*+,ARI,WR,29,16,16,0,0,0,0,0,0,0,,0,208,97,1584,16.33,8,0,,8,1,,208,305.4,308.4,256.9,95,1,5
Kordell Stewart,PIT,QB,25,16,16,236,440,3020,21,17,88,476,5.41,11,0,0,0,,0,6,4,11,,1,278,278.4,305.4,295.4,93,2,6
Jerome Bettis*,PIT,RB,25,15,15,0,0,0,0,0,375,1665,4.44,7,24,15,110,7.33,2,6,5,9,,,222,236.5,247.5,229.0,91,4,7
Antonio Freeman,GNB,WR,25,16,16,0,0,0,0,0,1,14,14.00,0,137,81,1243,15.35,12,1,1,12,,,196,276.7,280.7,236.2,82,2,8
Napoleon Kaufman,OAK,RB,24,16,16,0,1,0,0,0,272,1294,4.76,6,50,40,403,10.08,2,7,4,8,,,210,249.7,259.7,229.7,80,5,9
Karim Abdul-Jabbar,MIA,RB,23,16,14,0,0,0,0,0,283,892,3.15,15,49,29,261,9.00,1,3,2,16,,,207,236.3,244.3,221.8,77,6,10
Rod Smith,DEN,WR,27,16,16,0,0,0,0,0,5,16,3.20,0,131,70,1180,16.86,12,3,1,12,,,190,259.6,263.6,224.6,76,3,11
Cris Carter*,MIN,WR,32,16,16,0,0,0,0,0,0,0,,0,158,89,1069,12.01,13,3,1,13,3,,189,277.9,281.9,233.4,75,4,12
Jeff George,OAK,QB,30,16,16,290,521,3917,29,9,17,44,2.59,0,1,0,0,,0,7,4,0,,2,255,255.1,271.1,264.1,70,3,13
Yancey Thigpen*,PIT,WR,28,16,15,0,0,0,0,0,1,3,3.00,0,149,79,1398,17.70,7,1,,7,1,,184,263.1,266.1,223.6,70,6,14
Joey Galloway,SEA,WR,26,15,15,0,0,0,0,0,9,72,8.00,0,147,72,1049,14.57,12,1,,12,,,184,256.1,259.1,220.1,70,5,15
Corey Dillon,CIN,RB,23,16,6,0,0,0,0,0,233,1129,4.85,10,33,27,259,9.59,0,1,,10,,,199,225.8,231.8,212.3,69,7,16
Shannon Sharpe*+,DEN,TE,29,16,16,0,0,0,0,0,0,0,,0,114,72,1107,15.38,3,1,,3,1,,131,202.7,205.7,166.7,69,1,17
Herman Moore*+,DET,WR,28,16,16,0,0,0,0,0,0,0,,0,170,104,1293,12.43,8,0,,8,1,,179,283.3,286.3,231.3,66,7,18
Marshall Faulk,IND,RB,24,16,16,0,0,0,0,0,264,1054,3.99,7,73,47,471,10.02,1,5,3,8,,,195,241.5,250.5,218.0,64,8,19
Ricky Watters,PHI,RB,28,16,16,0,0,0,0,0,285,1110,3.89,7,73,48,440,9.17,0,3,2,7,,,193,241.0,249.0,217.0,63,9,20
John Elway*,DEN,QB,37,16,16,280,502,3635,27,11,50,218,4.36,1,0,0,0,,0,11,8,1,,1,245,245.2,270.2,256.2,60,4,21
Ben Coates*,NWE,TE,28,16,16,0,0,0,0,0,0,0,,0,98,66,737,11.17,8,0,,8,,,122,187.7,190.7,154.7,60,2,22
