Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Josh Norman,SDG,TE,23,7,1,0,0,0,0,0,0,0,,0,12,6,72,12.00,1,0,,1,,,13,19.2,19.2,16.2,,59,
Jeff Robinson,DAL,TE,33,16,0,0,0,0,0,0,0,0,,0,2,2,8,4.00,2,0,,2,,,13,14.8,14.8,13.8,,61,
Alex Bannister*,SEA,WR,24,16,2,0,0,0,0,0,0,0,,0,12,3,61,20.33,1,0,,1,,,12,15.1,15.1,13.6,,126,
Erik Bickerstaff,DAL,RB,23,4,0,0,0,0,0,0,19,56,2.95,1,0,0,0,,0,0,,1,,,12,11.6,11.6,11.6,,112,
Reche Caldwell,SDG,WR,24,9,4,0,0,0,0,0,5,39,7.80,0,34,8,80,10.00,0,0,,0,,,12,19.9,19.9,15.9,,127,
Jim Finn,NYG,FB,27,15,9,0,0,0,0,0,0,0,,0,20,14,115,8.21,0,0,,0,,,12,25.5,28.5,18.5,,113,
Quentin McCord,ATL,WR,25,9,2,0,0,0,0,0,2,2,1.00,0,23,9,121,13.44,0,0,,0,,,12,21.3,24.3,16.8,,125,
Shad Meier,TEN,TE,25,15,6,0,0,0,0,0,0,0,,0,19,13,159,12.23,0,1,2,0,,,12,24.9,29.9,18.4,,62,
Dwayne Carswell,DEN,TE,31,16,10,0,0,0,0,0,0,0,,0,18,6,53,8.83,1,0,,1,,,11,17.3,17.3,14.3,,63,
Jerame Tuman,PIT,TE,27,16,12,0,0,0,0,0,0,0,,0,19,12,113,9.42,0,0,,0,,,11,23.3,26.3,17.3,,64,
Kurt Warner,STL,QB,32,2,1,38,65,365,1,1,1,0,0.00,0,0,0,0,,0,6,3,0,,,11,10.6,17.6,11.6,,54,
Damien Anderson,ARI,RB,24,16,0,0,0,0,0,0,18,68,3.78,0,12,6,36,6.00,0,0,,0,,,10,16.4,16.4,13.4,,114,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rickey Dudley,TAM,TE,31,7,2,0,0,0,0,0,0,0,,0,11,7,42,6.00,1,0,,1,,,10,17.2,17.2,13.7,,65,
Dondre Gilliam,SDG,WR,26,5,1,0,0,0,0,0,0,0,,0,8,6,95,15.83,0,0,,0,,,10,15.5,15.5,12.5,,130,
Taylor Jacobs,WAS,WR,22,8,0,0,0,0,0,0,0,0,,0,6,3,37,12.33,1,0,,1,,,10,12.7,12.7,11.2,,129,
Greg Lewis,PHI,WR,23,11,0,0,0,0,0,0,0,0,,0,9,6,95,15.83,0,0,,0,,,10,15.5,15.5,12.5,,131,
Brian Mitchell,NYG,RB,35,16,0,0,0,0,0,0,4,20,5.00,1,5,4,38,9.50,0,5,1,1,,,10,13.8,14.8,11.8,,115,
Aaron Moorehead,IND,WR,23,7,0,0,0,0,0,0,0,0,,0,10,7,101,14.43,0,1,,0,,,10,17.1,20.1,13.6,,128,
