Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
O.J. Simpson*+,BUF,RB,28,14,14,0,0,0,0,0,329,1817,5.52,16,28,426,15.21,7,7,,23,,,355,383.3,392.8,369.3,278,1,1
Chuck Foreman*+,MIN,RB,25,14,12,0,0,0,0,0,280,1070,3.82,13,73,691,9.47,9,12,,22,,,296,369.1,381.1,332.6,211,2,2
Lydell Mitchell*,BAL,RB,26,14,14,0,0,0,0,0,289,1193,4.13,11,60,544,9.07,4,5,,15,,,259,318.7,327.2,288.7,168,3,3
Fran Tarkenton*+,MIN,QB,35,14,14,273,425,2994,25,13,16,108,6.75,2,0,0,,0,1,,2,,,216,215.6,235.1,228.6,123,2,4
Ken Anderson*,CIN,QB,26,13,13,228,377,3169,21,11,49,188,3.84,2,0,0,,0,4,,2,,,216,215.6,234.6,226.6,123,1,5
Bert Jones,BAL,QB,24,14,14,203,344,2483,18,8,47,321,6.83,3,0,0,,0,1,,3,,,204,204.4,218.9,212.4,111,3,6
Franco Harris*,PIT,FB,25,14,14,0,0,0,0,0,262,1246,4.76,10,28,214,7.64,1,9,,11,,,203,231.0,241.5,217.0,104,4,7
Roger Staubach*,DAL,QB,33,13,13,198,348,2666,17,16,55,316,5.75,4,0,0,,0,5,,4,,,193,193.2,217.7,209.2,98,4,8
Mel Gray*+,STL,WR,27,14,14,0,0,0,0,0,1,6,6.00,0,48,926,19.29,11,1,,11,,,158,206.2,209.7,182.2,97,1,9
Terry Metcalf*,STL,RB,24,13,13,1,2,51,1,0,165,816,4.95,9,43,378,8.79,2,8,,13,,,195,238.4,248.4,216.9,96,5,10
Ken Burrough*,HOU,WR,27,14,14,0,0,0,0,0,0,0,,0,53,1063,20.06,8,1,,8,,,153,206.3,209.8,179.8,91,2,11
John Riggins*,NYJ,FB,26,14,14,0,0,0,0,0,238,1005,4.22,8,30,363,12.10,1,5,,9,,,186,215.8,224.3,200.8,85,6,12
Cliff Branch*+,OAK,WR,27,14,14,0,0,0,0,0,2,18,9.00,0,51,893,17.51,9,0,,9,,,145,196.1,199.1,170.6,82,3,13
Jim Braxton,BUF,FB,26,14,14,0,0,0,0,0,186,823,4.42,9,26,282,10.85,4,7,,13,,,182,207.5,217.0,194.5,80,7,14
Greg Pruitt,CLE,RB,24,14,14,0,0,0,0,0,217,1067,4.92,8,44,299,6.80,1,10,,9,,,181,224.6,235.6,202.6,79,8,15
Lynn Swann*,PIT,WR,23,14,12,0,0,0,0,0,3,13,4.33,0,49,781,15.94,11,4,,11,,,141,190.4,195.4,165.9,78,4,16
Joe Ferguson,BUF,QB,25,14,14,169,321,2426,25,17,23,82,3.57,1,0,0,,0,4,,1,,,173,173.2,195.2,190.2,75,5,17
Mike Thomas,WAS,RB,22,14,10,0,0,0,0,0,235,919,3.91,4,40,483,12.08,3,9,,7,,,173,213.2,223.7,193.2,70,9,18
Terry Bradshaw*,PIT,QB,27,14,14,165,286,2055,18,9,35,210,6.00,3,0,0,,0,6,,3,,,169,169.2,187.2,178.2,70,6,19
Isaac Curtis*,CIN,WR,25,14,14,0,0,0,0,0,6,-9,-1.50,0,44,934,21.23,7,1,,7,,,134,177.5,181.0,155.5,69,5,20
Pete Banaszak,OAK,RB,31,14,0,0,0,0,0,0,187,672,3.59,16,10,64,6.40,0,1,,16,,,169,178.6,182.1,173.6,65,10,21
