player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Steve Spurrier,SFO,QB,27.0,13,9,147,269,1983,18,16,11,51,4.64,0,0,0,0.0,0,2,0,0,0.0,0.0,122.0,122.4,142.4,138.4,0.0,12.0,71.0
Ed Podolak,KAN,RB,25.0,13,10,0,0,0,0,0,171,615,3.6,4,46,345,7.5,2,10,0,6,0.0,0.0,122.0,168.0,179.0,145.0,0.0,25.0,72.0
Don McCauley,BAL,RB,23.0,14,10,0,0,0,0,0,178,675,3.79,2,30,256,8.53,2,2,0,5,0.0,0.0,121.0,151.1,158.1,136.1,0.0,26.0,73.0
Billy Kilmer,WAS,QB,33.0,12,10,120,225,1648,19,11,3,-3,-1.0,0,0,0,0.0,0,1,0,0,0.0,0.0,119.0,118.6,133.1,129.6,0.0,13.0,74.0
Donny Anderson,STL,RB,29.0,14,13,2,3,71,0,0,153,536,3.5,4,28,298,10.64,2,6,0,6,0.0,0.0,116.0,144.2,153.2,130.2,0.0,27.0,75.0
John Hadl,SDG,QB,32.0,14,14,190,370,2449,15,26,22,99,4.5,1,1,4,4.0,0,7,0,1,0.0,0.0,115.0,116.3,148.8,141.8,0.0,14.0,76.0
Ken Anderson,CIN,QB,23.0,13,13,171,301,1918,7,7,22,94,4.27,3,0,0,0.0,0,5,0,3,0.0,0.0,113.0,113.1,125.6,120.1,0.0,15.0,77.0
Carl Garrett,NWE,RB,25.0,10,6,0,1,0,0,1,131,488,3.73,5,30,410,13.67,0,5,0,5,0.0,0.0,113.0,142.8,152.3,128.8,0.0,28.0,78.0
Vic Washington,SFO,FB,26.0,13,13,0,0,0,0,0,141,468,3.32,3,43,393,9.14,1,7,0,5,0.0,0.0,109.0,152.1,161.6,130.6,0.0,29.0,0.0
Len Dawson,KAN,QB,37.0,14,12,175,305,1835,13,12,15,75,5.0,0,0,0,0.0,0,2,0,0,0.0,0.0,107.0,106.9,122.9,118.9,0.0,16.0,0.0
John Fuqua,PIT,FB,26.0,13,13,0,0,0,0,0,150,665,4.43,4,18,152,8.44,0,1,0,4,0.0,0.0,105.0,122.7,129.2,113.7,0.0,30.0,0.0
Jim Braxton,BUF,FB,23.0,14,13,0,0,0,0,0,116,453,3.91,5,24,232,9.67,1,2,0,6,0.0,0.0,103.0,126.5,133.5,114.5,0.0,31.0,0.0
Marty Domres,BAL,QB,25.0,12,9,115,222,1392,11,6,30,137,4.57,1,0,0,0.0,0,4,0,1,0.0,0.0,103.0,103.4,117.4,109.4,0.0,17.0,0.0
George Blanda,OAK,QB,45.0,14,0,5,15,77,1,0,0,0,0.0,0,0,0,0.0,0,1,0,0,0.0,0.0,101.0,101.1,107.6,107.1,0.0,18.0,0.0
Roman Gabriel,RAM,QB,32.0,14,12,165,323,2027,12,15,14,16,1.14,1,0,0,0.0,0,6,0,1,0.0,0.0,101.0,100.7,121.7,115.7,0.0,19.0,0.0
Charlie Harraway,WAS,RB,28.0,14,14,0,0,0,0,0,148,567,3.83,6,15,105,7.0,0,2,0,6,0.0,0.0,101.0,116.2,123.2,108.7,0.0,32.0,0.0
Wendell Hayes,KAN,FB,32.0,13,12,0,0,0,0,0,128,536,4.19,0,31,295,9.52,3,0,0,3,0.0,0.0,101.0,132.1,138.1,116.6,0.0,33.0,0.0
Bill Brown,MIN,RB,34.0,14,0,0,0,0,0,0,82,263,3.21,4,22,298,13.55,4,4,0,8,0.0,0.0,100.0,122.1,130.1,111.1,0.0,34.0,0.0
Jim Kiick,MIA,RB,26.0,14,3,0,0,0,0,0,137,521,3.8,5,21,147,7.0,1,3,0,6,0.0,0.0,100.0,120.8,128.3,110.3,0.0,35.0,0.0
