player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,targets,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Emmitt Smith,DAL,RB,23.0,16,16,0,0,0,0,0,373,1713,4.59,18,74.0,59,335,5.68,1,4,0,19,0.0,0.0,315.0,373.8,381.8,344.3,207.0,1.0,1.0
Thurman Thomas,BUF,RB,26.0,16,16,0,0,0,0,0,312,1487,4.77,9,87.0,58,626,10.79,3,6,0,12,0.0,0.0,277.0,335.3,344.3,306.3,170.0,2.0,2.0
Barry Foster,PIT,RB,24.0,16,15,0,1,0,0,0,390,1690,4.33,11,50.0,36,344,9.56,0,9,0,11,0.0,0.0,260.0,296.4,306.9,278.4,153.0,3.0,3.0
Terry Allen,MIN,RB,24.0,16,16,0,0,0,0,0,266,1201,4.52,13,70.0,49,478,9.76,2,9,0,15,0.0,0.0,249.0,297.9,308.4,273.4,141.0,4.0,4.0
Sterling Sharpe,GNB,WR,27.0,16,16,0,0,0,0,0,4,8,2.0,0,162.0,108,1461,13.53,13,2,0,13,0.0,0.0,223.0,330.9,334.9,276.9,132.0,1.0,5.0
Steve Young,SFO,QB,31.0,16,16,268,402,3465,25,7,76,537,7.07,4,0.0,0,0,0.0,0,9,0,4,0.0,0.0,293.0,293.3,310.8,300.3,131.0,1.0,6.0
Lorenzo White,HOU,RB,26.0,16,16,0,0,0,0,0,265,1226,4.63,7,77.0,57,641,11.25,1,2,0,8,0.0,0.0,233.0,289.7,296.7,261.2,125.0,5.0,7.0
Rodney Hampton,NYG,RB,23.0,16,16,0,0,0,0,0,257,1141,4.44,14,38.0,28,215,7.68,0,1,0,14,0.0,0.0,219.0,246.6,253.1,232.6,111.0,6.0,8.0
Barry Sanders,DET,RB,24.0,16,16,0,1,0,0,0,312,1352,4.33,9,40.0,29,225,7.76,1,6,4,10,0.0,0.0,212.0,240.7,249.7,226.2,104.0,7.0,9.0
Jerry Rice,SFO,WR,30.0,16,16,0,0,0,0,0,9,58,6.44,1,139.0,84,1201,14.3,10,2,0,11,0.0,0.0,190.0,273.9,277.9,231.9,99.0,2.0,10.0
