player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,targets,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Arian Foster,HOU,RB,24.0,16,13,0,0,0,0,0,327,1616,4.94,16,84.0,66,604,9.15,2,3,2,18,0.0,0.0,326.0,392.0,400.0,359.0,190.0,1.0,1.0
Adrian Peterson,MIN,RB,25.0,15,15,0,0,0,0,0,283,1298,4.59,12,50.0,36,341,9.47,1,1,1,13,0.0,0.0,240.0,275.9,282.9,257.9,104.0,2.0,2.0
Jamaal Charles,KAN,RB,24.0,16,6,0,0,0,0,0,230,1467,6.38,5,64.0,45,468,10.4,3,3,2,8,0.0,0.0,238.0,282.5,290.5,260.0,102.0,3.0,3.0
Peyton Hillis,CLE,RB,24.0,16,14,1,2,13,0,0,270,1177,4.36,11,77.0,61,477,7.82,2,8,5,13,0.0,0.0,234.0,294.9,305.9,264.4,98.0,4.0,4.0
Chris Johnson,TEN,RB,25.0,16,16,0,0,0,0,0,316,1364,4.32,11,57.0,44,245,5.57,1,3,2,12,0.0,0.0,229.0,272.9,280.9,250.9,93.0,5.0,5.0
Brandon Lloyd,DEN,WR,29.0,16,11,0,0,0,0,0,1,-18,-18.0,0,153.0,77,1448,18.81,11,0,0,11,0.0,0.0,209.0,286.0,289.0,247.5,91.0,1.0,6.0
Dwayne Bowe,KAN,WR,26.0,16,16,0,0,0,0,0,1,4,4.0,0,133.0,72,1162,16.14,15,1,0,15,0.0,0.0,207.0,278.6,281.6,242.6,89.0,2.0,7.0
Darren McFadden,OAK,RB,23.0,13,13,0,1,0,0,0,223,1157,5.19,7,61.0,47,507,10.79,3,4,3,10,0.0,0.0,220.0,267.4,276.4,243.9,85.0,6.0,8.0
Roddy White,ATL,WR,29.0,16,16,0,0,0,0,0,1,3,3.0,0,179.0,115,1389,12.08,10,1,1,10,2.0,0.0,201.0,316.2,320.2,258.7,84.0,3.0,9.0
LeSean McCoy,PHI,RB,22.0,15,13,0,0,0,0,0,207,1080,5.22,7,91.0,78,592,7.59,2,2,1,9,0.0,0.0,219.0,297.2,304.2,258.2,83.0,7.0,10.0
Rashard Mendenhall,PIT,RB,23.0,16,16,0,0,0,0,0,324,1273,3.93,13,34.0,23,167,7.26,0,2,2,13,0.0,0.0,218.0,241.0,249.0,229.5,82.0,8.0,11.0
Michael Vick,PHI,QB,30.0,12,12,233,372,3018,21,6,100,676,6.76,9,0.0,0,0,0.0,0,11,3,9,0.0,1.0,310.0,310.3,325.3,316.3,81.0,1.0,12.0
Greg Jennings,GNB,WR,27.0,16,16,0,0,0,0,0,1,-1,-1.0,0,125.0,76,1265,16.64,12,2,0,12,0.0,0.0,198.0,274.4,277.4,236.4,81.0,4.0,13.0
Michael Turner,ATL,RB,28.0,16,15,0,0,0,0,0,334,1371,4.1,12,20.0,12,85,7.08,0,2,2,12,0.0,0.0,214.0,225.6,230.6,219.6,78.0,11.0,14.0
Matt Forte,CHI,RB,25.0,16,16,0,0,0,0,0,237,1069,4.51,6,70.0,51,547,10.73,3,3,2,9,1.0,0.0,214.0,264.6,272.6,239.1,78.0,9.0,15.0
Ray Rice,BAL,RB,23.0,16,14,0,0,0,0,0,307,1220,3.97,5,83.0,63,556,8.83,1,0,0,6,0.0,0.0,214.0,276.6,282.6,245.1,78.0,10.0,16.0
Aaron Rodgers,GNB,QB,27.0,15,15,312,475,3922,28,11,64,356,5.56,4,0.0,0,0,0.0,0,4,1,4,0.0,0.0,304.0,304.5,322.5,315.5,75.0,2.0,17.0
Mike Wallace,PIT,WR,24.0,16,16,0,0,0,0,0,5,39,7.8,0,98.0,60,1257,20.95,10,1,0,10,0.0,0.0,190.0,249.6,252.6,219.6,72.0,5.0,18.0
Calvin Johnson,DET,WR,25.0,15,15,0,0,0,0,0,4,32,8.0,0,137.0,77,1120,14.55,12,1,0,12,1.0,0.0,189.0,266.2,269.2,227.7,72.0,6.0,19.0
Tom Brady,NWE,QB,33.0,16,16,324,492,3900,36,4,31,30,0.97,1,0.0,0,0,0.0,0,3,1,1,0.0,0.0,299.0,299.0,307.0,303.0,70.0,3.0,20.0
Maurice JonesDrew,JAX,RB,25.0,14,14,0,1,0,0,1,299,1324,4.43,5,44.0,34,317,9.32,2,2,2,7,0.0,0.0,200.0,234.1,243.1,218.1,64.0,12.0,21.0
Steven Jackson,STL,RB,27.0,16,16,0,0,0,0,0,330,1241,3.76,6,62.0,46,383,8.33,0,1,1,6,0.0,0.0,196.0,242.4,249.4,219.4,61.0,13.0,22.0
Jason Witten,DAL,TE,28.0,16,16,0,0,0,0,0,0,0,0.0,0,128.0,94,1002,10.66,9,1,1,9,1.0,0.0,154.0,248.2,252.2,201.2,58.0,1.0,23.0
Peyton Manning,IND,QB,34.0,16,16,450,679,4700,33,17,18,18,1.0,0,0.0,0,0,0.0,0,3,1,0,0.0,0.0,286.0,285.8,306.8,302.8,57.0,4.0,24.0
Ahmad Bradshaw,NYG,RB,24.0,16,11,0,0,0,0,0,276,1235,4.47,8,58.0,47,314,6.68,0,7,6,8,1.0,0.0,193.0,239.9,251.9,216.4,57.0,14.0,25.0
Hakeem Nicks,NYG,WR,22.0,13,12,0,0,0,0,0,0,0,0.0,0,128.0,79,1052,13.32,11,1,0,11,0.0,0.0,171.0,250.2,253.2,210.7,54.0,7.0,26.0
Philip Rivers,SDG,QB,29.0,16,16,357,541,4710,30,13,29,52,1.79,0,0.0,0,0,0.0,0,7,4,0,0.0,1.0,282.0,281.6,301.6,294.6,53.0,5.0,27.0
Andre Johnson,HOU,WR,29.0,13,13,0,0,0,0,0,2,10,5.0,0,138.0,86,1216,14.14,8,1,0,8,0.0,0.0,171.0,256.6,259.6,213.6,53.0,8.0,28.0
BenJarvus GreenEllis,NWE,RB,25.0,16,11,0,0,0,0,0,229,1008,4.4,13,16.0,12,85,7.08,0,0,0,13,0.0,0.0,187.0,199.3,202.3,193.3,52.0,15.0,29.0
Reggie Wayne,IND,WR,32.0,16,16,0,0,0,0,0,0,0,0.0,0,175.0,111,1355,12.21,6,1,1,6,0.0,0.0,170.0,280.5,284.5,225.0,52.0,9.0,30.0
Stevie Johnson,BUF,WR,24.0,16,13,0,0,0,0,0,0,0,0.0,0,141.0,82,1073,13.09,10,1,1,10,0.0,0.0,165.0,247.3,251.3,206.3,48.0,10.0,31.0
DeSean Jackson,PHI,WR,24.0,14,14,0,0,0,0,0,16,104,6.5,1,95.0,47,1056,22.47,6,4,1,8,0.0,0.0,162.0,209.0,216.0,185.5,44.0,11.0,32.0
Miles Austin,DAL,WR,26.0,16,16,0,0,0,0,0,7,93,13.29,1,119.0,69,1041,15.09,7,1,1,8,0.0,0.0,159.0,228.4,232.4,193.9,42.0,12.0,33.0
Antonio Gates,SDG,TE,30.0,10,10,0,0,0,0,0,0,0,0.0,0,65.0,50,782,15.64,10,0,0,10,0.0,0.0,138.0,188.2,191.2,163.2,42.0,2.0,34.0
Mike Williams,TAM,WR,23.0,16,16,0,0,0,0,0,0,0,0.0,0,129.0,65,964,14.83,11,3,2,11,0.0,0.0,158.0,223.4,228.4,190.9,41.0,13.0,35.0
Drew Brees,NOR,QB,31.0,16,16,448,658,4620,33,22,18,-3,-0.17,0,1.0,1,7,7.0,0,9,2,0,0.0,0.0,269.0,270.2,297.2,291.7,40.0,6.0,36.0
Jeremy Maclin,PHI,WR,22.0,16,16,0,0,0,0,0,3,36,12.0,0,115.0,70,964,13.77,10,1,1,10,0.0,0.0,158.0,228.0,232.0,193.0,40.0,14.0,37.0
Vernon Davis,SFO,TE,26.0,16,16,0,0,0,0,0,0,0,0.0,0,93.0,56,914,16.32,7,0,0,7,1.0,0.0,135.0,191.4,194.4,163.4,39.0,3.0,38.0
Terrell Owens,CIN,WR,37.0,14,11,0,0,0,0,0,0,0,0.0,0,139.0,72,983,13.65,9,0,0,9,0.0,0.0,152.0,224.3,227.3,188.3,35.0,15.0,39.0
Larry Fitzgerald,ARI,WR,27.0,16,15,0,0,0,0,0,0,0,0.0,0,173.0,90,1137,12.63,6,0,0,6,1.0,0.0,152.0,241.7,244.7,196.7,34.0,16.0,40.0
Cedric Benson,CIN,RB,28.0,16,16,0,0,0,0,0,321,1111,3.46,7,37.0,28,178,6.36,1,7,5,8,1.0,0.0,169.0,196.9,207.9,182.9,33.0,16.0,41.0
Marcedes Lewis,JAX,TE,26.0,16,16,0,0,0,0,0,0,0,0.0,0,89.0,58,700,12.07,10,2,2,10,0.0,0.0,126.0,184.0,189.0,155.0,30.0,4.0,42.0
Josh Freeman,TAM,QB,22.0,16,16,291,474,3451,25,6,68,364,5.35,0,0.0,0,0,0.0,0,8,3,0,1.0,0.0,258.0,258.4,273.4,264.4,29.0,7.0,43.0
Mario Manningham,NYG,WR,24.0,16,8,0,0,0,0,0,1,2,2.0,0,93.0,60,944,15.73,9,1,1,9,0.0,0.0,147.0,206.6,210.6,176.6,29.0,17.0,44.0
LaDainian Tomlinson,NYJ,RB,31.0,15,13,0,0,0,0,0,219,914,4.17,6,79.0,52,368,7.08,0,4,0,6,0.0,0.0,164.0,216.2,222.2,190.2,28.0,17.0,45.0
Marques Colston,NOR,WR,27.0,15,11,0,0,0,0,0,1,1,1.0,0,131.0,84,1023,12.18,7,0,0,7,0.0,0.0,144.0,228.4,231.4,186.4,27.0,18.0,46.0
Santana Moss,WAS,WR,31.0,16,16,0,0,0,0,0,5,-6,-1.2,0,145.0,93,1115,11.99,6,3,2,6,0.0,0.0,143.0,235.9,240.9,189.4,25.0,19.0,47.0
Knowshon Moreno,DEN,RB,23.0,13,13,0,0,0,0,0,182,779,4.28,5,48.0,37,372,10.05,3,3,2,8,0.0,0.0,159.0,196.1,204.1,177.6,23.0,18.0,48.0
Percy Harvin,MIN,WR,22.0,14,13,0,0,0,0,0,18,107,5.94,1,109.0,71,868,12.23,5,1,1,7,1.0,0.0,140.0,210.5,217.5,175.0,22.0,20.0,49.0
Matt Ryan,ATL,QB,25.0,16,16,357,571,3705,28,9,46,122,2.65,0,0.0,0,0,0.0,0,4,4,0,0.0,2.0,250.0,250.4,269.4,259.4,21.0,8.0,50.0
Mike Tolbert,SDG,RB,25.0,15,4,0,0,0,0,0,182,735,4.04,11,29.0,25,216,8.64,0,5,3,11,1.0,0.0,157.0,182.1,191.1,169.6,21.0,19.0,51.0
Frank Gore,SFO,RB,27.0,11,11,0,0,0,0,0,203,853,4.2,3,72.0,46,452,9.83,2,4,2,5,0.0,0.0,157.0,202.5,210.5,179.5,21.0,20.0,52.0
Matt Schaub,HOU,QB,29.0,16,16,365,574,4370,24,12,22,28,1.27,0,0.0,0,0,0.0,0,9,3,0,0.0,1.0,246.0,245.6,263.6,257.6,17.0,9.0,53.0
Fred Jackson,BUF,RB,29.0,16,13,0,0,0,0,0,222,927,4.18,5,54.0,31,215,6.94,2,5,2,7,0.0,0.0,152.0,183.2,191.2,167.7,16.0,21.0,54.0
Rob Gronkowski,NWE,TE,21.0,16,11,0,0,0,0,0,0,0,0.0,0,59.0,42,546,13.0,10,1,1,10,0.0,0.0,113.0,154.6,158.6,133.6,16.0,5.0,55.0
Braylon Edwards,NYJ,WR,27.0,16,15,0,0,0,0,0,1,4,4.0,0,101.0,53,904,17.06,7,1,1,7,1.0,0.0,133.0,185.8,189.8,159.3,15.0,21.0,56.0
Kenny Britt,TEN,WR,22.0,12,7,0,0,0,0,0,0,0,0.0,0,73.0,42,775,18.45,9,1,1,9,1.0,0.0,132.0,173.5,177.5,152.5,14.0,22.0,57.0
Wes Welker,NWE,WR,29.0,15,11,0,0,0,0,0,0,0,0.0,0,123.0,86,848,9.86,7,1,0,7,0.0,0.0,128.0,213.8,216.8,170.8,10.0,23.0,58.0
Johnny Knox,CHI,WR,24.0,16,16,0,0,0,0,0,1,2,2.0,0,100.0,51,960,18.82,5,1,1,5,0.0,0.0,124.0,175.2,179.2,149.7,7.0,24.0,59.0
Chris Cooley,WAS,TE,28.0,16,16,0,0,0,0,0,0,0,0.0,0,126.0,77,849,11.03,3,3,1,3,1.0,0.0,103.0,179.9,183.9,141.4,7.0,7.0,60.0
Kellen Winslow,TAM,TE,27.0,16,11,0,0,0,0,0,0,0,0.0,0,98.0,66,730,11.06,5,1,0,5,0.0,0.0,103.0,169.0,172.0,136.0,7.0,6.0,61.0
Anquan Boldin,BAL,WR,30.0,16,16,1,1,-6,0,0,2,2,1.0,0,109.0,64,837,13.08,7,1,1,7,0.0,0.0,124.0,187.7,191.7,155.7,6.0,25.0,62.0
Derrick Mason,BAL,WR,36.0,16,15,0,0,0,0,0,0,0,0.0,0,100.0,61,802,13.15,7,0,0,7,0.0,0.0,122.0,183.2,186.2,152.7,5.0,26.0,63.0
Tony Gonzalez,ATL,TE,34.0,16,16,0,0,0,0,0,0,0,0.0,0,108.0,70,656,9.37,6,0,0,6,0.0,0.0,102.0,171.6,174.6,136.6,5.0,8.0,64.0
Mike Thomas,JAX,WR,23.0,16,11,0,0,0,0,0,12,114,9.5,0,102.0,66,820,12.42,4,3,1,5,0.0,0.0,121.0,187.4,194.4,154.4,4.0,27.0,65.0
Lance Moore,NOR,WR,27.0,16,1,0,0,0,0,0,0,0,0.0,0,94.0,66,763,11.56,8,2,2,8,0.0,0.0,120.0,186.3,191.3,153.3,3.0,28.0,66.0
Dustin Keller,NYJ,TE,26.0,16,13,0,0,0,0,0,0,0,0.0,0,100.0,55,687,12.49,5,0,0,5,0.0,0.0,99.0,153.7,156.7,126.2,3.0,9.0,67.0
Joe Flacco,BAL,QB,25.0,16,16,306,489,3622,25,10,43,84,1.95,1,0.0,0,0,0.0,0,9,4,1,0.0,0.0,231.0,231.3,248.3,241.3,2.0,10.0,68.0
Jahvid Best,DET,RB,21.0,16,9,0,1,0,0,0,171,555,3.25,4,80.0,58,487,8.4,2,1,1,6,0.0,0.0,138.0,196.2,203.2,167.2,2.0,22.0,69.0
Brandon Jacobs,NYG,RB,28.0,16,5,0,0,0,0,0,147,823,5.6,9,13.0,7,59,8.43,0,2,2,9,0.0,0.0,138.0,145.2,150.2,141.7,2.0,23.0,70.0
Zach Miller,OAK,TE,25.0,15,15,0,0,0,0,0,0,0,0.0,0,92.0,60,685,11.42,5,1,0,5,0.0,0.0,99.0,158.5,161.5,128.5,2.0,10.0,71.0
Aaron Hernandez,NWE,TE,21.0,14,7,0,0,0,0,0,3,47,15.67,0,64.0,45,563,12.51,6,0,0,6,0.0,0.0,97.0,142.0,145.0,119.5,1.0,11.0,72.0
Matt Cassel,KAN,QB,28.0,15,15,262,450,3116,27,7,33,125,3.79,0,0.0,0,0,0.0,0,3,1,0,0.0,0.0,229.0,229.1,243.1,236.1,0.0,11.0,73.0
Eli Manning,NYG,QB,29.0,16,16,339,539,4002,31,25,32,70,2.19,0,0.0,0,0,0.0,0,7,6,0,0.0,0.0,229.0,229.1,263.1,254.1,0.0,12.0,74.0
Carson Palmer,CIN,QB,31.0,16,16,362,586,3970,26,20,32,50,1.56,0,0.0,0,0,0.0,0,7,3,0,0.0,1.0,224.0,223.8,249.8,243.8,0.0,13.0,75.0
David Garrard,JAX,QB,32.0,14,14,236,366,2734,23,15,66,279,4.23,5,0.0,0,0,0.0,0,11,4,5,0.0,0.0,221.0,221.3,246.3,236.3,0.0,14.0,76.0
Jay Cutler,CHI,QB,27.0,15,15,261,432,3274,23,16,50,232,4.64,1,0.0,0,0,0.0,0,10,6,1,0.0,1.0,210.0,210.2,238.2,226.2,0.0,15.0,77.0
Ben Roethlisberger,PIT,QB,28.0,12,12,240,389,3200,17,5,34,176,5.18,2,0.0,0,0,0.0,0,7,3,2,0.0,0.0,210.0,209.6,223.6,214.6,0.0,16.0,78.0
