player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,targets,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Aaron Rodgers,GNB,QB,28.0,15,15,343,502,4643,45,6,60,257,4.28,3,0.0,0,0,0.0,0,4,0,3,0.0,0.0,397.0,397.4,409.4,403.4,175.0,1.0,1.0
Drew Brees,NOR,QB,32.0,16,16,468,657,5476,46,14,21,86,4.1,1,0.0,0,0,0.0,0,1,1,1,0.0,3.0,394.0,393.6,411.6,407.6,171.0,2.0,2.0
Ray Rice,BAL,RB,24.0,16,16,1,1,1,1,0,291,1364,4.69,12,104.0,76,704,9.26,3,2,2,15,0.0,0.0,297.0,372.8,380.8,334.8,149.0,1.0,3.0
Calvin Johnson,DET,WR,26.0,16,16,0,0,0,0,0,1,11,11.0,0,158.0,96,1681,17.51,16,1,1,16,0.0,0.0,263.0,359.2,363.2,311.2,148.0,1.0,4.0
Cam Newton,CAR,QB,22.0,16,16,310,517,4051,21,17,126,706,5.6,14,1.0,1,27,27.0,0,5,2,14,0.0,2.0,369.0,370.3,395.3,386.8,147.0,3.0,5.0
Rob Gronkowski,NWE,TE,22.0,16,16,0,0,0,0,0,1,2,2.0,1,124.0,90,1327,14.74,17,0,0,18,0.0,0.0,241.0,330.9,333.9,285.9,145.0,1.0,6.0
Tom Brady,NWE,QB,34.0,16,16,401,611,5235,39,12,43,109,2.53,3,0.0,0,0,0.0,0,6,2,3,0.0,0.0,366.0,366.3,386.3,378.3,144.0,4.0,7.0
LeSean McCoy,PHI,RB,23.0,15,15,0,0,0,0,0,273,1309,4.79,17,69.0,48,315,6.56,3,1,1,20,0.0,0.0,280.0,328.4,335.4,304.4,133.0,2.0,8.0
Matthew Stafford,DET,QB,23.0,16,16,421,663,5038,41,16,22,78,3.55,0,0.0,0,0,0.0,0,5,1,0,0.0,2.0,343.0,343.3,363.3,359.3,121.0,5.0,9.0
Maurice JonesDrew,JAX,RB,26.0,16,16,0,0,0,0,0,343,1606,4.68,8,64.0,43,374,8.7,3,6,1,11,0.0,0.0,262.0,305.0,312.0,283.5,115.0,3.0,10.0
Arian Foster,HOU,RB,25.0,13,13,0,0,0,0,0,278,1224,4.4,10,72.0,53,617,11.64,2,5,2,12,0.0,0.0,252.0,305.1,313.1,278.6,105.0,4.0,11.0
Jordy Nelson,GNB,WR,26.0,16,9,0,0,0,0,0,0,0,0.0,0,96.0,68,1263,18.57,15,0,0,15,0.0,0.0,216.0,284.3,287.3,250.3,101.0,2.0,12.0
Jimmy Graham,NOR,TE,25.0,16,11,0,0,0,0,0,0,0,0.0,0,149.0,99,1310,13.23,11,1,1,11,0.0,0.0,195.0,294.0,298.0,244.5,99.0,2.0,13.0
Wes Welker,NWE,WR,30.0,16,15,0,0,0,0,0,4,30,7.5,0,173.0,122,1569,12.86,9,1,0,9,0.0,0.0,214.0,335.9,338.9,274.9,98.0,3.0,14.0
Victor Cruz,NYG,WR,25.0,16,7,0,0,0,0,0,1,3,3.0,0,131.0,82,1536,18.73,9,1,1,9,0.0,0.0,206.0,287.9,291.9,246.9,90.0,4.0,15.0
Larry Fitzgerald,ARI,WR,28.0,16,16,0,0,0,0,0,0,0,0.0,0,154.0,80,1411,17.64,8,0,0,8,0.0,0.0,189.0,269.1,272.1,229.1,74.0,5.0,16.0
Steve Smith Sr,CAR,WR,32.0,16,16,0,0,0,0,0,6,56,9.33,0,129.0,79,1394,17.65,7,3,2,7,1.0,0.0,185.0,264.0,269.0,224.5,69.0,6.0,17.0
