Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Chuck Foreman*,MIN,RB,26,14,14,0,0,0,0,0,278,1155,4.15,13,55,567,10.31,1,7,,14,,,249,304.2,313.7,276.7,148,1,1
Cliff Branch*+,OAK,WR,28,14,14,0,0,0,0,0,3,12,4.00,0,46,1111,24.15,12,0,,12,,,184,230.3,233.3,207.3,126,1,2
Bert Jones*+,BAL,QB,25,14,14,207,343,3104,24,9,38,214,5.63,2,0,0,,0,4,,2,,,232,231.6,248.6,240.6,121,1,3
O.J. Simpson*+,BUF,RB,29,14,13,0,0,0,0,0,290,1503,5.18,8,22,259,11.77,1,6,,9,,,224,246.2,255.2,235.2,120,2,4
Roger Carr*,BAL,WR,24,14,14,0,0,0,0,0,0,0,,0,43,1112,25.86,11,0,,11,,,177,220.2,223.2,198.7,118,2,5
Walter Payton*+,CHI,RB,23,14,14,0,0,0,0,0,311,1390,4.47,13,15,149,9.93,0,10,,13,,,222,236.9,247.9,229.4,117,3,6
Lydell Mitchell*,BAL,RB,27,14,14,0,0,0,0,0,289,1200,4.15,5,60,555,9.25,3,4,,8,,,220,279.5,287.5,249.5,114,4,7
Steve Grogan,NWE,QB,23,14,14,145,302,1903,18,20,60,397,6.62,12,0,0,,0,6,,13,,,220,219.8,248.8,239.8,108,2,8
Franco Harris*,PIT,FB,26,14,14,0,0,0,0,0,289,1128,3.90,14,23,151,6.57,0,8,,14,,,204,226.9,236.9,215.4,96,5,9
Lawrence McCutcheon*,RAM,RB,26,14,14,0,0,0,0,0,291,1168,4.01,9,28,305,10.89,2,10,,11,,,203,231.3,242.3,217.3,96,6,10
Delvin Williams*,SFO,RB,25,13,13,1,1,18,0,0,248,1203,4.85,7,27,283,10.48,2,6,,9,,,197,224.3,233.3,210.8,89,7,11
Dave Casper*+,OAK,TE,24,13,13,0,0,0,0,0,1,5,5.00,0,53,691,13.04,10,0,,10,,,130,182.6,185.6,156.1,85,1,12
Charlie Joiner*,SDG,WR,29,14,14,0,1,0,0,0,0,0,,0,50,1056,21.12,7,0,,7,,,148,197.6,200.6,172.6,84,3,13
Sammy White*,MIN,WR,22,14,14,0,0,0,0,0,5,-10,-2.00,0,51,906,17.76,10,3,,10,,,147,197.6,202.1,172.1,83,4,14
Walter White,KAN,TE,25,14,5,0,0,0,0,0,2,15,7.50,0,47,808,17.19,7,0,,7,,,124,171.3,174.3,147.8,79,2,15
Mike Thomas*,WAS,RB,23,13,12,0,0,0,0,0,254,1101,4.33,5,28,290,10.36,4,7,,9,,,186,214.1,223.6,200.1,76,8,16
Bob Chandler,BUF,WR,27,14,14,0,0,0,0,0,1,0,0.00,0,61,824,13.51,10,3,,10,,,139,200.4,204.9,169.9,75,5,17
Ken Burrough,HOU,WR,28,14,14,0,0,0,0,0,3,22,7.33,0,51,932,18.27,7,0,,7,,,137,188.4,191.4,162.9,73,6,18
