Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Tony Collins,NWE,RB,25,16,5,0,0,0,0,0,138,550,3.99,5,16,100,6.25,0,3,,5,,,92,108.0,115.5,100.0,,38,
Pete Johnson,2TM,RB,30,16,0,0,0,0,0,0,87,205,2.36,12,2,7,3.50,0,1,,12,,,92,94.2,97.7,93.2,,37,
Nat Moore,MIA,WR,33,16,1,0,0,0,0,0,1,3,3.00,0,43,573,13.33,6,2,,6,,,92,134.6,138.6,113.1,,38,
Rich Erenberg,PIT,RB,22,16,9,0,0,0,0,0,115,405,3.52,2,38,358,9.42,1,3,,3,,,91,129.3,136.8,110.3,,39,
Mosi Tatupu,NWE,RB,29,16,4,0,0,0,0,0,133,553,4.16,4,16,159,9.94,0,4,,4,,,91,107.2,115.2,99.2,,40,
Mike Pagel,IND,QB,24,11,9,114,212,1426,8,8,26,149,5.73,1,0,0,,0,4,,1,,,90,89.9,105.9,97.9,,26,
Gary Hogeboom,DAL,QB,26,16,10,195,367,2366,7,14,15,19,1.27,0,0,0,,0,8,,0,,,89,88.5,109.5,102.5,,27,
Mike Pruitt,CLE,FB,30,10,7,0,0,0,0,0,163,506,3.10,6,5,29,5.80,0,1,,6,,,89,93.5,97.0,91.0,,41,
Ron Springs,DAL,FB,28,16,12,0,1,0,0,0,68,197,2.90,1,46,454,9.87,3,1,,4,,,88,134.1,140.6,111.1,,42,
Stephen Starring,NWE,WR,23,16,16,0,0,0,0,0,2,-16,-8.00,0,46,657,14.28,4,1,,4,,,87,133.1,136.6,110.1,,39,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Brooks,CIN,RB,26,15,11,0,0,0,0,0,103,396,3.84,2,34,268,7.88,2,4,,4,,,86,120.4,128.4,103.4,,43,
Joe Morris,NYG,RB,24,16,8,0,0,0,0,0,133,510,3.83,4,12,124,10.33,0,1,,4,,,86,98.4,104.9,92.4,,44,
Alfred Jackson,ATL,WR,29,16,15,0,0,0,0,0,0,0,,0,52,731,14.06,2,0,,2,,,85,137.1,140.1,111.1,,40,
Danny White,DAL,QB,32,14,6,126,233,1580,11,11,6,21,3.50,0,0,0,,0,2,,0,,,85,85.3,100.3,96.3,,28,
Curtis Dickey,IND,RB,28,10,9,1,1,63,1,0,131,523,3.99,3,14,135,9.64,0,6,,3,,,84,98.3,107.3,91.3,,45,
Lionel Manuel,NYG,WR,22,16,5,0,0,0,0,0,3,2,0.67,0,33,619,18.76,4,2,,4,,,84,117.1,121.1,100.6,,41,
