player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
OJ Simpson,BUF,RB,26.0,14,14,1,2,-3,0,0,332,2003,6.03,12,6,70,11.67,0,7,0,12,0.0,0.0,272.0,278.2,284.7,275.2,177.0,1.0,1.0
Harold Carmichael,PHI,WR,24.0,14,14,0,0,0,0,0,3,42,14.0,0,67,1116,16.66,9,3,0,9,0.0,0.0,167.0,233.8,238.3,200.3,119.0,1.0,2.0
Harold Jackson,RAM,WR,27.0,14,14,0,0,0,0,0,2,-8,-4.0,0,40,874,21.85,13,0,0,13,0.0,0.0,165.0,204.6,207.6,184.6,117.0,2.0,3.0
Floyd Little,DEN,RB,31.0,14,13,0,0,0,0,0,256,979,3.82,12,41,423,10.32,1,3,0,13,0.0,0.0,215.0,256.2,263.7,235.7,112.0,2.0,4.0
Larry Brown,WAS,RB,26.0,14,14,0,0,0,0,0,273,860,3.15,8,40,482,12.05,6,7,0,14,0.0,0.0,211.0,251.2,260.7,231.2,107.0,3.0,5.0
John Gilliam,MIN,WR,28.0,14,14,0,0,0,0,0,5,71,14.2,1,42,907,21.6,8,1,0,9,0.0,0.0,151.0,192.8,196.3,171.8,101.0,3.0,6.0
Roger Staubach,DAL,QB,31.0,14,14,179,286,2428,23,15,46,250,5.43,3,0,0,0.0,0,5,0,3,0.0,0.0,197.0,197.1,220.6,212.1,95.0,1.0,7.0
Roman Gabriel,PHI,QB,33.0,14,14,270,460,3219,23,12,12,10,0.83,1,0,0,0.0,0,10,0,1,0.0,0.0,194.0,193.8,213.8,205.8,91.0,2.0,8.0
Charle Young,PHI,TE,22.0,14,14,0,0,0,0,0,4,24,6.0,1,55,854,15.53,6,0,0,7,0.0,0.0,130.0,184.8,187.8,157.3,86.0,1.0,9.0
Isaac Curtis,CIN,WR,23.0,14,14,0,0,0,0,0,2,-11,-5.5,0,45,843,18.73,9,0,0,9,0.0,0.0,137.0,182.2,185.2,159.7,85.0,4.0,10.0
Ron Shanklin,PIT,WR,25.0,13,13,0,0,0,0,0,3,1,0.33,0,30,711,23.7,10,1,0,10,0.0,0.0,130.0,160.2,163.7,145.2,77.0,5.0,11.0
Jerome Barkum,NYJ,TE,23.0,14,14,0,0,0,0,0,1,2,2.0,0,44,810,18.41,6,0,0,6,0.0,0.0,117.0,161.2,164.2,139.2,72.0,2.0,12.0
Donny Anderson,STL,RB,30.0,14,13,0,0,0,0,0,167,679,4.07,10,41,409,9.98,3,7,0,13,0.0,0.0,180.0,220.8,230.3,200.3,71.0,4.0,13.0
Ron Johnson,NYG,RB,26.0,12,11,0,0,0,0,0,260,902,3.47,6,32,377,11.78,3,4,0,9,0.0,0.0,178.0,209.9,217.9,193.9,69.0,5.0,14.0
Boobie Clark,CIN,FB,23.0,14,14,0,0,0,0,0,254,988,3.89,8,45,347,7.71,0,8,0,8,0.0,0.0,174.0,218.5,228.5,196.0,64.0,6.0,15.0
Paul Warfield,MIA,WR,31.0,14,14,0,0,0,0,0,1,15,15.0,0,29,514,17.72,11,1,0,11,0.0,0.0,118.0,146.9,150.4,132.4,63.0,6.0,16.0
Riley Odoms,DEN,TE,23.0,14,14,0,0,0,0,0,5,53,10.6,0,43,629,14.63,7,1,0,7,0.0,0.0,109.0,152.2,155.7,130.7,63.0,3.0,17.0
Calvin Hill,DAL,RB,26.0,14,14,0,1,0,0,0,273,1142,4.18,6,32,290,9.06,0,7,0,6,0.0,0.0,172.0,204.2,213.7,188.2,62.0,7.0,18.0
Essex Johnson,CIN,RB,27.0,14,14,0,0,0,0,0,195,997,5.11,4,28,356,12.71,3,7,0,7,0.0,0.0,170.0,198.3,207.8,184.3,60.0,8.0,19.0
Ted Kwalick,SFO,TE,26.0,14,14,0,0,0,0,0,5,37,7.4,0,47,729,15.51,5,1,0,5,0.0,0.0,106.0,152.6,156.1,129.1,59.0,4.0,20.0
Jim Plunkett,NWE,QB,26.0,14,14,193,376,2550,13,17,44,209,4.75,5,0,0,0.0,0,6,0,5,0.0,0.0,165.0,164.9,190.9,181.9,58.0,3.0,21.0
Lawrence McCutcheon,RAM,RB,23.0,12,12,0,0,0,0,0,210,1097,5.22,2,30,289,9.63,3,4,0,5,0.0,0.0,165.0,194.6,202.6,179.6,54.0,9.0,22.0
Haven Moses,DEN,WR,27.0,14,14,0,0,0,0,0,3,25,8.33,1,28,518,18.5,8,1,0,9,0.0,0.0,107.0,135.3,138.8,121.3,51.0,7.0,23.0
Bob Tucker,NYG,TE,28.0,14,14,0,0,0,0,0,1,4,4.0,0,50,681,13.62,5,2,0,5,0.0,0.0,97.0,146.5,150.5,121.5,48.0,5.0,24.0
Mercury Morris,MIA,RB,26.0,13,10,0,0,0,0,0,149,954,6.4,10,4,51,12.75,0,3,0,10,0.0,0.0,158.0,161.5,166.0,159.5,46.0,10.0,25.0
Fran Tarkenton,MIN,QB,33.0,14,14,169,274,2113,15,7,41,202,4.93,1,0,0,0.0,0,5,0,1,0.0,0.0,152.0,151.7,167.2,158.7,43.0,4.0,26.0
Ken Burrow,ATL,WR,25.0,9,8,0,0,0,0,0,2,17,8.5,0,31,567,18.29,7,1,0,7,0.0,0.0,99.0,130.4,133.9,114.9,42.0,8.0,27.0
Ken Anderson,CIN,QB,24.0,14,14,179,329,2428,18,12,26,97,3.73,0,0,0,0.0,0,5,0,0,0.0,0.0,150.0,149.8,167.3,161.8,41.0,5.0,28.0
Tom Sullivan,PHI,RB,23.0,13,13,0,0,0,0,0,217,968,4.46,4,50,322,6.44,1,6,0,5,0.0,0.0,153.0,203.0,212.0,178.0,40.0,11.0,29.0
Dave Hampton,ATL,RB,26.0,14,14,0,0,0,0,0,263,997,3.79,4,25,273,10.92,1,7,0,5,0.0,0.0,150.0,175.0,184.5,162.5,37.0,12.0,30.0
John Hadl,RAM,QB,33.0,14,14,135,258,2008,22,11,14,5,0.36,0,0,0,0.0,0,1,0,0,0.0,0.0,146.0,145.8,160.3,156.8,36.0,6.0,31.0
Mel Gray,STL,WR,25.0,12,9,0,0,0,0,0,0,0,0.0,0,29,513,17.69,7,0,0,7,0.0,0.0,93.0,122.3,125.3,107.8,35.0,9.0,32.0
Glenn Doughty,BAL,WR,22.0,14,14,0,0,0,0,0,10,96,9.6,0,25,587,23.48,4,0,0,4,0.0,0.0,92.0,117.3,120.3,104.8,34.0,10.0,33.0
Chuck Foreman,MIN,RB,23.0,12,10,0,0,0,0,0,182,801,4.4,4,37,362,9.78,2,6,0,6,0.0,0.0,146.0,183.3,192.3,164.8,33.0,13.0,34.0
Mike Siani,OAK,WR,23.0,14,14,0,0,0,0,0,0,0,0.0,0,45,742,16.49,3,1,0,3,0.0,0.0,91.0,136.2,139.7,113.7,33.0,11.0,35.0
Reggie Rucker,NWE,WR,26.0,14,14,0,0,0,0,0,2,-1,-0.5,0,53,743,14.02,3,2,0,3,0.0,0.0,90.0,143.2,147.2,116.7,32.0,12.0,36.0
Fred Biletnikoff,OAK,WR,30.0,14,14,0,0,0,0,0,0,0,0.0,0,48,660,13.75,4,0,0,4,0.0,0.0,90.0,138.0,141.0,114.0,31.0,13.0,37.0
