player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Clifton McNeil,NYG,WR,30.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,1.75,0.0,50.0,764.0,15.28,4.0,0.0,,5.0,,,107.0,157.1,160.1,132.1,48.0,9.0,26.0
Leroy Kelly*,CLE,RB,28.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,206.0,656.0,3.18,6.0,24.0,311.0,12.96,2.0,3.0,,8.0,,,142.0,165.7,173.2,153.7,47.0,10.0,27.0
Roman Gabriel,RAM,QB,30.0,14.0,14.0,211.0,407.0,2552.0,16.0,12.0,28.0,104.0,3.71,1.0,0.0,0.0,,0.0,6.0,,1.0,,,152.0,152.5,173.5,164.5,42.0,6.0,28.0
Jackie Smith*,STL,TE,30.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,5.0,43.0,8.6,0.0,37.0,687.0,18.57,4.0,0.0,,4.0,,,97.0,134.0,137.0,115.5,42.0,4.0,29.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raymond Chester*,OAK,TE,22.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,42.0,556.0,13.24,7.0,1.0,,7.0,,,97.0,138.6,142.1,117.6,41.0,5.0,30.0
Larry Csonka*,MIA,FB,24.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,193.0,874.0,4.53,6.0,11.0,94.0,8.55,0.0,3.0,,6.0,,,130.0,140.8,145.3,135.3,34.0,11.0,31.0
Charlie Sanders*+,DET,TE,24.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,40.0,544.0,13.6,6.0,0.0,,6.0,,,90.0,130.4,133.4,110.4,34.0,6.0,32.0
Gene Washington*,MIN,WR,26.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,44.0,702.0,15.95,4.0,1.0,,4.0,,,93.0,137.2,140.7,115.2,33.0,10.0,33.0
Carroll Dale*,GNB,WR,32.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,4.5,0.0,49.0,814.0,16.61,2.0,2.0,,2.0,,,92.0,141.3,145.3,116.8,32.0,11.0,34.0
