player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,targets,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
David Johnson,ARI,RB,25.0,16,16,0,0,0,0,0,293,1239,4.23,16,120.0,80,879,10.99,4,5,3,20,1.0,0.0,328.0,407.8,416.8,367.8,191.0,1.0,1.0
Ezekiel Elliott,DAL,RB,21.0,15,15,0,0,0,0,0,322,1631,5.07,15,39.0,32,363,11.34,1,5,1,16,0.0,0.0,293.0,325.4,332.4,309.4,156.0,2.0,2.0
Aaron Rodgers,GNB,QB,33.0,16,16,401,610,4428,40,7,67,369,5.51,4,0.0,0,0,0.0,0,8,4,4,1.0,1.0,380.0,380.0,397.0,387.0,119.0,1.0,3.0
LeSean McCoy,BUF,RB,28.0,15,15,0,0,0,0,0,234,1267,5.41,13,57.0,50,356,7.12,1,3,0,14,1.0,0.0,248.0,298.3,304.3,273.3,111.0,3.0,4.0
LeVeon Bell,PIT,RB,24.0,12,12,0,1,0,0,0,261,1268,4.86,7,94.0,75,616,8.21,2,4,1,9,1.0,0.0,242.0,317.4,324.4,279.9,105.0,4.0,5.0
DeMarco Murray,TEN,RB,28.0,16,16,1,2,10,1,0,293,1287,4.39,9,67.0,53,377,7.11,3,3,1,12,0.0,0.0,241.0,293.8,300.8,267.3,104.0,5.0,6.0
Devonta Freeman,ATL,RB,24.0,16,16,0,0,0,0,0,227,1079,4.75,11,65.0,54,462,8.56,2,1,1,13,0.0,0.0,230.0,284.1,291.1,257.1,93.0,6.0,7.0
LeGarrette Blount,NWE,RB,30.0,16,8,0,0,0,0,0,299,1161,3.88,18,8.0,7,38,5.43,0,2,1,18,0.0,0.0,226.0,232.9,236.9,229.4,89.0,7.0,8.0
Matt Ryan,ATL,QB,31.0,16,16,373,534,4944,38,7,35,117,3.34,0,0.0,0,0,0.0,0,4,2,0,1.0,1.0,347.0,347.5,362.5,354.5,87.0,2.0,9.0
Mike Evans,TAM,WR,23.0,16,16,0,0,0,0,0,0,0,0.0,0,173.0,96,1321,13.76,12,0,0,12,2.0,0.0,208.0,304.1,307.1,256.1,82.0,1.0,10.0
