player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,targets,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Shaun Alexander,SEA,RB,28.0,16,16,0,0,0,0,0,370,1880,5.08,27,29.0,15,78,5.2,1,5,1,28,0.0,0.0,362.0,376.8,380.8,369.3,226.0,1.0,1.0
Larry Johnson,KAN,RB,26.0,16,9,0,0,0,0,0,336,1750,5.21,20,49.0,33,343,10.39,1,5,4,21,0.0,0.0,327.0,360.3,370.3,343.8,191.0,2.0,2.0
LaDainian Tomlinson,SDG,RB,26.0,16,16,3,4,47,3,0,339,1462,4.31,18,77.0,51,370,7.25,2,3,1,20,0.0,0.0,315.0,366.1,373.1,340.6,179.0,3.0,3.0
Tiki Barber,NYG,RB,30.0,16,16,0,1,0,0,0,357,1860,5.21,9,70.0,54,530,9.81,2,1,1,11,1.0,0.0,305.0,359.0,366.0,332.0,169.0,4.0,4.0
Edgerrin James,IND,RB,27.0,15,15,0,0,0,0,0,360,1506,4.18,13,50.0,44,337,7.66,1,2,1,14,0.0,0.0,266.0,310.3,317.3,288.3,130.0,5.0,5.0
Steve Smith Sr,CAR,WR,26.0,16,16,0,0,0,0,0,4,25,6.25,1,150.0,103,1563,15.17,12,2,1,13,0.0,0.0,235.0,337.8,341.8,286.3,119.0,1.0,6.0
Clinton Portis,WAS,RB,24.0,16,16,1,2,17,1,0,352,1516,4.31,11,41.0,30,216,7.2,0,3,2,11,1.0,0.0,242.0,271.9,279.9,256.9,106.0,6.0,7.0
Antonio Gates,SDG,TE,25.0,15,15,0,0,0,0,0,0,0,0.0,0,140.0,89,1101,12.37,10,0,0,10,0.0,0.0,170.0,259.1,262.1,214.6,93.0,1.0,8.0
Rudi Johnson,CIN,RB,26.0,16,14,0,0,0,0,0,337,1458,4.33,12,30.0,23,90,3.91,0,1,0,12,0.0,0.0,227.0,249.8,252.8,238.3,91.0,7.0,9.0
LaMont Jordan,OAK,RB,27.0,14,14,0,0,0,0,0,272,1025,3.77,9,103.0,70,563,8.04,2,2,1,11,1.0,0.0,225.0,294.8,301.8,259.8,89.0,8.0,10.0
