Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Tony Galbreath,NOR,FB,24,16,16,0,0,0,0,0,186,635,3.41,5,74,582,7.86,2,6,,7,,,158,231.7,240.7,194.7,19,14,51
Sherman Smith,SEA,RB,24,12,12,0,0,0,0,0,165,805,4.88,6,28,366,13.07,1,3,,7,,,156,184.1,191.6,170.1,18,15,52
John Riggins,WAS,FB,29,15,15,0,0,0,0,0,248,1014,4.09,5,31,299,9.65,0,7,,5,,,154,185.3,194.8,169.8,16,16,53
Ron Jessie,RAM,WR,30,16,16,0,0,0,0,0,0,0,,0,49,752,15.35,4,0,,4,,,99,148.2,151.2,123.7,16,21,54
Roger Carr,BAL,WR,26,16,16,0,0,0,0,0,0,0,,0,30,629,20.97,6,0,,6,,,99,128.9,131.9,113.9,16,22,55
Don Bass,CIN,TE,22,16,8,0,0,0,0,0,1,-4,-4.00,0,27,447,16.56,4,1,,5,,,73,100.3,103.8,86.8,16,9,56
Pat Haden,RAM,QB,25,16,16,229,444,2995,13,19,33,206,6.24,0,0,0,,0,7,,0,,,147,147.4,175.9,166.4,13,10,57
Reuben Gant,BUF,TE,26,16,16,0,0,0,0,0,1,14,14.00,0,34,408,12.00,5,1,,5,,,71,105.2,108.7,88.2,13,10,58
Sam Cunningham*,NWE,FB,28,16,14,0,0,0,0,0,199,768,3.86,8,31,297,9.58,0,4,,8,,,151,181.5,189.5,166.0,12,17,59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuck Foreman,MIN,RB,28,14,14,0,0,0,0,0,237,749,3.16,5,61,396,6.49,2,8,,7,,,149,209.5,219.5,179.0,10,18,60
Morris Owens,TAM,WR,25,16,11,0,0,0,0,0,0,0,,0,32,640,20.00,5,1,,5,,,93,125.0,128.5,109.0,10,23,61
Drew Pearson,DAL,WR,27,16,16,0,0,0,0,0,3,29,9.67,0,44,714,16.23,3,0,,3,,,92,136.3,139.3,114.3,9,24,62
Mike Barber,HOU,TE,25,16,16,0,0,0,0,0,2,14,7.00,0,32,513,16.03,3,4,,3,,,67,98.7,103.7,82.7,9,11,63
Dexter Bussey,DET,RB,26,16,16,0,0,0,0,0,225,924,4.11,5,31,275,8.87,1,9,,6,,,147,177.9,188.4,162.4,8,19,64
Joe Washington,BAL,RB,25,16,12,2,4,80,2,0,240,956,3.98,0,45,377,8.38,1,12,,2,,,145,189.5,201.5,167.0,6,20,65
Isaac Curtis,CIN,WR,28,16,16,0,0,0,0,0,1,1,1.00,0,47,737,15.68,3,2,,3,,,90,136.8,140.8,113.3,6,25,66
Horace Ivory,NWE,RB,24,15,3,0,0,0,0,0,141,693,4.91,11,14,122,8.71,0,5,,11,,,143,156.5,165.0,149.5,4,21,67
Rickey Young,MIN,RB,25,16,16,0,0,0,0,0,134,417,3.11,1,88,704,8.00,5,6,,6,,,142,230.1,239.1,186.1,4,22,68
Derrick Gaffney,NYJ,WR,23,16,16,0,0,0,0,0,2,-2,-1.00,0,38,691,18.18,3,0,,3,,,87,124.9,127.9,105.9,4,27,69
Bob Chandler,BUF,WR,29,16,13,0,0,0,0,0,0,0,,0,44,581,13.20,5,1,,5,,,87,131.1,134.6,109.1,4,26,70
Wallace Francis,ATL,WR,27,16,16,0,0,0,0,0,2,-11,-5.50,0,45,695,15.44,3,0,,3,,,86,131.4,134.4,108.9,3,28,71
Greg Pruitt,CLE,RB,27,12,12,0,3,0,0,2,176,960,5.45,3,38,292,7.68,2,12,,5,,,139,177.2,191.2,160.2,1,23,72
Joe Theismann,WAS,QB,29,16,14,187,390,2593,13,18,37,177,4.78,1,0,0,,0,8,,1,,,135,135.4,163.4,153.4,1,11,73
Ike Harris,NOR,WR,26,15,15,0,1,0,0,0,2,22,11.00,0,40,590,14.75,4,1,,4,,,84,124.2,127.7,104.2,1,29,74
Horace King,DET,FB,25,15,15,0,0,0,0,0,155,660,4.26,4,48,396,8.25,2,3,,6,,,139,186.6,194.1,162.6,,24,75
Pete Johnson,CIN,FB,24,16,10,0,0,0,0,0,180,762,4.23,7,31,236,7.61,0,4,,7,,,138,168.8,176.8,153.3,,25,76
Robert Newhouse,DAL,FB,28,13,12,0,0,0,0,0,140,584,4.17,8,20,176,8.80,2,1,,10,,,135,155.0,161.5,145.0,,26,77
Gary Danielson,DET,QB,27,16,11,199,351,2294,18,17,22,93,4.23,0,0,0,,0,5,,0,,,134,134.1,156.6,151.1,,12,78
Ron Jaworski,PHI,QB,27,16,16,206,398,2487,16,16,30,79,2.63,0,0,0,,0,7,,0,,,132,132.4,154.9,148.4,,13,
Dan Pastorini,HOU,QB,29,16,16,199,368,2473,16,17,18,11,0.61,0,0,0,,0,5,,0,,,125,125.0,147.5,142.0,,14,
Joe Ferguson,BUF,QB,28,16,16,175,330,2136,16,15,27,76,2.81,0,1,-6,-6.00,0,5,,0,,,121,122.4,142.9,136.9,,15,
John Cappelletti,RAM,FB,26,14,14,0,0,0,0,0,174,604,3.47,3,41,382,9.32,1,4,,4,,,119,159.6,167.6,139.1,,27,
Arthur Whittington,OAK,RB,23,16,9,0,0,0,0,0,172,661,3.84,7,23,106,4.61,0,2,,7,,,117,139.7,146.7,128.2,,28,
Steve Bartkowski,ATL,QB,26,14,13,187,369,2489,10,18,33,60,1.82,2,0,0,,0,7,,2,,,115,114.6,139.1,132.6,,16,
Ricky Bell,TAM,FB,23,12,9,0,0,0,0,0,185,679,3.67,6,15,122,8.13,0,1,,6,,,115,130.1,136.6,122.6,,30,
Cullen Bryant,RAM,RB,27,16,9,0,0,0,0,0,178,658,3.70,7,8,76,9.50,0,0,,7,,,115,123.4,126.4,119.4,,29,
Mike Thomas,WAS,RB,25,13,13,0,0,0,0,0,161,533,3.31,3,35,387,11.06,2,7,,5,,,115,150.0,159.5,132.5,,31,
Chuck Muncie,NOR,RB,25,13,11,0,1,0,0,0,160,557,3.48,7,26,233,8.96,0,7,,7,,,114,140.0,149.5,127.0,,33,
Jim Otis,STL,FB,30,15,9,0,0,0,0,0,197,664,3.37,8,8,38,4.75,0,4,,8,,,114,122.2,127.2,118.2,,32,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ken Stabler,OAK,QB,33,16,16,237,406,2944,16,30,4,0,0.00,0,0,0,,0,9,,0,,,113,112.8,150.3,142.8,,17,
Rocky Bleier,PIT,RB,32,16,16,0,0,0,0,0,165,633,3.84,5,17,168,9.88,1,6,,6,,,110,127.1,136.1,118.6,,34,
Andy Johnson,NWE,RB,26,15,13,0,2,0,0,0,147,675,4.59,3,26,267,10.27,0,4,,3,,,108,134.2,142.2,121.2,,35,
Bubba Bean,ATL,FB,24,15,15,0,1,0,0,1,193,707,3.66,3,31,209,6.74,1,7,,4,,,107,137.6,148.1,123.1,,36,
Scott Dierking,NYJ,RB,23,15,13,0,1,0,0,0,170,681,4.01,4,19,152,8.00,0,2,,4,,,105,124.3,131.3,114.8,,37,
Arnold Morgado,KAN,FB,26,16,9,0,0,0,0,0,160,593,3.71,7,7,47,6.71,0,2,,7,,,104,111.0,115.0,107.5,,38,
Wayne Morris,STL,FB,24,13,13,0,0,0,0,0,174,631,3.63,1,33,298,9.03,1,1,,2,,,104,136.9,143.4,120.4,,39,
Calvin Hill,CLE,RB,31,12,1,0,0,0,0,0,80,289,3.61,1,25,334,13.36,6,2,,7,,,102,127.3,134.3,114.8,,40,
Paul Hofer,SFO,RB,26,16,6,0,0,0,0,0,121,465,3.84,7,12,170,14.17,0,4,,7,,,102,113.5,121.5,107.5,,42,
