Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Dalton Hilliard*,NOR,RB,25,16,16,1,1,35,1,0,344,1262,3.67,13,52,514,9.88,5,7,,18,,,284,336.0,345.5,310.0,166,1,1
Jerry Rice*+,SFO,WR,27,16,16,0,0,0,0,0,5,33,6.60,0,82,1483,18.09,17,0,,17,,,254,335.6,338.6,294.6,149,1,2
Thurman Thomas*,BUF,RB,23,16,16,0,0,0,0,0,298,1244,4.17,6,60,669,11.15,6,7,,12,,,256,316.3,325.8,286.3,138,2,3
Neal Anderson*,CHI,RB,25,16,16,0,0,0,0,0,274,1275,4.65,11,50,434,8.68,4,5,,15,,,256,305.9,314.4,280.9,138,3,4
Barry Sanders*+,DET,RB,21,15,13,0,0,0,0,0,280,1470,5.25,14,24,282,11.75,0,10,0,14,,,249,273.2,284.2,261.2,131,4,5
Don Majkowski*,GNB,QB,25,16,16,353,599,4318,27,20,75,358,4.77,5,0,0,,0,15,,5,,,292,291.5,325.0,311.5,117,1,6
Sterling Sharpe*+,GNB,WR,24,16,16,0,0,0,0,0,2,25,12.50,0,90,1423,15.81,12,1,,13,,,222,311.8,315.3,266.8,117,2,7
Christian Okoye*+,KAN,FB,28,15,14,0,0,0,0,0,370,1480,4.00,12,2,12,6.00,0,8,,12,,,213,215.2,222.2,214.2,95,5,8
Ottis Anderson,NYG,RB,32,16,16,0,0,0,0,0,325,1023,3.15,14,28,268,9.57,0,2,,14,,,211,239.1,246.1,225.1,93,6,9
Mark Carrier*,TAM,WR,24,16,15,0,0,0,0,0,0,0,,0,86,1422,16.53,9,1,,9,,,195,281.2,284.7,238.2,91,3,10
Anthony Miller*,SDG,WR,24,16,16,0,0,0,0,0,4,21,5.25,0,75,1252,16.69,10,1,,11,,,192,267.3,270.8,229.8,88,4,11
Greg Bell,RAM,RB,27,16,15,0,0,0,0,0,272,1137,4.18,15,19,85,4.47,0,7,,15,,,205,224.2,230.7,214.7,87,7,12
Joe Montana*+,SFO,QB,33,13,13,271,386,3521,26,8,49,227,4.63,3,0,0,,0,9,,3,,,261,260.5,279.0,268.5,86,2,13
Jim Everett,RAM,QB,26,16,16,304,518,4310,29,17,25,31,1.24,1,0,0,,0,4,,1,,,260,259.5,281.5,276.5,85,3,14
