player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Dan Marino,MIA,QB,23.0,16,16,362,564,5084,48,17,28,-7,-0.25,0,0,0,0.0,0,6,0,0,0.0,0.0,355.0,354.7,377.7,371.7,191.0,1.0,1.0
James Wilder,TAM,FB,26.0,16,16,1,1,16,1,0,407,1544,3.79,13,85,685,8.06,0,10,0,13,0.0,0.0,296.0,380.5,391.5,338.0,172.0,1.0,2.0
Marcus Allen,RAI,RB,24.0,16,16,1,4,38,0,0,275,1168,4.25,13,64,758,11.84,5,8,0,18,0.0,0.0,294.0,358.1,368.1,326.1,170.0,2.0,3.0
Eric Dickerson,RAM,RB,24.0,16,16,0,1,0,0,1,379,2105,5.55,14,21,139,6.62,0,14,0,14,0.0,0.0,292.0,313.4,327.4,303.9,168.0,3.0,4.0
Walter Payton,CHI,RB,31.0,16,16,3,8,47,2,1,381,1684,4.42,11,45,368,8.18,0,5,0,11,0.0,0.0,274.0,319.1,328.6,297.6,150.0,4.0,5.0
Mark Clayton,MIA,WR,23.0,15,15,0,1,0,0,1,3,35,11.67,0,73,1389,19.03,18,2,0,18,0.0,0.0,246.0,319.4,324.4,283.9,142.0,1.0,6.0
Neil Lomax,STL,QB,25.0,16,16,345,560,4614,28,16,35,184,5.26,3,0,0,0.0,0,11,0,3,0.0,0.0,290.0,290.0,317.5,306.0,126.0,2.0,7.0
Roy Green,STL,WR,27.0,16,16,0,0,0,0,0,1,-10,-10.0,0,78,1555,19.94,12,1,0,12,0.0,0.0,226.0,303.5,307.0,264.5,121.0,2.0,8.0
Gerald Riggs,ATL,RB,24.0,15,14,0,0,0,0,0,353,1486,4.21,13,42,277,6.6,0,11,0,13,0.0,0.0,243.0,285.3,296.8,264.3,119.0,5.0,9.0
John Stallworth,PIT,WR,32.0,16,16,0,0,0,0,0,0,0,0.0,0,80,1395,17.44,11,1,0,11,0.0,0.0,205.0,284.5,288.0,244.5,100.0,3.0,10.0
Ottis Anderson,STL,RB,27.0,15,15,0,0,0,0,0,289,1174,4.06,6,70,611,8.73,2,8,0,8,0.0,0.0,219.0,288.5,298.5,253.5,95.0,6.0,11.0
Joe Montana,SFO,QB,28.0,16,15,279,432,3630,28,10,39,118,3.03,2,0,0,0.0,0,4,0,2,0.0,0.0,257.0,257.0,275.0,267.0,93.0,3.0,12.0
Dave Krieg,SEA,QB,26.0,16,16,276,480,3671,32,24,46,186,4.04,3,0,0,0.0,0,11,0,3,0.0,0.0,252.0,252.4,287.9,276.4,89.0,4.0,13.0
Steve Largent,SEA,WR,30.0,16,16,0,0,0,0,0,2,10,5.0,0,74,1164,15.73,12,1,0,12,0.0,0.0,188.0,262.4,265.9,225.4,84.0,4.0,14.0
John Riggins,WAS,FB,35.0,14,14,0,0,0,0,0,327,1239,3.79,14,7,43,6.14,0,7,0,14,0.0,0.0,205.0,212.2,218.7,208.7,81.0,7.0,15.0
James Lofton,GNB,WR,28.0,16,16,0,0,0,0,0,10,82,8.2,0,62,1361,21.95,7,1,0,7,0.0,0.0,185.0,247.3,250.8,216.3,81.0,5.0,16.0
Tony Eason,NWE,QB,25.0,16,13,259,431,3228,23,8,40,154,3.85,5,0,0,0.0,0,7,0,5,0.0,0.0,244.0,243.5,261.0,251.5,80.0,5.0,17.0
Art Monk,WAS,WR,27.0,16,16,0,0,0,0,0,2,18,9.0,0,106,1372,12.94,7,1,0,7,0.0,0.0,180.0,286.0,289.5,233.0,76.0,6.0,18.0
