Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Tim Worley,2TM,RB,27,15,3,0,0,0,0,0,120,470,3.92,2,15,11,62,5.64,0,3,,2,,,62,73.2,77.7,67.7,,57,
Victor Bailey,PHI,WR,23,16,10,0,0,0,0,0,0,0,,0,78,41,545,13.29,1,0,,1,,,61,101.5,104.5,81.0,,58,
Tom Waddle,CHI,WR,26,15,15,0,0,0,0,0,0,0,,0,72,44,552,12.55,1,0,,1,,,61,105.2,108.2,83.2,,57,
Brad Muster,NOR,FB,28,13,11,0,0,0,0,0,64,214,3.34,3,33,23,195,8.48,0,0,,3,,,59,81.9,87.9,70.4,,60,
Johnny Bailey,PHO,RB,26,13,0,0,0,0,0,0,49,253,5.16,1,40,32,243,7.59,0,4,,2,,,58,89.6,97.6,73.6,,61,
Randall Cunningham,PHI,QB,30,4,4,76,110,850,5,5,18,110,6.11,1,,0,0,,0,3,,1,,,58,58.0,70.5,63.0,,37,
Jeff Graham,PIT,WR,24,15,12,0,0,0,0,0,0,0,,0,87,38,579,15.24,0,0,,0,,,58,95.9,98.9,76.9,,60,
Willie Green,DET,WR,27,16,6,0,0,0,0,0,0,0,,0,57,28,462,16.50,2,0,,2,,,58,86.2,89.2,72.2,,59,
Heath Sherman,PHI,RB,26,15,7,0,0,0,0,0,115,406,3.53,2,15,12,78,6.50,0,3,,2,,,57,69.4,73.9,63.4,,62,
Kerry Cash,IND,TE,24,16,14,0,0,0,0,0,0,0,,0,76,43,402,9.35,3,2,,3,,,56,99.2,103.2,77.7,,12,
Troy Drayton,RAM,TE,23,16,2,0,0,0,0,0,1,7,7.00,0,39,27,319,11.81,4,1,,4,,,56,82.6,86.1,69.1,,13,
Shawn Jefferson,SDG,WR,24,16,4,0,0,0,0,0,5,53,10.60,0,57,30,391,13.03,2,0,,2,,,56,86.4,89.4,71.4,,61,
Brian Mitchell,WAS,RB,25,16,4,1,2,50,0,1,63,246,3.90,3,21,20,157,7.85,0,3,,3,,,55,75.3,83.8,66.3,,63,
Mike Sherrard,NYG,WR,30,6,5,0,0,0,0,0,0,0,,0,40,24,433,18.04,2,0,,2,,,55,79.3,82.3,67.3,,62,
Leroy Hoard,CLE,RB,25,16,7,0,1,0,0,0,56,227,4.05,0,69,35,351,10.03,0,4,,0,,,54,88.8,96.8,71.3,,64,
Jay Novacek*,DAL,TE,31,16,16,0,0,0,0,0,1,2,2.00,1,69,44,445,10.11,1,3,,2,,,54,97.7,102.2,75.7,,14,
Rodney Culver,IND,RB,24,16,1,0,0,0,0,0,65,150,2.31,3,15,11,112,10.18,1,3,,5,,,53,64.2,71.7,58.7,,65,
Ethan Horton,RAI,TE,31,16,16,0,0,0,0,0,0,0,,0,73,43,467,10.86,1,0,,1,,,53,95.7,98.7,74.2,,15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur Marshall,DEN,WR,24,16,9,1,1,30,1,0,0,0,,0,52,28,360,12.86,2,0,,2,,,53,81.2,84.2,67.2,,63,
Amp Lee,SFO,RB,22,15,3,0,0,0,0,0,72,230,3.19,1,20,16,115,7.19,2,1,,3,,,52,67.5,74.0,59.5,,66,
Tony Martin,MIA,WR,28,12,0,0,0,0,0,0,1,6,6.00,0,37,20,347,17.35,3,1,,3,,,52,72.3,75.8,62.3,,64,
Tony McGee,CIN,TE,22,15,15,0,0,0,0,0,0,0,,0,70,44,525,11.93,0,1,,0,,,52,95.5,99.0,73.5,,16,
Art Monk,WAS,WR,36,16,5,0,0,0,0,0,1,-1,-1.00,0,75,41,398,9.71,2,0,,2,,,52,92.7,95.7,72.2,,66,
Terry Obee,CHI,WR,25,16,5,0,0,0,0,0,0,0,,0,46,26,351,13.50,3,1,,3,,,52,78.1,81.6,65.1,,65,
Mark Clayton,GNB,WR,32,16,15,0,0,0,0,0,0,0,,0,50,32,331,10.34,3,0,,3,,,51,83.1,86.1,67.1,,67,
Vaughn Hebron,PHI,RB,23,16,4,0,0,0,0,0,84,297,3.54,3,17,11,82,7.45,0,5,,3,,,51,61.9,67.4,56.4,,67,
Sean Dawkins,IND,WR,22,16,7,0,0,0,0,0,0,0,,0,61,26,430,16.54,1,0,,1,,,49,75.0,78.0,62.0,,68,
James Joseph,PHI,FB,26,16,5,0,0,0,0,0,39,140,3.59,0,41,29,291,10.03,1,0,,1,,,49,78.1,84.1,63.6,,68,
Gary Wellman,HOU,WR,26,11,3,0,0,0,0,0,2,6,3.00,0,66,31,430,13.87,1,1,,1,,,49,79.6,83.1,64.1,,69,
Jay Schroeder,CIN,QB,32,9,3,78,159,832,5,2,10,41,4.10,0,,0,0,,0,5,,0,,,48,48.4,55.9,50.4,,38,
Keith Cash,KAN,TE,24,15,0,0,0,0,0,0,1,0,0.00,0,34,24,242,10.08,4,1,,4,,,47,71.2,74.7,59.2,,17,
Derrick Lassic,DAL,RB,23,10,3,0,0,0,0,0,75,269,3.59,3,13,9,37,4.11,0,2,,3,,,47,55.6,59.6,51.1,,69,
Keenan McCardell,CLE,WR,23,6,3,0,0,0,0,0,0,0,,0,16,13,234,18.00,4,0,,4,,,47,60.4,63.4,53.9,,70,
Brian Kinchen,CLE,TE,28,16,15,0,0,0,0,0,0,0,,0,45,29,347,11.97,2,1,,2,,,46,74.7,78.2,60.2,,18,
Ed McCaffrey,NYG,WR,25,16,1,0,0,0,0,0,0,0,,0,46,27,335,12.41,2,0,,2,,,46,72.5,75.5,59.0,,73,
Ernie Mills,PIT,WR,25,14,5,0,0,0,0,0,3,12,4.00,0,56,29,386,13.31,1,0,,1,,,46,74.8,77.8,60.3,,71,
Kevin Williams,DAL,WR,22,16,1,0,0,0,0,0,7,26,3.71,2,30,20,151,7.55,2,8,,6,,,46,65.7,72.7,55.7,,72,
Todd McNair,KAN,RB,28,15,1,0,0,0,0,0,51,278,5.45,2,15,10,74,7.40,0,2,,2,,,45,55.2,59.2,50.2,,70,
Rocket Ismail,RAI,WR,24,13,0,0,0,0,0,0,4,-5,-1.25,0,42,26,353,13.58,1,0,,1,,,41,66.8,69.8,53.8,,74,
