player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,targets,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Terrell Davis,DEN,RB,26.0,16,16,0,0,0,0,0,392,2008,5.12,21,38.0,25,217,8.68,2,2,2,23,0.0,0.0,357.0,381.5,389.5,369.0,233.0,1.0,1.0
Jamal Anderson,ATL,RB,26.0,16,16,0,2,0,0,0,410,1846,4.5,14,46.0,27,319,11.81,2,5,2,16,1.0,0.0,311.0,337.5,345.5,324.0,187.0,2.0,2.0
Steve Young,SFO,QB,37.0,15,15,322,517,4170,36,12,70,454,6.49,6,0.0,0,0,0.0,0,9,6,6,0.0,4.0,364.0,364.2,388.2,376.2,168.0,1.0,3.0
Marshall Faulk,IND,RB,25.0,16,15,0,0,0,0,0,324,1319,4.07,6,106.0,86,908,10.56,4,3,2,10,0.0,0.0,279.0,364.7,372.7,321.7,155.0,3.0,4.0
Fred Taylor,JAX,RB,22.0,15,12,0,0,0,0,0,264,1223,4.63,14,53.0,44,421,9.57,3,3,2,17,0.0,0.0,262.0,306.4,314.4,284.4,139.0,4.0,5.0
Garrison Hearst,SFO,RB,27.0,16,16,0,0,0,0,0,310,1570,5.06,7,56.0,39,535,13.72,2,4,3,9,1.0,0.0,261.0,299.5,308.5,280.0,137.0,5.0,6.0
Randy Moss,MIN,WR,21.0,16,11,0,0,0,0,0,1,4,4.0,0,124.0,69,1313,19.03,17,2,0,17,2.0,0.0,238.0,306.7,309.7,272.2,113.0,1.0,7.0
Emmitt Smith,DAL,RB,29.0,16,16,0,0,0,0,0,319,1332,4.18,13,32.0,27,175,6.48,2,3,2,15,0.0,0.0,237.0,263.7,271.7,250.2,113.0,6.0,8.0
Antonio Freeman,GNB,WR,26.0,15,15,0,0,0,0,0,3,5,1.67,0,153.0,84,1424,16.95,14,0,0,14,1.0,0.0,229.0,312.9,315.9,270.9,105.0,2.0,9.0
Ricky Watters,SEA,RB,29.0,16,16,1,1,1,1,0,319,1239,3.88,9,73.0,52,373,7.17,0,4,2,9,1.0,0.0,217.0,269.2,277.2,243.2,94.0,7.0,10.0
Curtis Martin,NYJ,RB,25.0,15,15,0,0,0,0,0,369,1287,3.49,8,57.0,43,365,8.49,1,5,1,9,0.0,0.0,217.0,260.2,267.2,238.7,94.0,8.0,11.0
Randall Cunningham,MIN,QB,35.0,15,14,259,425,3704,34,10,32,132,4.13,1,1.0,1,-3,-3.0,0,2,1,1,1.0,2.0,287.0,288.1,305.1,297.6,91.0,2.0,12.0
Robert Edwards,NWE,RB,24.0,16,15,0,0,0,0,0,291,1115,3.83,9,52.0,35,331,9.46,3,5,1,12,0.0,0.0,215.0,249.6,256.6,232.1,91.0,9.0,13.0
Terrell Owens,SFO,WR,25.0,16,10,0,0,0,0,0,4,53,13.25,1,104.0,67,1097,16.37,14,1,1,15,1.0,0.0,205.0,272.0,276.0,238.5,81.0,3.0,14.0
Barry Sanders,DET,RB,30.0,16,16,0,0,0,0,0,343,1491,4.35,4,57.0,37,289,7.81,0,3,2,4,0.0,0.0,198.0,235.0,243.0,216.5,75.0,10.0,15.0
Eddie George,TEN,RB,25.0,16,16,0,0,0,0,0,348,1294,3.72,5,49.0,37,310,8.38,1,7,1,6,1.0,0.0,196.0,233.4,240.4,214.9,73.0,11.0,16.0
Robert Smith,MIN,RB,26.0,14,14,0,0,0,0,0,249,1187,4.77,6,35.0,28,291,10.39,2,1,1,8,0.0,0.0,194.0,221.8,228.8,207.8,70.0,12.0,17.0
Shannon Sharpe,DEN,TE,30.0,16,16,0,0,0,0,0,0,0,0.0,0,107.0,64,768,12.0,10,0,0,10,0.0,0.0,137.0,200.8,203.8,168.8,70.0,1.0,18.0
Brett Favre,GNB,QB,29.0,16,16,347,551,4212,31,23,40,133,3.33,1,0.0,0,0,0.0,0,8,2,1,0.0,1.0,264.0,263.8,294.8,286.8,68.0,3.0,19.0
