player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Marcus Allen,RAI,RB,25.0,16,16,1,2,16,0,0,380,1759,4.63,11,67,555,8.28,3,3,0,14,0.0,0.0,313.0,380.0,387.5,346.5,167.0,1.0,1.0
Roger Craig,SFO,FB,25.0,16,16,0,0,0,0,0,214,1050,4.91,9,92,1016,11.04,6,5,0,15,0.0,0.0,292.0,383.6,392.1,337.6,146.0,2.0,2.0
Joe Morris,NYG,RB,25.0,16,16,0,0,0,0,0,294,1336,4.54,21,22,212,9.64,0,6,0,21,0.0,0.0,275.0,296.8,305.8,285.8,129.0,3.0,3.0
Walter Payton,CHI,RB,32.0,16,16,3,5,96,1,0,324,1551,4.79,9,49,483,9.86,2,6,0,11,0.0,0.0,271.0,320.2,329.2,295.7,126.0,4.0,4.0
Gerald Riggs,ATL,RB,25.0,16,16,0,0,0,0,0,397,1719,4.33,10,33,267,8.09,0,0,0,10,0.0,0.0,259.0,291.6,297.6,275.1,113.0,5.0,5.0
Louis Lipps,PIT,WR,23.0,16,16,0,0,0,0,0,2,16,8.0,1,59,1134,19.22,12,5,0,15,0.0,0.0,200.0,259.0,264.5,229.5,92.0,1.0,6.0
Tony Dorsett,DAL,RB,31.0,16,16,0,0,0,0,0,305,1307,4.29,7,46,449,9.76,3,7,0,10,0.0,0.0,229.0,274.6,284.1,251.6,83.0,6.0,7.0
Mike Quick,PHI,WR,26.0,16,15,0,0,0,0,0,0,0,0.0,0,73,1247,17.08,11,1,0,11,0.0,0.0,190.0,262.7,266.2,226.2,82.0,2.0,8.0
Joe Montana,SFO,QB,29.0,15,15,303,494,3653,27,13,42,153,3.64,3,0,0,0.0,0,5,0,3,0.0,0.0,256.0,256.4,277.9,269.4,80.0,1.0,9.0
James Brooks,CIN,RB,27.0,16,16,1,1,8,1,0,192,929,4.84,7,55,576,10.47,5,7,0,12,0.0,0.0,220.0,274.8,284.3,247.3,74.0,7.0,10.0
Wes Chandler,SDG,WR,29.0,15,13,0,0,0,0,0,1,9,9.0,0,67,1199,17.9,10,1,0,10,0.0,0.0,180.0,246.8,250.3,213.3,72.0,3.0,11.0
James Wilder,TAM,FB,27.0,16,16,0,0,0,0,0,365,1300,3.56,10,53,341,6.43,0,9,0,10,0.0,0.0,215.0,268.1,278.6,241.6,70.0,8.0,12.0
Drew Hill,HOU,WR,29.0,16,16,0,0,0,0,0,0,0,0.0,0,64,1169,18.27,9,0,0,9,0.0,0.0,171.0,234.9,237.9,202.9,63.0,4.0,13.0
Stump Mitchell,STL,RB,26.0,16,8,1,2,31,0,0,183,1006,5.5,7,47,502,10.68,3,6,0,10,0.0,0.0,206.0,253.0,262.0,229.5,60.0,9.0,14.0
Steve Largent,SEA,WR,31.0,16,16,0,1,0,0,0,0,0,0.0,0,79,1287,16.29,6,0,0,6,0.0,0.0,166.0,244.7,247.7,205.2,58.0,5.0,15.0
Todd Christensen,RAI,TE,29.0,16,16,0,0,0,0,0,0,0,0.0,0,82,987,12.04,6,0,0,6,0.0,0.0,135.0,216.7,219.7,175.7,58.0,1.0,16.0
Dan Marino,MIA,QB,24.0,16,16,336,567,4137,30,21,26,-24,-0.92,0,0,0,0.0,0,9,0,0,0.0,0.0,232.0,232.1,260.6,253.1,56.0,2.0,17.0
Earnest Byner,CLE,RB,23.0,16,13,0,0,0,0,0,244,1002,4.11,8,45,460,10.22,2,5,0,10,0.0,0.0,201.0,246.2,254.7,223.7,56.0,11.0,18.0
Craig James,NWE,FB,24.0,16,14,2,2,16,2,0,263,1227,4.67,5,27,360,13.33,2,8,0,7,0.0,0.0,201.0,228.3,238.3,214.8,56.0,10.0,19.0
Ken OBrien,NYJ,QB,25.0,16,16,297,488,3888,25,8,25,58,2.32,0,0,0,0.0,0,14,0,0,0.0,0.0,231.0,231.3,249.3,239.3,55.0,3.0,20.0
Eric Dickerson,RAM,RB,25.0,14,14,0,0,0,0,0,292,1234,4.23,12,20,126,6.3,0,10,0,12,0.0,0.0,198.0,218.0,229.0,208.0,52.0,12.0,21.0
Mickey Shuler,NYJ,TE,29.0,16,13,0,0,0,0,0,0,0,0.0,0,76,879,11.57,7,1,0,7,0.0,0.0,129.0,204.9,208.4,166.9,52.0,2.0,22.0
Freeman McNeil,NYJ,RB,26.0,14,13,0,0,0,0,0,294,1331,4.53,3,38,427,11.24,2,9,0,5,0.0,0.0,197.0,234.8,245.3,215.8,51.0,13.0,23.0
Kevin Mack,CLE,FB,23.0,16,15,0,0,0,0,0,222,1104,4.97,7,29,297,10.24,3,4,0,10,0.0,0.0,196.0,225.1,233.1,210.6,51.0,14.0,24.0
Boomer Esiason,CIN,QB,24.0,15,14,251,431,3443,27,12,33,79,2.39,1,0,0,0.0,0,9,0,1,0.0,0.0,227.0,226.6,246.1,238.6,50.0,4.0,25.0
Lionel James,SDG,RB,23.0,16,7,0,0,0,0,0,105,516,4.91,2,86,1027,11.94,6,9,0,8,0.0,0.0,193.0,279.3,289.8,236.3,48.0,15.0,26.0
Stephone Paige,KAN,WR,24.0,16,8,0,0,0,0,0,1,15,15.0,0,43,943,21.93,10,0,0,10,0.0,0.0,156.0,198.8,201.8,177.3,48.0,6.0,27.0
Greg Bell,BUF,RB,23.0,16,15,0,1,0,0,0,223,883,3.96,8,58,576,9.93,1,8,0,9,0.0,0.0,192.0,249.9,259.9,220.9,46.0,16.0,28.0
Eddie Brown,CIN,WR,23.0,16,16,0,0,0,0,0,14,129,9.21,0,53,942,17.77,8,2,0,8,0.0,0.0,153.0,206.1,213.1,179.6,45.0,7.0,29.0
Tony Hill,DAL,WR,29.0,15,14,1,1,42,0,0,1,-6,-6.0,0,74,1113,15.04,7,2,0,7,0.0,0.0,152.0,226.4,230.4,189.4,44.0,8.0,30.0
Dave Krieg,SEA,QB,27.0,16,16,285,532,3602,27,20,35,121,3.46,1,0,0,0.0,0,11,0,1,0.0,0.0,219.0,219.2,250.7,239.2,43.0,5.0,31.0
Curt Warner,SEA,RB,24.0,16,16,0,0,0,0,0,291,1094,3.76,8,47,307,6.53,1,8,0,9,0.0,0.0,186.0,233.1,243.1,209.6,41.0,17.0,32.0
John Elway,DEN,QB,25.0,16,16,327,605,3891,22,23,51,253,4.96,0,0,0,0.0,0,7,0,0,0.0,0.0,216.0,215.9,248.4,238.9,39.0,6.0,33.0
Daryl Turner,SEA,WR,24.0,16,12,0,0,0,0,0,0,0,0.0,0,34,670,19.71,13,0,0,13,0.0,0.0,145.0,179.0,182.0,162.0,37.0,9.0,34.0
Doug Cosbie,DAL,TE,29.0,16,16,0,0,0,0,0,0,0,0.0,0,64,793,12.39,6,2,0,6,0.0,0.0,113.0,177.3,181.3,145.3,36.0,3.0,35.0
Jimmie Giles,TAM,TE,31.0,16,16,0,0,0,0,0,0,0,0.0,0,43,673,15.65,8,3,0,8,0.0,0.0,112.0,155.3,159.8,133.8,35.0,4.0,36.0
Mike Renfro,DAL,WR,30.0,16,16,0,0,0,0,0,0,0,0.0,0,60,955,15.92,8,3,0,8,0.0,0.0,141.0,200.5,205.0,170.5,32.0,10.0,37.0
Cris Collinsworth,CIN,WR,26.0,16,16,0,1,0,0,1,1,3,3.0,0,65,1125,17.31,5,1,0,5,0.0,0.0,140.0,204.8,209.3,173.3,32.0,11.0,38.0
Art Monk,WAS,WR,28.0,15,14,0,0,0,0,0,7,51,7.29,0,91,1226,13.47,2,2,0,2,0.0,0.0,138.0,228.7,232.7,183.2,30.0,13.0,39.0
James Lofton,GNB,WR,29.0,16,16,0,0,0,0,0,4,14,3.5,0,69,1153,16.71,4,3,0,4,0.0,0.0,138.0,206.7,211.2,172.2,30.0,12.0,40.0
John Spagnola,PHI,TE,28.0,16,16,0,0,0,0,0,0,0,0.0,0,64,772,12.06,5,1,0,5,0.0,0.0,106.0,170.2,173.7,138.2,29.0,5.0,41.0
Charlie Joiner,SDG,WR,38.0,16,14,0,0,0,0,0,0,0,0.0,0,59,932,15.8,7,1,0,7,0.0,0.0,134.0,193.2,196.7,163.7,26.0,14.0,42.0
Dan Fouts,SDG,QB,34.0,14,12,254,430,3638,27,20,11,-1,-0.09,0,0,0,0.0,0,13,0,0,0.0,0.0,200.0,200.4,229.9,220.4,24.0,7.0,43.0
Paul Coffman,GNB,TE,29.0,16,16,0,0,0,0,0,0,0,0.0,0,49,666,13.59,6,1,0,6,0.0,0.0,102.0,150.6,154.1,126.1,24.0,6.0,44.0
Ozzie Newsome,CLE,TE,29.0,16,16,0,0,0,0,0,0,0,0.0,0,62,711,11.47,5,0,0,5,0.0,0.0,101.0,163.1,166.1,132.1,24.0,7.0,45.0
James Jones,DET,FB,24.0,14,13,0,1,0,0,0,244,886,3.63,6,45,334,7.42,3,7,0,9,0.0,0.0,169.0,214.0,223.5,191.5,23.0,18.0,46.0
Phil Simms,NYG,QB,30.0,16,16,275,495,3829,22,20,37,132,3.57,0,0,0,0.0,0,16,0,0,0.0,0.0,198.0,198.4,232.4,218.4,22.0,8.0,47.0
Dwight Clark,SFO,WR,28.0,16,14,0,0,0,0,0,0,0,0.0,0,54,705,13.06,10,0,0,10,0.0,0.0,131.0,184.5,187.5,157.5,22.0,15.0,48.0
Anthony Carter,MIN,WR,25.0,16,15,0,0,0,0,0,0,0,0.0,0,43,821,19.09,8,1,0,8,0.0,0.0,129.0,172.1,175.6,150.6,21.0,16.0,49.0
Irving Fryar,NWE,WR,23.0,16,14,0,0,0,0,0,7,27,3.86,1,39,670,17.18,7,4,0,10,0.0,0.0,126.0,164.7,169.7,145.2,18.0,17.0,50.0
John Stallworth,PIT,WR,33.0,16,16,0,0,0,0,0,0,0,0.0,0,75,937,12.49,5,0,0,5,0.0,0.0,124.0,198.7,201.7,161.2,16.0,18.0,51.0
Tony Nathan,MIA,RB,29.0,16,15,0,0,0,0,0,143,667,4.66,5,72,651,9.04,1,7,0,6,0.0,0.0,161.0,232.8,242.3,196.8,15.0,19.0,52.0
Gary Clark,WAS,WR,23.0,16,10,0,0,0,0,0,2,10,5.0,0,72,926,12.86,5,0,0,5,0.0,0.0,124.0,195.6,198.6,159.6,15.0,19.0,53.0
Dokie Williams,RAI,WR,25.0,16,16,0,0,0,0,0,0,0,0.0,0,48,925,19.27,5,0,0,5,0.0,0.0,123.0,170.5,173.5,146.5,14.0,21.0,54.0
Mark Clayton,MIA,WR,24.0,16,16,0,0,0,0,0,1,10,10.0,0,70,996,14.23,4,2,0,4,0.0,0.0,123.0,192.6,196.6,157.6,14.0,20.0,55.0
Steve Watson,DEN,WR,28.0,16,15,0,0,0,0,0,0,0,0.0,0,61,915,15.0,5,0,0,5,0.0,0.0,122.0,182.5,185.5,152.0,13.0,22.0,56.0
Rodney Holman,CIN,TE,25.0,16,16,0,0,0,0,0,0,0,0.0,0,38,479,12.61,7,1,0,7,0.0,0.0,89.0,126.9,130.4,107.9,12.0,8.0,57.0
Danny White,DAL,QB,33.0,14,14,267,450,3157,21,17,22,44,2.0,1,1,12,12.0,1,6,0,2,0.0,0.0,188.0,188.9,211.9,205.4,11.0,9.0,58.0
Jerry Rice,SFO,WR,23.0,16,4,0,0,0,0,0,6,26,4.33,1,49,927,18.92,3,1,0,4,0.0,0.0,118.0,167.3,170.8,142.8,10.0,23.0,59.0
Walter Abercrombie,PIT,RB,26.0,16,16,0,0,0,0,0,227,851,3.75,7,24,209,8.71,2,5,0,9,0.0,0.0,155.0,179.0,187.5,167.0,9.0,20.0,60.0
Lionel Manuel,NYG,WR,23.0,12,12,0,0,0,0,0,0,0,0.0,0,49,859,17.53,5,1,0,5,0.0,0.0,115.0,163.9,167.4,139.4,7.0,24.0,61.0
Henry Ellard,RAM,WR,24.0,16,16,0,0,0,0,0,3,8,2.67,0,54,811,15.02,5,5,0,6,0.0,0.0,113.0,166.9,172.4,139.9,5.0,26.0,62.0
Nat Moore,MIA,WR,34.0,15,7,0,0,0,0,0,1,11,11.0,0,51,701,13.75,7,0,0,7,0.0,0.0,113.0,164.2,167.2,138.7,5.0,25.0,63.0
Hoby Brenner,NOR,TE,26.0,16,16,0,0,0,0,0,0,0,0.0,0,42,652,15.52,3,1,0,3,0.0,0.0,82.0,124.2,127.7,103.2,5.0,9.0,64.0
Jim McMahon,CHI,QB,26.0,13,11,178,313,2392,15,11,47,252,5.36,3,1,13,13.0,1,4,0,4,0.0,0.0,180.0,181.2,200.2,191.7,4.0,10.0,65.0
Neil Lomax,STL,QB,26.0,16,16,265,471,3214,18,12,32,125,3.91,0,0,0,0.0,0,10,0,0,0.0,0.0,179.0,179.1,202.1,191.1,3.0,11.0,66.0
Earnest Jackson,PHI,RB,26.0,16,11,0,0,0,0,0,282,1028,3.65,5,10,126,12.6,1,3,0,6,0.0,0.0,148.0,158.4,165.9,153.4,3.0,21.0,67.0
Darrin Nelson,MIN,RB,26.0,16,10,0,0,0,0,0,200,893,4.47,5,43,301,7.0,1,7,0,6,0.0,0.0,148.0,191.4,200.9,169.9,3.0,22.0,68.0
Carlos Carson,KAN,WR,27.0,15,14,0,0,0,0,0,3,25,8.33,0,47,843,17.94,4,0,0,4,0.0,0.0,111.0,157.8,160.8,134.3,3.0,27.0,69.0
Eric Sievers,SDG,TE,28.0,16,11,0,0,0,0,0,0,0,0.0,0,41,438,10.68,6,0,0,6,0.0,0.0,80.0,120.8,123.8,100.3,3.0,10.0,70.0
Kevin House,TAM,WR,28.0,16,16,0,0,0,0,0,0,0,0.0,0,44,803,18.25,5,0,0,5,0.0,0.0,110.0,154.3,157.3,132.3,2.0,28.0,71.0
Larry Kinnebrew,CIN,FB,26.0,12,11,0,0,0,0,0,170,714,4.2,9,22,187,8.5,1,4,0,10,0.0,0.0,146.0,168.1,176.1,157.1,1.0,23.0,72.0
Ron Jaworski,PHI,QB,34.0,16,12,255,484,3450,17,20,17,35,2.06,2,0,0,0.0,0,5,0,2,0.0,0.0,177.0,176.5,202.0,196.5,0.0,12.0,73.0
Tommy Kramer,MIN,QB,30.0,15,15,277,506,3522,19,26,27,54,2.0,0,0,0,0.0,0,9,0,0,0.0,0.0,161.0,161.3,194.8,187.3,0.0,13.0,74.0
Eric Hipple,DET,QB,28.0,16,15,223,406,2952,17,18,32,89,2.78,2,0,0,0.0,0,13,0,2,0.0,0.0,158.0,158.0,185.5,176.0,0.0,14.0,75.0
Bill Kenney,KAN,QB,30.0,16,10,181,338,2536,17,9,14,1,0.07,1,0,0,0.0,0,6,0,1,0.0,0.0,152.0,151.5,166.5,160.5,0.0,15.0,76.0
Butch Woolfolk,HOU,RB,25.0,16,14,0,0,0,0,0,103,392,3.81,1,80,814,10.18,4,5,0,5,0.0,0.0,146.0,225.6,234.1,185.6,0.0,24.0,77.0
Tony Collins,NWE,RB,26.0,16,16,0,0,0,0,0,163,657,4.03,3,52,549,10.56,2,6,0,5,0.0,0.0,145.0,196.6,205.6,170.6,0.0,26.0,78.0
Mike Pagel,IND,QB,25.0,16,14,199,393,2414,14,15,25,160,6.4,2,1,6,6.0,0,6,0,2,0.0,0.0,145.0,146.2,170.2,160.7,0.0,16.0,0.0
George Rogers,WAS,RB,27.0,15,5,0,0,0,0,0,231,1093,4.73,7,4,29,7.25,0,9,0,7,0.0,0.0,145.0,149.2,156.7,147.2,0.0,25.0,0.0
Wendell Tyler,SFO,RB,30.0,13,12,0,0,0,0,0,171,867,5.07,6,20,154,7.7,2,6,0,8,0.0,0.0,144.0,164.1,173.1,154.1,0.0,27.0,0.0
Dieter Brock,RAM,QB,34.0,15,15,218,365,2658,16,13,20,38,1.9,0,0,0,0.0,0,6,0,0,0.0,0.0,142.0,142.1,161.1,155.1,0.0,17.0,0.0
Frank Pollard,PIT,FB,28.0,16,16,0,0,0,0,0,233,991,4.25,3,24,250,10.42,0,2,0,3,0.0,0.0,140.0,164.1,171.1,152.1,0.0,28.0,0.0
Marc Wilson,RAI,QB,28.0,16,13,193,388,2608,16,21,24,98,4.08,2,0,0,0.0,0,8,0,2,0.0,0.0,140.0,140.1,168.1,161.1,0.0,18.0,0.0
Steve DeBerg,TAM,QB,31.0,11,11,197,370,2488,19,18,9,28,3.11,0,0,0,0.0,0,3,0,0,0.0,0.0,139.0,139.3,161.8,157.3,0.0,19.0,0.0
Randy McMillan,IND,FB,27.0,15,14,0,0,0,0,0,190,858,4.52,7,22,115,5.23,0,0,0,7,0.0,0.0,139.0,161.3,167.3,150.3,0.0,29.0,0.0
Sammy Winder,DEN,RB,26.0,14,12,0,1,0,0,0,199,714,3.59,8,31,197,6.35,0,4,0,8,0.0,0.0,135.0,166.1,174.1,150.6,0.0,30.0,0.0
Warren Moon,HOU,QB,29.0,14,14,200,377,2709,15,19,39,130,3.33,0,0,0,0.0,0,12,0,0,0.0,0.0,131.0,131.4,162.4,150.4,0.0,20.0,0.0
George Wonsley,IND,RB,25.0,16,9,0,0,0,0,0,138,716,5.19,6,30,257,8.57,0,4,0,6,0.0,0.0,129.0,159.3,167.3,144.3,0.0,31.0,0.0
Jessie Clark,GNB,FB,25.0,16,14,0,0,0,0,0,147,633,4.31,5,24,252,10.5,2,4,0,7,0.0,0.0,127.0,150.5,158.5,138.5,0.0,32.0,0.0
Gary Anderson,SDG,RB,24.0,12,6,0,0,0,0,0,116,429,3.7,4,35,422,12.06,2,5,0,7,0.0,0.0,122.0,157.1,165.6,139.6,0.0,33.0,0.0
Ted Brown,MIN,FB,28.0,14,9,0,0,0,0,0,93,336,3.61,7,30,291,9.7,3,1,0,10,0.0,0.0,122.0,151.7,158.2,136.7,0.0,34.0,0.0
Ron Davenport,MIA,RB,23.0,16,1,0,0,0,0,0,98,370,3.78,11,13,74,5.69,2,2,0,13,0.0,0.0,120.0,133.4,137.4,126.9,0.0,35.0,0.0
Tim Spencer,SDG,FB,25.0,16,15,0,0,0,0,0,124,478,3.85,10,11,135,12.27,0,1,0,10,0.0,0.0,120.0,131.3,137.8,125.8,0.0,36.0,0.0
Herman Heard,KAN,RB,24.0,16,12,0,0,0,0,0,164,595,3.63,4,31,257,8.29,2,4,0,6,0.0,0.0,117.0,148.2,156.2,132.7,0.0,37.0,0.0
John Riggins,WAS,FB,36.0,12,11,0,1,0,0,0,176,677,3.85,8,6,18,3.0,0,3,0,8,0.0,0.0,115.0,120.5,125.0,117.5,0.0,38.0,0.0
Eddie Lee Ivery,GNB,RB,28.0,15,10,0,1,0,0,0,132,636,4.82,2,28,270,9.64,2,1,0,4,0.0,0.0,114.0,141.6,148.1,127.6,0.0,39.0,0.0
David Archer,ATL,QB,23.0,16,11,161,312,1992,7,17,70,347,4.96,2,0,0,0.0,0,9,0,2,0.0,0.0,111.0,111.4,138.9,128.4,0.0,21.0,0.0
Lynn Dickey,GNB,QB,36.0,12,10,172,314,2206,15,17,18,-12,-0.67,1,0,0,0.0,0,8,0,1,0.0,0.0,111.0,111.0,135.0,128.0,0.0,22.0,0.0
Pat Tilley,STL,WR,32.0,16,16,0,0,0,0,0,0,0,0.0,0,49,726,14.82,6,0,0,6,0.0,0.0,109.0,157.6,160.6,133.1,0.0,29.0,0.0
Johnny Hector,NYJ,RB,25.0,14,5,0,0,0,0,0,145,572,3.94,6,17,164,9.65,0,2,0,6,0.0,0.0,108.0,124.6,131.6,116.1,0.0,40.0,0.0
Billy Johnson,ATL,WR,33.0,16,8,0,0,0,0,0,8,-8,-1.0,0,62,830,13.39,5,4,0,5,0.0,0.0,108.0,170.2,175.2,139.2,0.0,30.0,0.0
George Adams,NYG,RB,23.0,16,0,0,1,0,0,0,128,498,3.89,2,31,389,12.55,2,7,0,4,0.0,0.0,106.0,136.7,146.2,121.2,0.0,41.0,0.0
