Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Marshall Faulk*+,STL,RB,28,14,14,0,1,0,0,0,260,1382,5.32,12,104,83,765,9.22,9,3,3,21,1,,337,419.7,428.7,378.2,204,1,1
Priest Holmes*+,KAN,RB,28,16,16,0,0,0,0,0,327,1555,4.76,8,75,62,614,9.90,2,4,3,10,,,271,332.9,341.9,301.9,139,2,2
Ahman Green*,GNB,RB,24,16,16,0,0,0,0,0,304,1387,4.56,9,82,62,594,9.58,2,5,4,11,,,256,318.1,328.1,287.1,124,3,3
Shaun Alexander,SEA,RB,24,16,12,0,0,0,0,0,309,1318,4.27,14,59,44,343,7.80,2,4,4,16,,,254,298.1,308.1,276.1,122,4,4
Marvin Harrison*,IND,WR,29,16,16,0,0,0,0,0,1,3,3.00,0,164,109,1524,13.98,15,0,,15,,,243,351.7,354.7,297.2,114,1,5
Curtis Martin*,NYJ,RB,28,16,16,1,1,18,1,0,333,1513,4.54,10,63,53,320,6.04,0,2,2,10,,,244,297.0,305.0,270.5,112,5,6
Terrell Owens*+,SFO,WR,28,16,16,0,0,0,0,0,4,21,5.25,0,155,93,1412,15.18,16,0,,16,,,239,332.3,335.3,285.8,110,2,7
Jeff Garcia*,SFO,QB,31,16,16,316,504,3538,32,12,72,254,3.53,5,0,0,0,,0,9,3,5,,2,299,298.9,319.9,310.9,97,1,8
Corey Dillon*,CIN,RB,27,16,16,0,1,0,0,1,340,1315,3.87,10,61,34,228,6.71,3,5,3,13,,,224,258.3,268.3,242.3,92,6,9
Kurt Warner*+,STL,QB,30,16,16,375,546,4830,36,22,28,60,2.14,0,0,0,0,,0,10,4,0,,1,293,293.2,322.2,315.2,91,2,10
David Boston*+,ARI,WR,23,16,15,0,0,0,0,0,5,35,7.00,0,175,98,1598,16.31,8,1,1,8,,,209,307.3,311.3,258.3,80,3,11
LaDainian Tomlinson,SDG,RB,22,16,16,0,0,0,0,0,339,1236,3.65,10,74,59,367,6.22,0,8,5,10,,,210,269.3,280.3,239.8,78,7,12
