player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Bruce Coslet,CIN,TE,29.0,14,3,0,0,0,0,0,1,1,1.0,0,10,117,11.7,0,0,0,0,0.0,0.0,12.0,21.8,24.8,16.8,0.0,37.0,0.0
Bobby Douglass,2TM,QB,28.0,4,1,15,47,140,0,3,15,76,5.07,1,0,0,0.0,0,1,0,1,0.0,0.0,12.0,12.2,15.7,15.2,0.0,50.0,0.0
George Farmer,2TM,WR,27.0,8,3,0,0,0,0,0,0,0,0.0,0,8,118,14.75,0,0,0,0,0.0,0.0,12.0,19.8,22.8,15.8,0.0,68.0,0.0
Bob Hayes,SFO,WR,33.0,4,3,0,0,0,0,0,2,-2,-1.0,0,6,119,19.83,0,0,0,0,0.0,0.0,12.0,17.7,20.7,14.7,0.0,69.0,0.0
Don Milan,GNB,QB,26.0,7,1,15,32,181,1,1,4,41,10.25,0,0,0,0.0,0,1,0,0,0.0,0.0,12.0,12.3,13.8,13.3,0.0,49.0,0.0
Jim Obradovich,NYG,TE,22.0,14,1,0,0,0,0,0,0,0,0.0,0,7,65,9.29,1,1,0,1,0.0,0.0,12.0,18.5,19.0,15.0,0.0,38.0,0.0
Tom Owen,SFO,QB,23.0,4,1,24,51,318,1,2,1,1,1.0,0,0,0,0.0,0,1,0,0,0.0,0.0,12.0,11.8,17.3,13.8,0.0,51.0,0.0
Larry Poole,CLE,RB,23.0,3,0,0,0,0,0,0,17,114,6.71,0,1,5,5.0,0,0,0,0,0.0,0.0,12.0,12.9,15.9,12.4,0.0,114.0,0.0
Willie Rodgers,HOU,RB,26.0,14,0,0,0,0,0,0,18,55,3.06,1,0,0,0.0,0,0,0,1,0.0,0.0,12.0,11.5,11.5,11.5,0.0,115.0,0.0
Dennis Franklin,DET,WR,22.0,4,2,0,0,0,0,0,0,0,0.0,0,5,109,21.8,0,0,0,0,0.0,0.0,11.0,15.9,18.9,13.4,0.0,70.0,0.0
