player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Eric Dickerson,RAM,RB,23.0,16,16,0,0,0,0,0,390,1808,4.64,18,51,404,7.92,2,13,0,20,0.0,0.0,328.0,379.2,391.7,353.7,185.0,1.0,1.0
William Andrews,ATL,FB,28.0,16,16,0,1,0,0,0,331,1567,4.73,7,59,609,10.32,4,6,0,11,0.0,0.0,278.0,336.6,345.6,307.1,134.0,2.0,2.0
John Riggins,WAS,FB,34.0,15,15,0,1,0,0,0,375,1347,3.59,24,5,29,5.8,0,5,0,24,0.0,0.0,277.0,281.6,287.1,279.1,133.0,3.0,3.0
Todd Christensen,RAI,TE,27.0,16,16,0,0,0,0,0,0,0,0.0,0,92,1247,13.55,12,1,0,12,0.0,0.0,196.0,287.7,291.2,241.7,129.0,1.0,4.0
Mike Quick,PHI,WR,24.0,16,16,0,0,0,0,0,0,0,0.0,0,69,1409,20.42,13,1,0,13,0.0,0.0,218.0,286.9,290.4,252.4,128.0,1.0,5.0
Roy Green,STL,WR,26.0,16,15,0,0,0,0,0,4,49,12.25,0,78,1227,15.73,14,3,0,14,0.0,0.0,209.0,286.6,291.1,247.6,119.0,2.0,6.0
Walter Payton,CHI,RB,30.0,16,16,3,6,95,3,2,314,1421,4.53,6,53,607,11.45,2,5,0,8,0.0,0.0,258.0,310.6,321.1,286.1,114.0,4.0,7.0
Curt Warner,SEA,RB,22.0,16,16,0,0,0,0,0,335,1449,4.33,13,42,325,7.74,1,6,0,14,0.0,0.0,255.0,297.4,306.4,276.4,112.0,5.0,8.0
Joe Montana,SFO,QB,27.0,16,16,332,515,3910,26,12,61,284,4.66,2,0,0,0.0,0,3,0,2,0.0,0.0,274.0,273.8,293.3,285.8,104.0,1.0,9.0
Joe Theismann,WAS,QB,34.0,16,16,276,459,3714,29,11,37,234,6.32,1,0,0,0.0,0,1,0,1,0.0,0.0,271.0,271.0,288.5,282.0,101.0,2.0,10.0
Kellen Winslow,SDG,TE,26.0,16,16,0,0,0,0,0,0,0,0.0,0,88,1172,13.32,8,3,0,8,0.0,0.0,162.0,250.2,254.7,206.2,96.0,2.0,11.0
Carlos Carson,KAN,WR,25.0,16,16,1,1,48,1,0,2,20,10.0,0,80,1351,16.89,7,2,0,7,0.0,0.0,183.0,263.0,267.0,223.0,94.0,3.0,12.0
Marcus Allen,RAI,RB,23.0,16,15,4,7,111,3,0,266,1014,3.81,9,68,590,8.68,2,14,0,12,0.0,0.0,235.0,302.8,315.8,268.8,92.0,6.0,13.0
James Lofton,GNB,WR,27.0,16,16,0,0,0,0,0,9,36,4.0,0,58,1300,22.41,8,0,0,8,0.0,0.0,182.0,239.6,242.6,210.6,92.0,4.0,14.0
Lynn Dickey,GNB,QB,34.0,16,16,289,484,4458,32,29,21,12,0.57,3,0,0,0.0,0,9,0,3,0.0,0.0,259.0,258.5,295.0,287.5,89.0,3.0,15.0
Charlie Brown,WAS,WR,25.0,15,13,0,0,0,0,0,4,53,13.25,0,78,1225,15.71,8,0,0,8,0.0,0.0,176.0,253.8,256.8,214.8,86.0,5.0,16.0
Danny White,DAL,QB,31.0,16,16,334,533,3980,29,23,18,31,1.72,4,1,15,15.0,1,10,0,5,0.0,0.0,254.0,254.8,285.8,277.3,84.0,4.0,17.0
Bill Kenney,KAN,QB,28.0,16,16,346,603,4348,24,18,23,59,2.57,3,1,0,0.0,0,7,0,3,0.0,0.0,251.0,251.8,276.3,269.3,81.0,5.0,18.0
Steve Largent,SEA,WR,29.0,15,14,1,1,11,0,0,0,0,0.0,0,72,1074,14.92,11,3,0,11,0.0,0.0,171.0,242.8,247.3,206.8,81.0,6.0,19.0
Paul Coffman,GNB,TE,27.0,16,16,0,0,0,0,0,0,0,0.0,0,54,814,15.07,11,1,0,11,0.0,0.0,146.0,200.4,203.9,173.4,80.0,3.0,20.0
Earl Campbell,HOU,RB,28.0,14,14,0,0,0,0,0,322,1301,4.04,12,19,216,11.37,0,4,0,12,0.0,0.0,220.0,238.7,246.7,229.2,76.0,7.0,21.0
Joe Cribbs,BUF,RB,25.0,16,16,1,2,3,0,0,263,1131,4.3,3,57,524,9.19,7,6,0,10,0.0,0.0,220.0,276.6,285.6,248.1,76.0,8.0,22.0
Mark Duper,MIA,WR,24.0,16,11,0,0,0,0,0,0,0,0.0,0,51,1003,19.67,10,0,0,10,0.0,0.0,160.0,211.3,214.3,185.8,71.0,7.0,23.0
Tony Dorsett,DAL,RB,29.0,16,16,0,1,0,0,0,289,1321,4.57,8,40,287,7.18,1,5,0,9,0.0,0.0,210.0,249.8,258.3,229.8,67.0,9.0,24.0
Ozzie Newsome,CLE,TE,27.0,16,16,0,0,0,0,0,0,0,0.0,0,89,970,10.9,6,0,0,6,0.0,0.0,133.0,222.0,225.0,177.5,67.0,4.0,25.0
Tim Smith,HOU,WR,26.0,16,16,0,0,0,0,0,2,16,8.0,0,83,1176,14.17,6,1,0,6,0.0,0.0,154.0,237.2,240.7,195.7,65.0,8.0,26.0
Mike Pruitt,CLE,FB,29.0,15,14,0,0,0,0,0,293,1184,4.04,10,30,157,5.23,2,4,0,12,0.0,0.0,202.0,232.1,240.1,217.1,59.0,10.0,27.0
Ottis Anderson,STL,RB,26.0,15,15,0,0,0,0,0,296,1270,4.29,5,54,459,8.5,1,10,0,6,0.0,0.0,199.0,252.9,263.9,225.9,56.0,11.0,28.0
Chuck Muncie,SDG,RB,30.0,15,12,0,0,0,0,0,235,886,3.77,12,42,396,9.43,1,8,0,13,0.0,0.0,198.0,240.2,250.2,219.2,55.0,12.0,29.0
Steve Watson,DEN,WR,26.0,16,16,0,0,0,0,0,3,17,5.67,0,59,1133,19.2,5,1,0,5,0.0,0.0,144.0,203.0,206.5,173.5,55.0,9.0,30.0
Earnest Gray,NYG,WR,26.0,16,16,0,0,0,0,0,0,0,0.0,0,78,1139,14.6,5,0,0,5,0.0,0.0,144.0,221.9,224.9,182.9,54.0,10.0,31.0
Cris Collinsworth,CIN,WR,24.0,14,14,0,0,0,0,0,2,2,1.0,0,66,1130,17.12,5,2,0,5,0.0,0.0,141.0,207.2,211.2,174.2,52.0,11.0,32.0
Curtis Dickey,BAL,RB,27.0,16,16,0,0,0,0,0,254,1122,4.42,4,24,483,20.13,3,9,0,7,0.0,0.0,194.0,217.5,228.0,205.5,50.0,13.0,33.0
Dwight Clark,SFO,WR,26.0,16,13,0,1,0,0,0,3,18,6.0,0,70,840,12.0,8,0,0,8,0.0,0.0,134.0,203.8,206.8,168.8,44.0,12.0,34.0
Willie Gault,CHI,WR,23.0,16,13,0,0,0,0,0,4,31,7.75,0,40,836,20.9,8,1,0,8,0.0,0.0,134.0,173.7,177.2,153.7,44.0,13.0,35.0
Billy Sims,DET,RB,28.0,13,12,0,0,0,0,0,220,1040,4.73,7,42,419,9.98,0,6,0,7,0.0,0.0,182.0,223.9,232.9,202.9,39.0,14.0,36.0
Wesley Walker,NYJ,WR,28.0,16,16,0,0,0,0,0,0,0,0.0,0,61,868,14.23,7,0,0,7,0.0,0.0,129.0,189.8,192.8,159.3,39.0,14.0,37.0
Steve Bartkowski,ATL,QB,31.0,14,14,274,432,3167,22,5,16,38,2.38,1,0,0,0.0,0,7,0,1,0.0,0.0,207.0,207.5,219.0,212.5,38.0,6.0,38.0
Roger Craig,SFO,FB,23.0,16,13,0,0,0,0,0,176,725,4.12,8,48,427,8.9,4,6,0,12,0.0,0.0,181.0,229.2,238.2,205.2,38.0,15.0,39.0
Tony Collins,NWE,RB,24.0,16,16,0,0,0,0,0,219,1049,4.79,10,27,257,9.52,0,10,0,10,0.0,0.0,181.0,207.6,218.6,194.1,37.0,16.0,40.0
John Jefferson,GNB,WR,27.0,16,16,0,0,0,0,0,0,0,0.0,0,57,830,14.56,7,1,0,7,0.0,0.0,124.0,181.0,184.5,152.5,35.0,15.0,41.0
Stacey Bailey,ATL,WR,23.0,14,12,0,0,0,0,0,2,-5,-2.5,0,55,881,16.02,6,1,0,6,0.0,0.0,123.0,177.6,181.1,150.1,33.0,16.0,42.0
Tony Hill,DAL,WR,27.0,12,9,0,0,0,0,0,1,2,2.0,0,49,801,16.35,7,1,0,7,0.0,0.0,121.0,170.3,173.8,145.8,32.0,17.0,43.0
Brian Sipe,CLE,QB,34.0,15,14,291,496,3566,26,23,26,56,2.15,0,0,0,0.0,0,6,0,0,0.0,0.0,200.0,200.2,229.2,223.2,31.0,7.0,44.0
Doug Cosbie,DAL,TE,27.0,16,16,0,0,0,0,0,0,0,0.0,0,46,588,12.78,6,0,0,6,0.0,0.0,95.0,140.8,143.8,117.8,29.0,5.0,45.0
Pete Johnson,CIN,FB,29.0,11,8,0,0,0,0,0,210,763,3.63,14,15,129,8.6,0,2,0,14,0.0,0.0,171.0,186.2,193.2,178.7,28.0,17.0,46.0
Neil Lomax,STL,QB,24.0,13,13,209,354,2636,24,11,27,127,4.7,2,0,0,0.0,0,9,0,2,0.0,0.0,195.0,195.1,216.6,206.1,26.0,8.0,47.0
Henry Marshall,KAN,WR,29.0,13,9,0,0,0,0,0,0,0,0.0,0,50,788,15.76,6,0,0,6,0.0,0.0,115.0,164.8,167.8,139.8,25.0,18.0,48.0
