player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,targets,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Daunte Culpepper,MIN,QB,27.0,16,16,379,548,4717,39,11,88,406,4.61,2,0.0,0,0,0.0,0,9,5,2,1.0,2.0,371.0,371.3,393.3,382.3,153.0,1.0,1.0
Shaun Alexander,SEA,RB,27.0,16,16,0,0,0,0,0,353,1696,4.8,16,38.0,23,170,7.39,4,5,3,20,0.0,0.0,301.0,323.6,332.6,312.1,146.0,1.0,2.0
Peyton Manning,IND,QB,28.0,16,16,336,497,4557,49,10,25,38,1.52,0,0.0,0,0,0.0,0,5,1,0,0.0,0.0,360.0,360.1,374.1,370.1,141.0,2.0,3.0
Tiki Barber,NYG,RB,29.0,16,14,0,0,0,0,0,322,1518,4.71,13,79.0,52,578,11.12,2,5,2,15,0.0,0.0,296.0,347.6,355.6,321.6,141.0,2.0,4.0
LaDainian Tomlinson,SDG,RB,25.0,15,15,1,2,38,0,0,339,1335,3.94,17,66.0,53,441,8.32,1,6,2,18,0.0,0.0,283.0,336.1,344.1,309.6,129.0,3.0,5.0
Curtis Martin,NYJ,RB,31.0,16,16,0,0,0,0,0,371,1697,4.57,12,49.0,41,245,5.98,2,2,0,14,0.0,0.0,278.0,319.2,325.2,298.7,124.0,4.0,6.0
Muhsin Muhammad,CAR,WR,31.0,16,16,0,0,0,0,0,3,15,5.0,0,160.0,93,1405,15.11,16,3,1,16,0.0,0.0,236.0,329.0,333.0,282.5,109.0,1.0,7.0
Antonio Gates,SDG,TE,24.0,15,15,0,0,0,0,0,0,0,0.0,0,114.0,81,964,11.9,13,0,0,13,0.0,0.0,174.0,255.4,258.4,214.9,105.0,1.0,8.0
Domanick Williams,HOU,RB,24.0,15,15,0,0,0,0,0,302,1188,3.93,13,84.0,68,588,8.65,1,4,3,14,0.0,0.0,256.0,323.6,332.6,289.6,101.0,5.0,9.0
Edgerrin James,IND,RB,26.0,16,16,0,0,0,0,0,334,1548,4.63,9,60.0,51,483,9.47,0,6,2,9,1.0,0.0,255.0,306.1,314.1,280.6,101.0,6.0,10.0
Tony Gonzalez,KAN,TE,28.0,16,16,0,0,0,0,0,1,5,5.0,0,148.0,102,1258,12.33,7,0,0,7,0.0,0.0,168.0,270.3,273.3,219.3,99.0,2.0,11.0
Corey Dillon,NWE,RB,30.0,15,14,0,0,0,0,0,345,1635,4.74,12,21.0,15,103,6.87,1,5,4,13,1.0,0.0,246.0,260.8,270.8,253.3,92.0,7.0,12.0
Joe Horn,NOR,WR,32.0,16,16,0,0,0,0,0,0,0,0.0,0,153.0,94,1399,14.88,11,0,0,11,1.0,0.0,208.0,301.9,304.9,254.9,81.0,2.0,13.0
Javon Walker,GNB,WR,26.0,16,12,0,0,0,0,0,0,0,0.0,0,144.0,89,1382,15.53,12,2,2,12,0.0,0.0,206.0,295.2,300.2,250.7,79.0,3.0,14.0
Terrell Owens,PHI,WR,31.0,14,14,0,0,0,0,0,3,-5,-1.67,0,127.0,77,1200,15.58,14,2,1,14,0.0,0.0,202.0,278.5,282.5,240.0,74.0,4.0,15.0
Donovan McNabb,PHI,QB,28.0,15,15,300,469,3875,31,8,41,220,5.37,3,0.0,0,0,0.0,0,8,6,3,0.0,0.0,291.0,291.0,311.0,299.0,72.0,3.0,16.0
Marvin Harrison,IND,WR,32.0,16,16,0,0,0,0,0,0,0,0.0,0,139.0,86,1113,12.94,15,1,1,15,0.0,0.0,199.0,285.3,289.3,242.3,72.0,5.0,17.0
Torry Holt,STL,WR,28.0,16,16,0,0,0,0,0,0,0,0.0,0,135.0,94,1372,14.6,10,3,0,10,0.0,0.0,197.0,291.2,294.2,244.2,70.0,6.0,18.0
Drew Bennett,TEN,WR,26.0,16,16,1,1,26,1,0,1,12,12.0,0,144.0,80,1247,15.59,11,3,0,11,0.0,0.0,197.0,276.9,279.9,236.9,70.0,7.0,19.0
Reggie Wayne,IND,WR,26.0,16,16,0,0,0,0,0,1,-4,-4.0,0,115.0,77,1210,15.71,12,0,0,12,0.0,0.0,193.0,269.6,272.6,231.1,65.0,8.0,20.0
Jason Witten,DAL,TE,22.0,16,15,0,0,0,0,0,0,0,0.0,0,122.0,87,980,11.26,6,2,1,6,1.0,0.0,134.0,221.0,225.0,177.5,65.0,3.0,21.0
Rudi Johnson,CIN,RB,25.0,16,16,0,0,0,0,0,361,1454,4.03,12,28.0,15,84,5.6,0,4,4,12,0.0,0.0,218.0,232.8,239.8,225.3,64.0,8.0,22.0
Chad Johnson,CIN,WR,26.0,16,16,0,0,0,0,0,4,39,9.75,0,170.0,95,1274,13.41,9,1,0,9,0.0,0.0,185.0,280.3,283.3,232.8,58.0,9.0,23.0
Willis McGahee,BUF,RB,23.0,16,11,0,0,0,0,0,284,1128,3.97,13,36.0,22,169,7.68,0,4,2,13,0.0,0.0,204.0,225.7,233.7,214.7,50.0,9.0,24.0
Brian Westbrook,PHI,RB,25.0,13,12,0,0,0,0,0,177,812,4.59,3,87.0,73,703,9.63,6,1,1,9,0.0,0.0,204.0,276.5,283.5,240.0,49.0,10.0,25.0
Donald Driver,GNB,WR,29.0,16,11,0,0,0,0,0,3,4,1.33,0,137.0,84,1208,14.38,9,2,2,9,1.0,0.0,173.0,257.2,262.2,215.2,46.0,10.0,26.0
Alge Crumpler,ATL,TE,27.0,14,14,0,0,0,0,0,0,0,0.0,0,74.0,48,774,16.13,6,1,1,6,0.0,0.0,111.0,159.4,163.4,135.4,42.0,4.0,27.0
Trent Green,KAN,QB,34.0,16,16,369,556,4591,27,17,25,85,3.4,0,0.0,0,0,0.0,0,11,4,0,0.0,1.0,260.0,260.1,284.1,277.1,41.0,4.0,28.0
Clinton Portis,WAS,RB,23.0,15,15,1,2,15,1,0,343,1315,3.83,5,57.0,40,235,5.88,2,5,3,7,0.0,0.0,196.0,235.6,244.6,215.6,41.0,11.0,29.0
Priest Holmes,KAN,RB,31.0,8,8,0,0,0,0,0,196,892,4.55,14,25.0,19,187,9.84,1,4,2,15,0.0,0.0,194.0,212.9,220.9,203.4,40.0,12.0,30.0
Nate Burleson,MIN,WR,23.0,16,15,0,0,0,0,0,6,49,8.17,0,102.0,68,1006,14.79,9,1,0,10,1.0,0.0,168.0,235.5,238.5,201.5,40.0,11.0,31.0
Brandon Stokley,IND,WR,28.0,16,3,0,0,0,0,0,0,0,0.0,0,102.0,68,1077,15.84,10,1,1,10,0.0,0.0,166.0,233.7,237.7,199.7,38.0,12.0,32.0
Jake Plummer,DEN,QB,30.0,16,16,303,521,4089,27,20,62,202,3.26,1,0.0,0,0,0.0,0,6,1,1,0.0,0.0,256.0,255.8,282.8,275.8,37.0,5.0,33.0
Michael Clayton,TAM,WR,22.0,16,13,0,0,0,0,0,5,30,6.0,0,122.0,80,1193,14.91,7,1,0,7,0.0,0.0,164.0,244.3,247.3,204.3,37.0,13.0,34.0
Brett Favre,GNB,QB,35.0,16,16,346,540,4088,30,17,16,36,2.25,0,0.0,0,0,0.0,0,4,1,0,0.0,2.0,255.0,255.1,276.1,272.1,36.0,6.0,35.0
Warrick Dunn,ATL,RB,29.0,16,16,0,0,0,0,0,265,1106,4.17,9,39.0,29,294,10.14,0,3,2,9,0.0,0.0,190.0,219.0,227.0,204.5,36.0,14.0,36.0
Reuben Droughns,DEN,RB,26.0,16,15,0,0,0,0,0,275,1240,4.51,6,44.0,32,241,7.53,2,5,3,8,0.0,0.0,190.0,222.1,231.1,206.1,36.0,13.0,37.0
Randy McMichael,MIA,TE,25.0,16,16,0,0,0,0,0,0,0,0.0,0,118.0,73,791,10.84,4,2,0,4,1.0,0.0,105.0,178.1,181.1,141.6,36.0,5.0,38.0
Darrell Jackson,SEA,WR,26.0,16,16,0,0,0,0,0,0,0,0.0,0,156.0,87,1199,13.78,7,2,1,7,1.0,0.0,162.0,248.9,252.9,205.4,35.0,14.0,39.0
Ahman Green,GNB,RB,27.0,15,15,1,1,20,1,0,259,1163,4.49,7,51.0,40,275,6.88,1,7,4,8,0.0,0.0,189.0,228.6,238.6,208.6,34.0,15.0,40.0
Eddie Kennison,KAN,WR,31.0,14,14,0,0,0,0,0,2,15,7.5,0,106.0,62,1086,17.52,8,1,0,8,1.0,0.0,160.0,222.1,225.1,191.1,33.0,15.0,41.0
Jeremy Shockey,NYG,TE,24.0,15,15,0,0,0,0,0,0,0,0.0,0,97.0,61,666,10.92,6,1,0,6,0.0,0.0,103.0,163.6,166.6,133.1,33.0,6.0,42.0
Rod Smith,DEN,WR,34.0,16,16,0,0,0,0,0,5,33,6.6,0,136.0,79,1144,14.48,7,4,0,7,0.0,0.0,160.0,238.7,241.7,199.2,32.0,16.0,43.0
Derrick Mason,TEN,WR,30.0,16,16,0,0,0,0,0,1,-3,-3.0,0,158.0,96,1168,12.17,7,2,0,7,0.0,0.0,159.0,254.5,257.5,206.5,31.0,17.0,44.0
Jake Delhomme,CAR,QB,29.0,16,16,310,533,3886,29,15,25,71,2.84,1,0.0,0,0,0.0,0,12,5,1,0.0,2.0,249.0,248.5,271.5,263.5,30.0,7.0,45.0
Isaac Bruce,STL,WR,32.0,16,16,0,2,0,0,0,0,0,0.0,0,148.0,89,1292,14.52,6,5,4,6,0.0,0.0,157.0,246.2,253.2,201.7,30.0,18.0,46.0
Jerome Bettis,PIT,RB,32.0,15,6,1,1,10,1,0,250,941,3.76,13,8.0,6,46,7.67,0,1,0,13,0.0,0.0,181.0,187.1,190.1,184.1,27.0,16.0,47.0
Michael Pittman,TAM,RB,29.0,13,13,0,0,0,0,0,219,926,4.23,7,65.0,41,391,9.54,3,6,6,10,0.0,0.0,180.0,220.7,232.7,200.2,26.0,17.0,48.0
Aaron Brooks,NOR,QB,28.0,16,16,309,542,3810,21,16,58,173,2.98,4,1.0,1,1,1.0,0,13,2,4,0.0,1.0,244.0,244.8,268.8,260.3,25.0,8.0,49.0
