player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Barry Sanders,DET,RB,23.0,15,15,0,0,0,0,0,342,1548,4.53,16,41,307,7.49,1,5,0,17,0.0,0.0,283.0,323.5,332.0,303.0,165.0,1.0,1.0
Thurman Thomas,BUF,RB,25.0,15,15,0,0,0,0,0,288,1407,4.89,7,62,631,10.18,5,5,0,12,0.0,0.0,271.0,332.8,341.3,301.8,153.0,2.0,2.0
Emmitt Smith,DAL,RB,22.0,16,16,0,0,0,0,0,365,1563,4.28,12,49,258,5.27,1,8,0,13,0.0,0.0,252.0,301.1,311.1,276.6,134.0,3.0,3.0
Jim Kelly,BUF,QB,31.0,15,15,304,474,3844,33,17,20,45,2.25,1,0,0,0.0,0,6,0,1,0.0,0.0,256.0,256.3,279.3,273.3,105.0,1.0,4.0
Jerry Rice,SFO,WR,29.0,16,16,0,0,0,0,0,1,2,2.0,0,80,1206,15.08,14,1,0,14,0.0,0.0,204.0,283.8,287.3,243.8,102.0,1.0,5.0
Rod Bernstine,SDG,TE,26.0,13,8,1,1,11,1,0,159,766,4.82,8,11,124,11.27,0,1,0,8,0.0,0.0,140.0,151.4,157.9,145.9,96.0,1.0,6.0
Michael Irvin,DAL,WR,25.0,16,16,0,0,0,0,0,0,0,0.0,0,93,1523,16.38,8,3,0,8,0.0,0.0,197.0,290.3,294.8,243.8,95.0,2.0,7.0
Warren Moon,HOU,QB,35.0,16,16,404,655,4690,23,21,33,68,2.06,2,0,0,0.0,0,11,0,2,0.0,0.0,245.0,245.4,274.9,266.4,94.0,2.0,8.0
Gary Clark,WAS,WR,29.0,16,16,0,0,0,0,0,1,0,0.0,0,70,1340,19.14,10,0,0,10,0.0,0.0,194.0,264.0,267.0,229.0,92.0,3.0,9.0
Dan Marino,MIA,QB,30.0,16,16,318,549,3970,25,13,27,32,1.19,1,0,0,0.0,0,6,0,1,0.0,0.0,236.0,236.0,255.0,249.0,85.0,3.0,10.0
Andre Reed,BUF,WR,27.0,16,16,0,0,0,0,0,12,136,11.33,0,81,1113,13.74,10,1,0,10,0.0,0.0,184.0,264.9,271.4,224.4,82.0,4.0,11.0
Mark Rypien,WAS,QB,29.0,16,16,249,421,3564,28,11,15,6,0.4,1,0,0,0.0,0,9,0,1,0.0,0.0,230.0,230.2,248.7,241.2,79.0,4.0,12.0
Michael Haynes,ATL,WR,26.0,16,16,0,0,0,0,0,0,0,0.0,0,50,1122,22.44,11,0,0,11,0.0,0.0,178.0,228.2,231.2,203.2,76.0,5.0,13.0
