player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,targets,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Barry Sanders,DET,RB,29.0,16,16,0,0,0,0,0,335,2053,6.13,11,50.0,33,305,9.24,3,3,2,14,0.0,0.0,316.0,348.8,356.8,332.3,186.0,1.0,1.0
Terrell Davis,DEN,RB,25.0,15,15,0,0,0,0,0,369,1750,4.74,15,58.0,42,287,6.83,0,4,0,15,3.0,0.0,300.0,341.7,347.7,320.7,170.0,2.0,2.0
Dorsey Levens,GNB,RB,27.0,16,16,0,0,0,0,0,329,1435,4.36,7,67.0,53,370,6.98,5,5,2,12,1.0,0.0,251.0,303.5,311.5,277.0,120.0,3.0,3.0
Brett Favre,GNB,QB,28.0,16,16,304,513,3867,35,16,58,187,3.22,1,0.0,0,0,0.0,0,7,4,1,0.0,1.0,281.0,281.4,307.4,297.4,96.0,1.0,4.0
Rob Moore,ARI,WR,29.0,16,16,0,0,0,0,0,0,0,0.0,0,208.0,97,1584,16.33,8,0,0,8,1.0,0.0,208.0,305.4,308.4,256.9,95.0,1.0,5.0
Kordell Stewart,PIT,QB,25.0,16,16,236,440,3020,21,17,88,476,5.41,11,0.0,0,0,0.0,0,6,4,11,0.0,1.0,278.0,278.4,305.4,295.4,93.0,2.0,6.0
Jerome Bettis,PIT,RB,25.0,15,15,0,0,0,0,0,375,1665,4.44,7,24.0,15,110,7.33,2,6,5,9,0.0,0.0,222.0,236.5,247.5,229.0,91.0,4.0,7.0
Antonio Freeman,GNB,WR,25.0,16,16,0,0,0,0,0,1,14,14.0,0,137.0,81,1243,15.35,12,1,1,12,0.0,0.0,196.0,276.7,280.7,236.2,82.0,2.0,8.0
Napoleon Kaufman,OAK,RB,24.0,16,16,0,1,0,0,0,272,1294,4.76,6,50.0,40,403,10.08,2,7,4,8,0.0,0.0,210.0,249.7,259.7,229.7,80.0,5.0,9.0
Karim AbdulJabbar,MIA,RB,23.0,16,14,0,0,0,0,0,283,892,3.15,15,49.0,29,261,9.0,1,3,2,16,0.0,0.0,207.0,236.3,244.3,221.8,77.0,6.0,10.0
Rod Smith,DEN,WR,27.0,16,16,0,0,0,0,0,5,16,3.2,0,131.0,70,1180,16.86,12,3,1,12,0.0,0.0,190.0,259.6,263.6,224.6,76.0,3.0,11.0
Cris Carter,MIN,WR,32.0,16,16,0,0,0,0,0,0,0,0.0,0,158.0,89,1069,12.01,13,3,1,13,3.0,0.0,189.0,277.9,281.9,233.4,75.0,4.0,12.0
Jeff George,OAK,QB,30.0,16,16,290,521,3917,29,9,17,44,2.59,0,1.0,0,0,0.0,0,7,4,0,0.0,2.0,255.0,255.1,271.1,264.1,70.0,3.0,13.0
Yancey Thigpen,PIT,WR,28.0,16,15,0,0,0,0,0,1,3,3.0,0,149.0,79,1398,17.7,7,1,0,7,1.0,0.0,184.0,263.1,266.1,223.6,70.0,6.0,14.0
Joey Galloway,SEA,WR,26.0,15,15,0,0,0,0,0,9,72,8.0,0,147.0,72,1049,14.57,12,1,0,12,0.0,0.0,184.0,256.1,259.1,220.1,70.0,5.0,15.0
Corey Dillon,CIN,RB,23.0,16,6,0,0,0,0,0,233,1129,4.85,10,33.0,27,259,9.59,0,1,0,10,0.0,0.0,199.0,225.8,231.8,212.3,69.0,7.0,16.0
Shannon Sharpe,DEN,TE,29.0,16,16,0,0,0,0,0,0,0,0.0,0,114.0,72,1107,15.38,3,1,0,3,1.0,0.0,131.0,202.7,205.7,166.7,69.0,1.0,17.0
Herman Moore,DET,WR,28.0,16,16,0,0,0,0,0,0,0,0.0,0,170.0,104,1293,12.43,8,0,0,8,1.0,0.0,179.0,283.3,286.3,231.3,66.0,7.0,18.0
Marshall Faulk,IND,RB,24.0,16,16,0,0,0,0,0,264,1054,3.99,7,73.0,47,471,10.02,1,5,3,8,0.0,0.0,195.0,241.5,250.5,218.0,64.0,8.0,19.0
Ricky Watters,PHI,RB,28.0,16,16,0,0,0,0,0,285,1110,3.89,7,73.0,48,440,9.17,0,3,2,7,0.0,0.0,193.0,241.0,249.0,217.0,63.0,9.0,20.0
John Elway,DEN,QB,37.0,16,16,280,502,3635,27,11,50,218,4.36,1,0.0,0,0,0.0,0,11,8,1,0.0,1.0,245.0,245.2,270.2,256.2,60.0,4.0,21.0
Ben Coates,NWE,TE,28.0,16,16,0,0,0,0,0,0,0,0.0,0,98.0,66,737,11.17,8,0,0,8,0.0,0.0,122.0,187.7,190.7,154.7,60.0,2.0,22.0
Steve McNair,TEN,QB,24.0,16,16,216,415,2665,14,13,101,674,6.67,8,0.0,0,0,0.0,0,16,5,8,0.0,1.0,244.0,244.0,268.0,257.0,59.0,5.0,23.0
Tim Brown,OAK,WR,31.0,16,16,0,0,0,0,0,5,19,3.8,0,162.0,104,1408,13.54,5,1,1,5,1.0,0.0,173.0,276.7,280.7,224.7,59.0,8.0,24.0
Rickey Dudley,OAK,TE,25.0,16,16,0,0,0,0,0,0,0,0.0,0,91.0,48,787,16.4,7,0,0,7,0.0,0.0,121.0,168.7,171.7,144.7,59.0,3.0,25.0
Robert Smith,MIN,RB,25.0,14,14,0,0,0,0,0,232,1266,5.46,6,44.0,37,197,5.32,1,0,0,7,0.0,0.0,188.0,225.3,231.3,206.8,58.0,10.0,26.0
Michael Irvin,DAL,WR,31.0,16,16,0,0,0,0,0,0,0,0.0,0,157.0,75,1180,15.73,9,0,0,9,0.0,0.0,172.0,247.0,250.0,209.5,58.0,9.0,27.0
Jamal Anderson,ATL,RB,25.0,16,15,1,4,27,1,1,290,1002,3.46,7,37.0,29,284,9.79,3,4,2,10,0.0,0.0,188.0,216.7,225.7,203.2,57.0,11.0,28.0
Irving Fryar,PHI,WR,35.0,16,16,0,0,0,0,0,0,0,0.0,0,153.0,86,1316,15.3,6,1,0,6,0.0,0.0,168.0,253.6,256.6,210.6,54.0,10.0,29.0
Eddie George,TEN,RB,24.0,16,16,0,0,0,0,0,357,1399,3.92,6,12.0,7,44,6.29,1,4,3,7,1.0,0.0,182.0,189.3,195.3,185.8,52.0,12.0,30.0
