player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Earl Campbell,HOU,RB,25.0,15,15,1,2,57,1,0,373,1934,5.18,13,11,47,4.27,0,4,0,13,0.0,0.0,278.0,289.4,294.4,283.9,160.0,1.0,1.0
Billy Sims,DET,RB,25.0,16,16,0,0,0,0,0,313,1303,4.16,13,51,621,12.18,3,12,0,16,0.0,0.0,276.0,327.4,339.4,301.9,158.0,2.0,2.0
John Jefferson,SDG,WR,24.0,16,16,0,0,0,0,0,1,16,16.0,0,82,1340,16.34,13,0,0,13,0.0,0.0,214.0,295.6,298.6,254.6,113.0,1.0,3.0
Kellen Winslow,SDG,TE,23.0,16,11,0,0,0,0,0,0,0,0.0,0,89,1290,14.49,9,2,0,9,0.0,0.0,181.0,270.0,274.0,225.5,107.0,1.0,4.0
Walter Payton,CHI,RB,27.0,16,16,0,3,0,0,0,317,1460,4.61,6,46,367,7.98,1,5,0,7,0.0,0.0,220.0,265.7,274.2,242.7,101.0,3.0,5.0
Joe Cribbs,BUF,RB,22.0,16,16,1,1,13,0,0,306,1185,3.87,11,52,415,7.98,1,16,0,12,0.0,0.0,217.0,268.5,282.5,242.5,98.0,4.0,6.0
Ottis Anderson,STL,RB,23.0,16,16,0,0,0,0,0,301,1352,4.49,9,36,308,8.56,0,5,0,9,0.0,0.0,215.0,251.0,259.5,233.0,96.0,5.0,7.0
Ted Brown,MIN,FB,23.0,16,16,0,0,0,0,0,219,912,4.16,8,62,623,10.05,2,6,0,10,0.0,0.0,208.0,269.5,278.5,238.5,89.0,6.0,8.0
Tony Dorsett,DAL,RB,26.0,15,15,0,1,0,0,0,278,1185,4.26,11,34,263,7.74,0,8,0,11,0.0,0.0,203.0,236.8,246.8,219.8,84.0,7.0,9.0
William Andrews,ATL,FB,25.0,16,16,0,0,0,0,0,265,1308,4.94,4,51,456,8.94,1,6,0,5,0.0,0.0,200.0,251.4,260.4,225.9,82.0,8.0,10.0
Brian Sipe,CLE,QB,31.0,16,16,337,554,4132,30,14,20,55,2.75,1,0,0,0.0,0,3,0,1,0.0,0.0,266.0,265.8,284.3,279.8,77.0,1.0,11.0
Dan Fouts,SDG,QB,29.0,16,16,348,589,4715,30,24,23,15,0.65,2,0,0,0.0,0,11,0,2,0.0,0.0,263.0,263.1,295.6,287.1,74.0,2.0,12.0
Mike Pruitt,CLE,FB,26.0,16,16,0,0,0,0,0,249,1034,4.15,6,63,471,7.48,0,9,0,6,0.0,0.0,178.0,240.5,251.0,209.0,59.0,9.0,13.0
Wilbert Montgomery,PHI,RB,26.0,12,12,0,1,0,0,0,193,778,4.03,8,50,407,8.14,2,3,0,10,0.0,0.0,176.0,225.5,233.0,200.5,57.0,10.0,14.0
Curtis Dickey,BAL,RB,24.0,15,5,0,0,0,0,0,176,800,4.55,11,25,204,8.16,2,3,0,13,0.0,0.0,175.0,200.4,207.9,187.9,57.0,11.0,15.0
Earl Cooper,SFO,FB,23.0,16,16,0,0,0,0,0,171,720,4.21,5,83,567,6.83,4,8,0,9,0.0,0.0,175.0,257.7,267.7,216.2,56.0,12.0,16.0
Tony Hill,DAL,WR,24.0,16,13,0,0,0,0,0,4,27,6.75,0,60,1055,17.58,8,0,0,8,0.0,0.0,156.0,216.2,219.2,186.2,55.0,2.0,17.0
Steve Bartkowski,ATL,QB,28.0,16,16,257,463,3544,31,16,25,35,1.4,2,0,0,0.0,0,6,0,2,0.0,0.0,243.0,243.3,265.3,259.3,54.0,3.0,18.0
Doug Williams,TAM,QB,25.0,16,16,254,521,3396,20,16,58,370,6.38,4,0,0,0.0,0,7,0,4,0.0,0.0,238.0,237.8,263.3,253.8,49.0,4.0,19.0
Ron Jaworski,PHI,QB,29.0,16,16,257,451,3529,27,12,27,95,3.52,1,0,0,0.0,0,6,0,1,0.0,0.0,235.0,234.7,252.7,246.7,46.0,5.0,20.0
James Lofton,GNB,WR,24.0,16,16,0,0,0,0,0,0,0,0.0,0,71,1226,17.27,4,0,0,4,0.0,0.0,147.0,217.6,220.6,182.1,46.0,3.0,21.0
Dwight Clark,SFO,WR,23.0,16,12,0,0,0,0,0,0,0,0.0,0,82,991,12.09,8,2,0,8,0.0,0.0,145.0,227.1,231.1,186.1,44.0,4.0,22.0
Lynn Cain,ATL,RB,25.0,16,16,0,0,0,0,0,235,914,3.89,8,24,223,9.29,1,6,0,9,0.0,0.0,162.0,185.7,194.7,173.7,43.0,13.0,23.0
