player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Billy Sims,DET,RB,26.0,14,14,0,0,0,0,0,296,1437,4.85,13,28,451,16.11,2,9,0,15,0.0,0.0,270.0,297.8,308.3,283.8,139.0,1.0,1.0
William Andrews,ATL,FB,26.0,16,16,0,0,0,0,0,289,1301,4.5,10,81,735,9.07,2,12,0,12,0.0,0.0,264.0,344.6,356.6,304.1,133.0,2.0,2.0
Chuck Muncie,SDG,RB,28.0,15,14,1,1,3,1,0,251,1144,4.56,19,43,362,8.42,0,9,0,19,0.0,0.0,260.0,302.7,313.2,281.2,129.0,3.0,3.0
Alfred Jenkins,ATL,WR,29.0,16,16,0,0,0,0,0,0,0,0.0,0,70,1358,19.4,13,3,0,13,0.0,0.0,211.0,280.8,285.3,245.8,116.0,1.0,4.0
Wilbert Montgomery,PHI,RB,27.0,15,15,0,0,0,0,0,286,1402,4.9,8,49,521,10.63,2,6,0,10,0.0,0.0,246.0,295.3,304.3,270.8,115.0,4.0,5.0
George Rogers,NOR,RB,23.0,16,16,0,0,0,0,0,378,1674,4.43,13,16,126,7.88,0,13,0,13,0.0,0.0,245.0,261.0,273.5,253.0,114.0,5.0,6.0
Wendell Tyler,RAM,RB,26.0,15,15,0,0,0,0,0,260,1074,4.13,12,45,436,9.69,5,11,0,17,0.0,0.0,242.0,287.0,298.5,264.5,111.0,6.0,7.0
Steve Watson,DEN,WR,24.0,16,13,0,0,0,0,0,2,6,3.0,0,60,1244,20.73,13,0,0,13,0.0,0.0,203.0,263.0,266.0,233.0,108.0,2.0,8.0
Dan Fouts,SDG,QB,30.0,16,16,360,609,4802,33,17,22,56,2.55,0,0,0,0.0,0,9,0,0,0.0,0.0,287.0,286.7,311.2,303.7,102.0,1.0,9.0
Pete Johnson,CIN,FB,27.0,16,16,0,0,0,0,0,274,1077,3.93,12,46,320,6.96,4,4,0,16,0.0,0.0,232.0,277.7,285.7,254.7,101.0,7.0,10.0
Ken Anderson,CIN,QB,32.0,16,16,300,479,3754,29,10,46,320,6.96,1,0,0,0.0,0,5,0,1,0.0,0.0,279.0,279.2,297.7,289.2,95.0,2.0,11.0
Tony Dorsett,DAL,RB,27.0,16,16,0,0,0,0,0,342,1646,4.81,4,32,325,10.16,2,10,0,6,0.0,0.0,223.0,255.1,266.1,239.1,92.0,8.0,12.0
Joe Cribbs,BUF,RB,23.0,15,15,1,1,9,1,0,257,1097,4.27,3,40,603,15.08,7,12,0,10,0.0,0.0,222.0,262.4,274.4,242.4,91.0,9.0,13.0
Steve Largent,SEA,WR,27.0,16,16,0,1,0,0,0,6,47,7.83,1,75,1224,16.32,9,2,0,10,0.0,0.0,185.0,260.1,264.1,222.6,90.0,3.0,14.0
Kellen Winslow,SDG,TE,24.0,16,16,0,2,0,0,0,0,0,0.0,0,88,1075,12.22,10,2,0,10,0.0,0.0,166.0,253.5,257.5,209.5,90.0,1.0,15.0
Ted Brown,MIN,FB,24.0,16,16,0,1,0,0,1,274,1063,3.88,6,83,694,8.36,2,3,0,8,0.0,0.0,219.0,301.7,310.2,261.2,88.0,10.0,16.0
Ottis Anderson,STL,RB,24.0,16,16,0,0,0,0,0,328,1376,4.2,9,51,387,7.59,0,13,0,9,0.0,0.0,217.0,268.3,280.8,242.8,86.0,11.0,17.0
James Lofton,GNB,WR,25.0,16,16,0,0,0,0,0,0,0,0.0,0,71,1294,18.23,8,0,0,8,0.0,0.0,177.0,248.4,251.4,212.9,82.0,4.0,18.0
Kevin House,TAM,WR,24.0,16,16,0,1,0,0,0,2,9,4.5,0,56,1176,21.0,9,2,0,9,0.0,0.0,171.0,226.5,230.5,198.5,75.0,5.0,19.0
Earl Campbell,HOU,RB,26.0,16,16,0,0,0,0,0,361,1376,3.81,10,36,156,4.33,0,10,0,10,0.0,0.0,203.0,239.2,250.2,221.2,72.0,12.0,20.0
Joe Senser,MIN,TE,25.0,16,16,0,0,0,0,0,1,2,2.0,0,79,1004,12.71,8,3,0,8,0.0,0.0,146.0,224.6,229.1,185.1,70.0,2.0,21.0
Walter Payton,CHI,RB,28.0,16,16,0,2,0,0,0,339,1222,3.6,6,41,379,9.24,2,9,0,8,0.0,0.0,199.0,240.1,250.6,219.6,68.0,13.0,22.0
Mike Pruitt,CLE,FB,27.0,16,16,0,0,0,0,0,247,1103,4.47,7,63,442,7.02,1,5,0,8,0.0,0.0,198.0,260.5,269.0,229.0,66.0,14.0,23.0
Charlie Joiner,SDG,WR,34.0,16,16,0,0,0,0,0,0,0,0.0,0,70,1188,16.97,7,2,0,7,0.0,0.0,159.0,228.8,232.8,193.8,64.0,6.0,24.0
Ozzie Newsome,CLE,TE,25.0,16,16,0,0,0,0,0,2,20,10.0,0,69,1002,14.52,6,0,0,6,0.0,0.0,138.0,207.2,210.2,172.7,63.0,3.0,25.0
Wes Chandler,2TM,WR,25.0,16,15,0,2,0,0,0,5,-1,-0.2,0,69,1142,16.55,6,1,0,6,0.0,0.0,149.0,218.1,221.6,183.6,54.0,7.0,26.0
Joe Washington,WAS,RB,28.0,14,13,1,2,32,0,0,210,916,4.36,4,70,558,7.97,3,8,0,7,0.0,0.0,183.0,252.7,262.7,217.7,52.0,15.0,27.0
Frank Lewis,BUF,WR,34.0,16,16,0,0,0,0,0,0,0,0.0,0,70,1244,17.77,4,1,0,4,0.0,0.0,147.0,217.4,220.9,182.4,52.0,8.0,28.0
Freddie Solomon,SFO,WR,28.0,15,15,1,1,25,0,0,9,43,4.78,0,59,969,16.42,8,3,0,8,0.0,0.0,147.0,206.2,210.7,176.7,52.0,9.0,29.0
Cris Collinsworth,CIN,WR,22.0,16,16,0,0,0,0,0,0,0,0.0,0,67,1009,15.06,8,3,0,8,0.0,0.0,146.0,212.9,217.4,179.4,51.0,10.0,30.0
Stanley Morgan,NWE,WR,26.0,13,13,0,0,0,0,0,2,21,10.5,0,44,1029,23.39,6,2,0,6,0.0,0.0,139.0,183.0,187.0,161.0,44.0,11.0,31.0
Gerry Ellis,GNB,RB,24.0,16,16,1,2,23,0,0,196,860,4.39,4,65,499,7.68,3,5,0,7,0.0,0.0,174.0,238.8,247.3,206.3,43.0,16.0,32.0
Dwight Clark,SFO,WR,24.0,16,16,0,1,0,0,0,3,32,10.67,0,85,1105,13.0,4,0,0,4,0.0,0.0,138.0,222.7,225.7,180.2,43.0,12.0,33.0
Dan Ross,CIN,TE,24.0,16,16,0,0,0,0,0,0,0,0.0,0,71,910,12.82,5,3,0,5,0.0,0.0,118.0,189.0,193.5,153.5,43.0,4.0,34.0
Doug Williams,TAM,QB,26.0,16,16,238,471,3563,19,14,48,209,4.35,4,0,0,0.0,0,9,0,4,0.0,0.0,226.0,226.4,250.9,240.4,42.0,3.0,35.0
John Stallworth,PIT,WR,29.0,16,16,0,0,0,0,0,1,17,17.0,0,63,1098,17.43,5,4,0,5,0.0,0.0,138.0,200.5,205.5,169.0,42.0,13.0,36.0
Ray Butler,BAL,WR,25.0,16,16,0,0,0,0,0,0,0,0.0,0,46,832,18.09,9,0,0,9,0.0,0.0,137.0,183.2,186.2,160.2,42.0,14.0,37.0
Curtis Dickey,BAL,RB,25.0,15,15,0,0,0,0,0,164,779,4.75,7,37,419,11.32,3,8,0,10,0.0,0.0,172.0,208.8,218.8,190.3,41.0,17.0,38.0
Franco Harris,PIT,FB,31.0,16,16,0,0,0,0,0,242,987,4.08,8,37,250,6.76,1,6,0,9,0.0,0.0,172.0,208.7,217.7,190.2,41.0,18.0,39.0
Harold Carmichael,PHI,WR,32.0,16,16,0,0,0,0,0,1,1,1.0,0,61,1028,16.85,6,3,0,6,0.0,0.0,136.0,196.9,201.4,166.4,41.0,15.0,40.0
Freddie Scott,DET,WR,29.0,16,15,0,1,0,0,0,7,25,3.57,0,53,1022,19.28,5,0,0,5,0.0,0.0,135.0,187.7,190.7,161.2,40.0,16.0,41.0
Steve Bartkowski,ATL,QB,29.0,16,16,297,533,3829,30,23,11,2,0.18,0,0,0,0.0,0,4,0,0,0.0,0.0,223.0,223.4,251.4,246.4,39.0,4.0,42.0
Don Hasselbeck,NWE,TE,26.0,14,14,0,0,0,0,0,0,0,0.0,0,46,808,17.57,6,2,0,6,0.0,0.0,115.0,160.8,164.8,137.8,39.0,5.0,43.0
Jimmie Giles,TAM,TE,27.0,16,16,0,0,0,0,0,0,0,0.0,0,45,786,17.47,6,0,0,6,0.0,0.0,115.0,159.6,162.6,137.1,39.0,6.0,44.0
Tony Nathan,MIA,RB,25.0,13,11,0,1,0,0,0,147,782,5.32,5,50,452,9.04,3,2,0,8,0.0,0.0,169.0,219.4,226.4,194.4,38.0,19.0,45.0
Wesley Walker,NYJ,WR,26.0,13,13,0,0,0,0,0,0,0,0.0,0,47,770,16.38,9,0,0,9,0.0,0.0,131.0,178.0,181.0,154.5,36.0,17.0,46.0
Jerry Butler,BUF,WR,24.0,16,16,0,0,0,0,0,1,1,1.0,0,55,842,15.31,8,2,0,8,0.0,0.0,130.0,185.3,189.3,157.8,35.0,18.0,47.0
Ron Springs,DAL,FB,25.0,16,13,0,1,0,0,1,172,625,3.63,10,46,359,7.8,2,3,0,12,0.0,0.0,165.0,211.4,219.9,189.4,34.0,20.0,48.0
Ahmad Rashad,MIN,WR,32.0,16,15,0,0,0,0,0,0,0,0.0,0,58,884,15.24,7,1,0,7,0.0,0.0,129.0,187.4,190.9,158.4,34.0,19.0,49.0
Joe Montana,SFO,QB,25.0,16,16,311,488,3565,19,12,25,95,3.8,2,0,0,0.0,0,2,0,2,0.0,0.0,214.0,214.1,230.1,226.1,30.0,5.0,50.0
Art Monk,WAS,WR,24.0,16,16,0,0,0,0,0,1,-5,-5.0,0,56,894,15.96,6,0,0,6,0.0,0.0,125.0,180.9,183.9,152.9,30.0,20.0,51.0
Dave Casper,HOU,TE,29.0,16,11,0,0,0,0,0,0,0,0.0,0,33,572,17.33,8,0,0,8,0.0,0.0,105.0,138.2,141.2,121.7,30.0,7.0,52.0
Richard Todd,NYJ,QB,28.0,16,16,279,497,3231,25,13,32,131,4.09,0,1,1,1.0,0,5,0,0,0.0,0.0,211.0,212.4,233.9,224.9,27.0,6.0,53.0
Pat Tilley,STL,WR,28.0,16,16,0,0,0,0,0,0,0,0.0,0,66,1040,15.76,3,1,0,3,0.0,0.0,121.0,187.0,190.5,154.0,26.0,21.0,54.0
Joe Ferguson,BUF,QB,31.0,16,16,252,498,3652,24,20,20,29,1.45,1,0,0,0.0,0,2,0,1,0.0,0.0,209.0,209.0,233.0,229.0,25.0,7.0,55.0
Johnny Perkins,NYG,WR,28.0,16,14,0,0,0,0,0,2,-1,-0.5,0,51,858,16.82,6,2,0,6,0.0,0.0,120.0,170.7,174.7,145.2,25.0,22.0,56.0
John Riggins,WAS,FB,32.0,15,4,0,0,0,0,0,195,714,3.66,13,6,59,9.83,0,1,0,13,0.0,0.0,154.0,160.3,163.8,157.3,23.0,21.0,57.0
Tony Hill,DAL,WR,25.0,16,9,0,0,0,0,0,1,-3,-3.0,0,46,953,20.72,4,1,0,4,0.0,0.0,118.0,164.0,167.5,141.0,23.0,23.0,58.0
Sammy White,MIN,WR,27.0,16,16,0,0,0,0,0,2,-1,-0.5,0,66,1001,15.17,3,1,0,3,0.0,0.0,117.0,183.0,186.5,150.0,22.0,24.0,59.0
Tommy Kramer,MIN,QB,26.0,14,14,322,593,3912,26,24,10,13,1.3,0,0,0,0.0,0,8,0,0,0.0,0.0,206.0,205.8,236.8,229.8,21.0,8.0,60.0
Joe Theismann,WAS,QB,32.0,16,16,293,496,3568,19,20,36,177,4.92,2,0,0,0.0,0,7,0,2,0.0,0.0,201.0,201.4,230.9,221.4,17.0,9.0,61.0
Jerome Barkum,NYJ,TE,31.0,16,16,0,0,0,0,0,0,0,0.0,0,39,495,12.69,7,0,0,7,0.0,0.0,92.0,130.5,133.5,111.0,16.0,9.0,62.0
Paul Coffman,GNB,TE,25.0,16,16,0,0,0,0,0,0,0,0.0,0,55,687,12.49,4,1,0,4,0.0,0.0,92.0,146.7,150.2,119.2,16.0,8.0,63.0
Joe Delaney,KAN,RB,23.0,15,10,0,0,0,0,0,234,1121,4.79,3,22,246,11.18,0,9,0,3,0.0,0.0,146.0,167.7,178.2,156.7,15.0,22.0,64.0
Derrick Ramsey,OAK,TE,25.0,16,12,0,0,0,0,0,0,0,0.0,0,52,674,12.96,4,2,0,4,0.0,0.0,89.0,141.4,145.4,115.4,14.0,10.0,65.0
Tony Collins,NWE,RB,22.0,16,11,0,1,0,0,0,204,873,4.28,7,26,232,8.92,0,8,0,7,0.0,0.0,145.0,170.5,180.5,157.5,13.0,23.0,66.0
Ken Burrough,HOU,WR,33.0,16,16,0,0,0,0,0,0,0,0.0,0,40,668,16.7,7,1,0,7,0.0,0.0,108.0,147.8,151.3,127.8,13.0,26.0,67.0
Preston Dennard,RAM,WR,26.0,15,15,0,0,0,0,0,6,29,4.83,0,49,821,16.76,4,1,0,4,0.0,0.0,108.0,157.0,160.5,132.5,13.0,25.0,68.0
Terry Bradshaw,PIT,QB,33.0,14,14,201,370,2887,22,14,38,162,4.26,2,0,0,0.0,0,7,0,2,0.0,0.0,197.0,196.7,220.2,210.7,12.0,10.0,69.0
Duriel Harris,MIA,WR,27.0,15,12,0,0,0,0,0,0,0,0.0,0,53,911,17.19,2,0,0,2,0.0,0.0,103.0,156.1,159.1,129.6,8.0,27.0,70.0
Alfred Jackson,ATL,WR,26.0,16,0,0,0,0,0,0,2,5,2.5,0,37,604,16.32,6,0,0,7,0.0,0.0,103.0,139.9,142.9,121.4,8.0,28.0,71.0
Riley Odoms,DEN,TE,31.0,15,15,0,0,0,0,0,0,0,0.0,0,38,516,13.58,5,1,0,5,0.0,0.0,81.0,118.6,122.1,99.6,5.0,11.0,72.0
Jim Smith,PIT,WR,26.0,15,3,0,0,0,0,0,1,15,15.0,0,29,571,19.69,7,1,0,7,0.0,0.0,100.0,128.6,132.1,114.1,4.0,29.0,73.0
Ron Jaworski,PHI,QB,30.0,16,16,250,461,3095,23,20,22,128,5.82,0,0,0,0.0,0,3,0,0,0.0,0.0,186.0,185.6,213.1,205.6,1.0,11.0,74.0
Brian Sipe,CLE,QB,32.0,16,16,313,567,3876,17,25,38,153,4.03,1,0,0,0.0,0,10,0,1,0.0,0.0,184.0,184.3,220.3,209.3,0.0,12.0,75.0
Craig Morton,DEN,QB,38.0,15,15,225,376,3195,21,14,8,18,2.25,0,0,0,0.0,0,2,0,0,0.0,0.0,184.0,183.6,201.6,197.6,0.0,13.0,76.0
Danny White,DAL,QB,29.0,16,15,223,391,3098,22,13,38,104,2.74,0,0,0,0.0,0,14,0,0,0.0,0.0,182.0,182.3,208.3,195.3,0.0,14.0,77.0
Bert Jones,BAL,QB,30.0,15,15,244,426,3094,21,20,20,85,4.25,0,0,0,0.0,0,3,0,0,0.0,0.0,173.0,173.3,197.8,193.3,0.0,15.0,78.0
Eric Hipple,DET,QB,24.0,16,10,140,279,2358,14,15,41,168,4.1,7,0,0,0.0,0,14,0,7,0.0,0.0,165.0,165.1,193.1,180.1,0.0,16.0,0.0
Jim Zorn,SEA,QB,28.0,13,13,236,397,2788,13,9,30,140,4.67,1,0,0,0.0,0,2,0,1,0.0,0.0,164.0,163.5,179.5,172.5,0.0,17.0,0.0
David Woodley,MIA,QB,23.0,15,15,191,366,2470,12,13,63,272,4.32,4,0,0,0.0,0,9,0,4,0.0,0.0,163.0,163.0,186.5,176.0,0.0,18.0,0.0
Lynn Dickey,GNB,QB,32.0,13,13,204,354,2593,17,15,19,6,0.32,0,0,0,0.0,0,8,0,0,0.0,0.0,134.0,134.3,156.3,149.3,0.0,19.0,0.0
Theotis Brown,2TM,RB,24.0,14,10,0,0,0,0,0,156,583,3.74,8,29,328,11.31,0,8,0,8,0.0,0.0,131.0,160.1,170.1,145.6,0.0,24.0,0.0
Lynn Cain,ATL,RB,26.0,16,16,0,0,0,0,0,156,542,3.47,4,55,421,7.65,2,3,0,6,0.0,0.0,129.0,184.3,191.8,156.8,0.0,25.0,0.0
Randy McMillan,BAL,FB,23.0,16,16,0,0,0,0,0,149,597,4.01,3,50,466,9.32,1,1,0,4,0.0,0.0,129.0,179.3,185.8,154.3,0.0,26.0,0.0
Dave Preston,DEN,RB,26.0,16,14,0,0,0,0,0,183,640,3.5,3,52,507,9.75,0,4,0,3,0.0,0.0,129.0,180.7,188.7,154.7,0.0,27.0,0.0
Marc Wilson,OAK,QB,24.0,13,9,173,366,2311,14,19,30,147,4.9,2,0,0,0.0,0,8,0,2,0.0,0.0,129.0,129.1,158.1,148.1,0.0,20.0,0.0
Vince Evans,CHI,QB,26.0,16,16,195,436,2354,11,20,43,218,5.07,3,0,0,0.0,0,13,0,3,0.0,0.0,125.0,125.0,157.5,145.0,0.0,21.0,0.0
Andra Franklin,MIA,FB,22.0,16,11,0,0,0,0,0,201,711,3.54,7,3,6,2.0,1,5,0,8,0.0,0.0,115.0,117.7,123.2,116.2,0.0,28.0,0.0
James Wilder,TAM,FB,23.0,16,16,0,0,0,0,0,107,370,3.46,4,48,507,10.56,1,3,0,5,0.0,0.0,115.0,162.7,170.2,138.7,0.0,29.0,0.0
James Brooks,SDG,RB,23.0,14,2,0,0,0,0,0,109,525,4.82,3,46,329,7.15,3,7,0,6,0.0,0.0,114.0,160.4,169.9,137.4,0.0,30.0,0.0
Rick Parros,DEN,FB,23.0,16,16,0,0,0,0,0,176,749,4.26,2,25,216,8.64,1,6,0,3,0.0,0.0,109.0,133.5,142.5,121.0,0.0,31.0,0.0
Bruce Harper,NYJ,RB,26.0,16,7,0,0,0,0,0,81,393,4.85,4,52,459,8.83,1,7,0,5,0.0,0.0,108.0,160.2,169.7,134.2,0.0,32.0,0.0
Billy Jackson,KAN,RB,22.0,16,1,0,0,0,0,0,111,398,3.59,10,6,31,5.17,1,1,0,11,0.0,0.0,108.0,113.9,117.4,110.9,0.0,33.0,0.0
Harlan Huckleby,GNB,RB,24.0,16,12,0,0,0,0,0,139,381,2.74,5,27,221,8.19,3,3,0,8,0.0,0.0,105.0,132.2,139.7,118.7,0.0,34.0,0.0
Phil Simms,NYG,QB,26.0,10,10,172,316,2031,11,9,19,42,2.21,0,0,0,0.0,0,7,0,0,0.0,0.0,104.0,104.4,119.9,113.4,0.0,22.0,0.0
