player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,targets,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Emmitt Smith,DAL,RB,26.0,16,16,0,0,0,0,0,377,1773,4.7,25,78.0,62,375,6.05,0,7,6,25,0.0,0.0,353.0,414.8,426.8,383.8,221.0,1.0,1.0
Jerry Rice,SFO,WR,33.0,16,16,1,1,41,1,0,5,36,7.2,1,176.0,122,1848,15.15,15,3,3,17,1.0,0.0,292.0,414.0,420.0,353.0,174.0,1.0,2.0
Isaac Bruce,STL,WR,23.0,16,16,0,0,0,0,0,3,17,5.67,0,199.0,119,1781,14.97,13,2,1,13,1.0,0.0,258.0,376.8,380.8,317.3,140.0,2.0,3.0
Herman Moore,DET,WR,26.0,16,16,0,0,0,0,0,0,0,0.0,0,206.0,123,1686,13.71,14,2,2,14,0.0,0.0,249.0,371.6,376.6,310.1,131.0,3.0,4.0
Curtis Martin,NWE,RB,22.0,16,15,0,0,0,0,0,368,1487,4.04,14,50.0,30,261,8.7,1,5,3,15,1.0,0.0,261.0,290.8,299.8,275.8,129.0,2.0,5.0
Brett Favre,GNB,QB,26.0,16,16,359,570,4413,38,13,39,181,4.64,3,0.0,0,0,0.0,0,8,4,3,0.0,0.0,331.0,330.6,353.6,343.6,128.0,1.0,6.0
Barry Sanders,DET,RB,27.0,16,16,1,2,11,0,0,314,1500,4.78,11,70.0,48,398,8.29,1,3,3,12,0.0,0.0,256.0,304.2,313.2,280.2,124.0,3.0,7.0
Cris Carter,MIN,WR,30.0,16,16,0,0,0,0,0,1,0,0.0,0,197.0,122,1371,11.24,17,0,0,17,0.0,0.0,239.0,361.1,364.1,300.1,121.0,4.0,8.0
Chris Warren,SEA,RB,27.0,16,16,0,0,0,0,0,310,1346,4.34,15,50.0,35,247,7.06,1,5,3,16,0.0,0.0,249.0,284.3,293.3,266.8,117.0,4.0,9.0
Robert Brooks,GNB,WR,25.0,16,16,0,0,0,0,0,4,21,5.25,0,167.0,102,1497,14.68,13,0,0,13,0.0,0.0,230.0,331.8,334.8,280.8,112.0,5.0,10.0
