player,team,position,age,games,games_started,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,yards_per_attempt,rushing_touchdowns,targets,receptions,receiving_yards,yards_per_reception,receiving_touchdowns,fumbles,fumbles_lost,total_touchdowns,two_point_conversions_made,two_point_conversion_attempts,fantasy_points,ppr_points,draft_kings_points,fan_duel_points,value_based_draft,position_rank,overall_rank
Marshall Faulk,STL,RB,28.0,14,14,0,1,0,0,0,260,1382,5.32,12,104.0,83,765,9.22,9,3,3,21,1.0,0.0,337.0,419.7,428.7,378.2,204.0,1.0,1.0
Priest Holmes,KAN,RB,28.0,16,16,0,0,0,0,0,327,1555,4.76,8,75.0,62,614,9.9,2,4,3,10,0.0,0.0,271.0,332.9,341.9,301.9,139.0,2.0,2.0
Ahman Green,GNB,RB,24.0,16,16,0,0,0,0,0,304,1387,4.56,9,82.0,62,594,9.58,2,5,4,11,0.0,0.0,256.0,318.1,328.1,287.1,124.0,3.0,3.0
Shaun Alexander,SEA,RB,24.0,16,12,0,0,0,0,0,309,1318,4.27,14,59.0,44,343,7.8,2,4,4,16,0.0,0.0,254.0,298.1,308.1,276.1,122.0,4.0,4.0
Marvin Harrison,IND,WR,29.0,16,16,0,0,0,0,0,1,3,3.0,0,164.0,109,1524,13.98,15,0,0,15,0.0,0.0,243.0,351.7,354.7,297.2,114.0,1.0,5.0
Curtis Martin,NYJ,RB,28.0,16,16,1,1,18,1,0,333,1513,4.54,10,63.0,53,320,6.04,0,2,2,10,0.0,0.0,244.0,297.0,305.0,270.5,112.0,5.0,6.0
Terrell Owens,SFO,WR,28.0,16,16,0,0,0,0,0,4,21,5.25,0,155.0,93,1412,15.18,16,0,0,16,0.0,0.0,239.0,332.3,335.3,285.8,110.0,2.0,7.0
Jeff Garcia,SFO,QB,31.0,16,16,316,504,3538,32,12,72,254,3.53,5,0.0,0,0,0.0,0,9,3,5,0.0,2.0,299.0,298.9,319.9,310.9,97.0,1.0,8.0
Corey Dillon,CIN,RB,27.0,16,16,0,1,0,0,1,340,1315,3.87,10,61.0,34,228,6.71,3,5,3,13,0.0,0.0,224.0,258.3,268.3,242.3,92.0,6.0,9.0
Kurt Warner,STL,QB,30.0,16,16,375,546,4830,36,22,28,60,2.14,0,0.0,0,0,0.0,0,10,4,0,0.0,1.0,293.0,293.2,322.2,315.2,91.0,2.0,10.0
